,date,close,open,high,low,volume,chg
0,2023-11-17,189.69,190.18,190.33,188.58,49410000.0,-0.01%
1,2023-11-16,189.71,189.57,190.96,188.65,53990000.0,0.90%
2,2023-11-15,188.01,187.85,189.5,187.78,53230000.0,0.30%
3,2023-11-14,187.44,187.7,188.11,186.3,59710000.0,1.43%
4,2023-11-13,184.8,185.82,186.03,184.21,41970000.0,-0.86%
5,2023-11-10,186.4,183.97,186.57,183.53,66180000.00000001,2.19%
6,2023-11-9,182.41,182.96,184.12,181.81,52450000.0,-0.26%
7,2023-11-8,182.89,182.35,183.45,181.59,49180000.0,0.59%
8,2023-11-7,181.82,179.18,182.44,178.97,70210000.0,1.45%
9,2023-11-6,179.23,176.38,179.43,176.21,63650000.0,1.46%
10,2023-11-3,176.65,174.24,176.82,173.35,79830000.0,-0.52%
11,2023-11-2,177.57,175.52,177.78,175.46,67019999.99999999,2.07%
12,2023-11-1,173.97,171.0,174.23,170.12,56930000.0,1.87%
13,2023-10-31,170.77,169.35,170.9,167.9,43520000.0,0.28%
14,2023-10-30,170.29,169.02,171.17,168.87,50470000.0,1.23%
15,2023-10-27,168.22,166.91,168.96,166.83,58500000.0,0.80%
16,2023-10-26,166.89,170.37,171.38,165.67,69450000.0,-2.46%
17,2023-10-25,171.1,171.88,173.06,170.65,56600000.0,-1.35%
18,2023-10-24,173.44,173.05,173.67,171.45,43580000.0,0.25%
19,2023-10-23,173.0,170.91,174.01,169.93,55240000.0,0.07%
20,2023-10-20,172.88,175.31,175.42,172.64,64239999.99999999,-1.47%
21,2023-10-19,175.46,176.04,177.84,175.19,57620000.0,-0.22%
22,2023-10-18,175.84,175.58,177.57,175.11,54490000.0,-0.74%
23,2023-10-17,177.15,176.65,178.42,174.8,57420000.0,-0.88%
24,2023-10-16,178.72,176.75,179.07,176.51,52170000.0,-0.07%
25,2023-10-13,178.85,181.42,181.93,178.14,51460000.0,-1.03%
26,2023-10-12,180.71,180.07,182.34,179.04,56550000.0,0.51%
27,2023-10-11,179.8,178.2,179.85,177.6,47040000.0,0.79%
28,2023-10-10,178.39,178.1,179.72,177.95,43650000.0,-0.34%
29,2023-10-9,178.99,176.81,179.05,175.8,42390000.0,0.85%
30,2023-10-6,177.49,173.8,177.99,173.18,57270000.0,1.48%
31,2023-10-5,174.91,173.79,175.45,172.68,48380000.0,0.72%
32,2023-10-4,173.66,171.09,174.21,170.97,52740000.0,0.73%
