,date,close,open,high,low,volume,chg
0,2023-11-17,265.39,269.41,269.41,264.6,2620000.0,-1.34%
1,2023-11-16,269.0,272.61,274.44,267.87,2370000.0,-1.48%
2,2023-11-15,273.03,270.28,274.61,270.02,2790000.0,1.11%
3,2023-11-14,270.02,269.22,272.95,268.36,2060000.0,1.25%
4,2023-11-13,266.69,265.68,267.22,263.52,1580000.0,-0.23%
5,2023-11-10,267.31,266.64,267.94,262.51,2069999.9999999998,1.23%
6,2023-11-9,264.06,272.13,273.23,263.7,2250000.0,-3.37%
7,2023-11-8,273.26,272.42,274.77,270.74,1920000.0,0.79%
8,2023-11-7,271.11,272.97,274.0,269.38,2530000.0,-0.63%
9,2023-11-6,272.83,270.77,274.95,270.75,2770000.0,1.10%
10,2023-11-3,269.86,268.52,270.55,265.5,2510000.0,1.23%
11,2023-11-2,266.59,263.3,268.1,262.46,2470000.0,2.20%
12,2023-11-1,260.84,256.27,261.18,255.09,2510000.0,2.01%
13,2023-10-31,255.7,255.89,257.42,249.7,4760000.0,-2.85%
14,2023-10-30,263.19,265.0,266.35,262.5,2870000.0,0.62%
15,2023-10-27,261.57,268.95,269.36,260.16,2870000.0,-3.02%
16,2023-10-26,269.71,271.5,273.44,269.14,2130000.0,-0.90%
17,2023-10-25,272.16,275.09,276.69,272.09,2270000.0,-1.43%
18,2023-10-24,276.12,272.09,277.06,271.13,2210000.0,1.12%
19,2023-10-23,273.06,280.12,280.12,272.7,2370000.0,-2.06%
20,2023-10-20,278.81,280.6,281.06,275.75,2460000.0,-0.64%
21,2023-10-19,280.6,282.09,283.21,278.1,2490000.0,-1.05%
22,2023-10-18,283.58,283.3,285.25,280.99,2780000.0,-0.30%
23,2023-10-17,284.42,285.19,287.34,282.5,2850000.0,-0.86%
24,2023-10-16,286.88,284.5,287.81,283.81,2440000.0,0.98%
25,2023-10-13,284.1,287.7,288.46,280.0,3470000.0,-0.33%
26,2023-10-12,285.04,283.98,287.85,283.6,3020000.0,0.51%
27,2023-10-11,283.6,274.86,284.33,274.15,4450000.0,4.55%
28,2023-10-10,271.25,270.89,272.09,268.12,1770000.0,-0.11%
29,2023-10-9,271.54,271.04,272.6,268.58,2280000.0,1.52%
30,2023-10-6,267.47,263.15,268.59,262.23,2840000.0,0.90%
31,2023-10-5,265.08,266.19,267.92,262.54,2880000.0,-0.14%
32,2023-10-4,265.44,262.1,266.14,260.91,2520000.0,1.70%
33,2023-10-3,261.01,264.04,266.02,259.67,2800000.0,-1.99%
34,2023-10-2,266.31,267.71,268.49,264.38,1910000.0,-0.91%
35,2023-9-29,268.76,271.0,271.0,267.22,2120000.0,-0.76%
36,2023-9-28,270.82,267.79,271.38,266.54,2420000.0,0.68%
37,2023-9-27,268.98,271.73,273.61,266.76,2330000.0,-0.02%
38,2023-9-26,269.04,266.68,269.89,265.67,2310000.0,0.82%
39,2023-9-25,266.86,267.54,267.8,265.01,1670000.0,-0.31%
40,2023-9-22,267.7,267.67,269.49,266.52,1890000.0,-0.63%
41,2023-9-21,269.41,272.07,272.48,267.7,2440000.0,-0.76%
42,2023-9-20,271.46,265.0,273.08,263.97,3570000.0,2.71%
43,2023-9-19,264.31,263.14,265.77,262.44,1530000.0,0.44%
44,2023-9-18,263.15,263.38,265.22,261.93,1530000.0,0.93%
45,2023-9-15,260.72,263.76,263.93,259.82,6160000.0,-0.60%
46,2023-9-14,262.3,258.9,263.14,258.54,3050000.0,1.97%
47,2023-9-13,257.23,259.34,260.22,257.02,2180000.0,-1.18%
48,2023-9-12,260.31,262.68,263.02,257.86,1570000.0,-0.54%
49,2023-9-11,261.72,258.21,262.81,257.41,2130000.0,0.88%
50,2023-9-8,259.43,255.75,260.34,254.97,2450000.0,1.98%
51,2023-9-7,254.39,250.54,254.7,250.4,2180000.0,2.16%
52,2023-9-6,249.01,254.44,254.44,248.38,1990000.0,-1.97%
53,2023-9-5,254.01,256.71,257.39,253.92,1720000.0,-1.05%
54,2023-9-1,256.71,258.68,259.03,256.1,1350000.0,0.14%
55,2023-8-31,256.34,258.22,259.0,256.29,2040000.0,-0.60%
56,2023-8-30,257.88,260.0,260.86,256.95,1690000.0,-0.68%
57,2023-8-29,259.64,257.36,259.85,256.82,2170000.0,1.20%
58,2023-8-28,256.55,256.96,258.12,255.14,1660000.0,0.07%
59,2023-8-25,256.38,257.11,257.74,254.81,1790000.0,-0.09%
60,2023-8-24,256.62,256.73,260.19,256.17,1890000.0,-0.29%
61,2023-8-23,257.36,259.5,259.85,255.98,2250000.0,-0.10%
62,2023-8-22,257.62,260.24,260.4,257.35,1720000.0,-1.18%
63,2023-8-21,260.7,261.58,262.47,259.01,2140000.0,-0.43%
64,2023-8-18,261.82,262.61,262.99,261.07,2810000.0,-0.77%
65,2023-8-17,263.85,263.87,266.58,263.27,2250000.0,-0.44%
66,2023-8-16,265.02,266.33,268.24,264.58,2240000.0,-0.37%
67,2023-8-15,266.01,261.32,266.63,259.96,2770000.0,1.93%
68,2023-8-14,260.97,262.22,263.47,259.85,1970000.0,-0.59%
69,2023-8-11,262.51,261.7,264.11,260.83,1560000.0,0.17%
70,2023-8-10,262.06,261.54,264.78,260.46,1910000.0,1.06%
71,2023-8-9,259.32,259.92,263.77,259.12,2400000.0,-0.57%
72,2023-8-8,260.8,257.52,263.79,256.5,5310000.0,3.11%
73,2023-8-7,252.94,244.25,253.82,243.46,4080000.0,3.97%
74,2023-8-4,243.28,237.91,246.42,237.0,5180000.0,5.45%
75,2023-8-3,230.7,230.79,231.1,228.21,2240000.0,0.13%
76,2023-8-2,230.41,232.72,233.03,228.7,2550000.0,-0.74%
77,2023-8-1,232.12,234.93,235.38,230.59,1830000.0,-0.87%
78,2023-7-31,234.15,236.48,236.48,233.02,2560000.0,-0.94%
79,2023-7-28,236.37,236.82,238.18,235.09,1890000.0,0.14%
80,2023-7-27,236.05,234.48,238.48,234.31,2440000.0,0.36%
81,2023-7-26,235.21,233.95,235.74,232.43,1580000.0,-0.04%
82,2023-7-25,235.31,234.36,236.57,234.28,1330000.0,-0.05%
83,2023-7-24,235.42,235.0,236.13,233.92,1760000.0,0.26%
84,2023-7-21,234.82,233.77,236.38,232.78,9380000.0,0.68%
85,2023-7-20,233.23,233.81,238.48,232.91,3740000.0,0.51%
86,2023-7-19,232.05,232.98,234.54,231.99,2040000.0,-0.22%
87,2023-7-18,232.57,227.79,234.07,227.4,2610000.0,2.08%
88,2023-7-17,227.84,226.87,228.6,224.34,2029999.9999999998,0.18%
89,2023-7-14,227.43,227.84,228.66,225.96,2040000.0,-0.10%
90,2023-7-13,227.66,225.85,228.12,225.0,1800000.0,0.88%
91,2023-7-12,225.68,225.17,227.32,224.09,2590000.0,0.81%
92,2023-7-11,223.86,223.83,225.58,222.27,2000000.0,-0.39%
93,2023-7-10,224.73,219.16,224.9,218.61,2500000.0,2.78%
94,2023-7-7,218.65,221.86,222.16,218.44,2840000.0,-1.94%
95,2023-7-6,222.98,224.92,225.99,221.7,2430000.0,-1.28%
96,2023-7-5,225.88,224.66,227.32,222.41,2420000.0,0.39%
97,2023-7-3,225.01,221.16,225.55,219.91,1480000.0,1.35%
98,2023-6-30,222.02,222.0,223.11,221.01,2840000.0,0.39%
99,2023-6-29,221.16,219.62,221.66,218.88,1820000.0,-0.07%
