,date,close,open,high,low,volume,chg
0,2023-11-17,162.56,159.91,162.56,159.91,2970000.0,2.21%
1,2023-11-16,159.05,159.65,160.09,157.97,3720000.0,-0.24%
2,2023-11-15,159.43,157.53,159.43,157.0,3270000.0,1.61%
3,2023-11-14,156.91,156.6,157.91,156.04,2950000.0,1.67%
4,2023-11-13,154.34,154.08,155.26,153.5,1750000.0,-0.03%
5,2023-11-10,154.38,153.04,154.48,152.1,2089999.9999999998,1.32%
6,2023-11-9,152.37,153.68,154.16,152.05,2049999.9999999998,-0.42%
7,2023-11-8,153.01,152.97,153.8,152.43,1800000.0,0.02%
8,2023-11-7,152.98,152.97,153.79,152.35,1580000.0,-0.01%
9,2023-11-6,152.99,152.6,153.07,151.51,2490000.0,0.15%
10,2023-11-3,152.76,152.58,153.88,152.4,2670000.0,1.27%
11,2023-11-2,150.85,148.33,150.91,148.33,3090000.0,3.00%
12,2023-11-1,146.45,146.49,146.82,145.14,2310000.0,0.29%
13,2023-10-31,146.03,143.33,146.68,143.07,3720000.0,1.93%
14,2023-10-30,143.27,142.72,143.86,141.73,3220000.0,1.39%
15,2023-10-27,141.31,143.85,143.96,141.02,3440000.0,-1.42%
16,2023-10-26,143.34,143.37,144.91,142.99,3340000.0,-0.13%
17,2023-10-25,143.52,144.09,144.84,143.23,2820000.0,-0.62%
18,2023-10-24,144.42,145.85,146.51,143.54,3490000.0,-0.12%
19,2023-10-23,144.59,141.5,145.85,140.91,5310000.0,2.13%
20,2023-10-20,141.57,144.7,147.94,141.44,8220000.000000001,-5.38%
21,2023-10-19,149.62,150.41,156.05,149.01,4520000.0,-1.26%
22,2023-10-18,151.53,153.12,153.59,151.13,2540000.0,-1.85%
23,2023-10-17,154.39,151.56,154.73,151.5,3870000.0,1.05%
24,2023-10-16,152.79,152.37,153.41,151.21,2530000.0,1.12%
25,2023-10-13,151.1,152.92,154.14,150.43,2480000.0,-0.12%
26,2023-10-12,151.28,152.5,152.72,150.11,2370000.0,-0.15%
27,2023-10-11,151.51,151.43,152.81,149.76,1700000.0,0.38%
28,2023-10-10,150.93,149.5,151.73,149.0,2900000.0,1.42%
29,2023-10-9,148.82,147.6,149.45,147.42,2280000.0,-0.33%
30,2023-10-6,149.32,146.71,150.35,146.14,3200000.0,1.52%
31,2023-10-5,147.09,145.58,147.54,144.77,2690000.0,0.31%
32,2023-10-4,146.63,145.9,146.92,144.4,3350000.0,1.09%
33,2023-10-3,145.05,148.5,149.18,144.31,4150000.0000000005,-2.96%
34,2023-10-2,149.48,148.42,149.9,148.07,2620000.0,0.19%
