,date,close,open,high,low,volume,chg
0,2023-11-17,208.04,208.1,209.38,206.88,3530000.0,0.70%
1,2023-11-16,206.6,207.3,207.69,204.96,4570000.0,-1.01%
2,2023-11-15,208.71,208.53,211.07,207.67,5180000.0,0.60%
3,2023-11-14,207.47,207.44,208.54,206.02,7240000.0,1.43%
4,2023-11-13,204.54,203.49,206.85,202.51,12930000.0,4.01%
5,2023-11-10,196.65,195.0,197.26,194.21,4790000.0,1.72%
6,2023-11-9,193.33,193.03,197.07,192.56,4580000.0,0.78%
7,2023-11-8,191.83,191.45,192.44,190.13,2960000.0,0.22%
8,2023-11-7,191.41,192.17,192.17,189.57,4010000.0,-0.80%
9,2023-11-6,192.95,195.88,196.15,192.46,4220000.0,-1.08%
10,2023-11-3,195.05,194.0,197.14,193.71,4490000.0,1.58%
11,2023-11-2,192.01,190.9,192.94,190.34,4250000.0,1.39%
12,2023-11-1,189.38,189.69,190.78,187.5,5810000.0,1.37%
13,2023-10-31,186.82,183.38,187.29,181.32,5020000.0,2.45%
14,2023-10-30,182.35,179.42,184.16,179.42,5310000.0,1.48%
15,2023-10-27,179.69,180.0,182.33,179.01,4610000.0,0.34%
16,2023-10-26,179.09,177.11,182.95,176.53,6880000.0,0.77%
17,2023-10-25,177.73,186.0,187.0,176.25,13740000.0,-2.54%
18,2023-10-24,182.36,183.21,184.35,181.8,4570000.0,0.73%
19,2023-10-23,181.03,179.44,183.72,178.43,4150000.0000000005,0.55%
20,2023-10-20,180.04,182.68,183.39,179.85,4450000.0,-1.50%
21,2023-10-19,182.79,185.5,187.05,182.54,3980000.0,-1.56%
22,2023-10-18,185.69,187.22,190.25,185.05,6220000.0,0.05%
23,2023-10-17,185.6,183.75,188.33,183.3,5110000.0,0.36%
24,2023-10-16,184.93,185.91,186.23,182.5,4640000.0,0.01%
25,2023-10-13,184.91,186.27,187.29,183.18,8199999.999999999,-3.34%
26,2023-10-12,191.3,195.1,195.7,189.96,5420000.0,-2.43%
27,2023-10-11,196.07,195.47,199.62,194.27,7380000.0,1.31%
28,2023-10-10,193.53,190.01,194.3,188.76,8020000.0,2.67%
29,2023-10-9,188.49,188.0,189.49,185.68,4580000.0,0.59%
30,2023-10-6,187.38,185.37,188.64,182.55,5170000.0,0.59%
31,2023-10-5,186.29,186.16,188.1,184.13,4280000.0,-0.24%
32,2023-10-4,186.73,188.85,190.63,184.34,7380000.0,-1.16%
33,2023-10-3,188.92,188.63,192.49,188.2,7220000.0,0.58%
34,2023-10-2,187.83,191.47,192.44,186.93,5210000.0,-2.01%
35,2023-9-29,191.68,191.92,192.95,190.17,5160000.0,0.66%
36,2023-9-28,190.43,193.7,195.26,190.03,7940000.0,-2.57%
37,2023-9-27,195.46,196.01,196.4,192.77,3940000.0,-0.09%
38,2023-9-26,195.64,197.79,199.39,195.42,3570000.0,-1.58%
39,2023-9-25,198.78,196.84,198.98,195.19,3510000.0,0.54%
40,2023-9-22,197.71,199.96,200.74,197.14,4450000.0,-1.12%
41,2023-9-21,199.95,201.0,203.6,199.71,4740000.0,-1.20%
42,2023-9-20,202.37,205.87,206.25,202.31,3730000.0,-1.03%
43,2023-9-19,204.48,205.4,205.66,202.39,3790000.0,-0.31%
44,2023-9-18,205.12,207.91,207.91,204.98,3560000.0,-1.44%
45,2023-9-15,208.11,209.28,209.83,206.88,4670000.0,-0.45%
46,2023-9-14,209.05,209.14,210.44,208.1,3950000.0,0.31%
47,2023-9-13,208.4,210.0,212.18,207.75,3480000.0,-1.07%
48,2023-9-12,210.65,209.35,212.26,208.58,3200000.0,-0.17%
49,2023-9-11,211.01,213.76,214.2,208.77,4490000.0,-0.12%
50,2023-9-8,211.27,215.82,216.0,210.51,5700000.0,-2.21%
51,2023-9-7,216.05,217.5,220.55,214.86,4840000.0,-0.87%
52,2023-9-6,217.95,221.77,222.79,216.42,4230000.0,-2.08%
53,2023-9-5,222.57,223.1,224.09,221.2,3170000.0,-0.37%
54,2023-9-1,223.4,226.0,226.23,221.95,3660000.0,-0.28%
55,2023-8-31,224.03,229.33,230.43,222.93,6840000.0,-2.11%
56,2023-8-30,228.85,227.08,231.17,226.65,3230000.0,0.70%
57,2023-8-29,227.25,225.88,229.4,225.66,3690000.0,0.08%
58,2023-8-28,227.06,224.21,227.45,223.29,4560000.0,1.63%
59,2023-8-25,223.41,218.41,223.77,212.88,12350000.0,2.81%
60,2023-8-24,217.31,222.51,224.2,217.09,9030000.0,-4.93%
61,2023-8-23,228.58,230.0,230.54,227.1,2680000.0,-0.65%
62,2023-8-22,230.07,228.08,230.48,226.93,2990000.0,1.25%
63,2023-8-21,227.22,226.8,227.69,225.1,2710000.0,0.25%
64,2023-8-18,226.65,222.23,226.79,221.68,3580000.0,0.94%
65,2023-8-17,224.54,230.57,231.64,224.26,4350000.0,-2.35%
66,2023-8-16,229.95,231.5,234.67,229.6,2250000.0,-0.99%
67,2023-8-15,232.26,235.0,235.56,231.54,3190000.0,-1.88%
