,date,close,open,high,low,volume,chg
0,2023-11-17,253.07,250.34,254.26,250.04,2780000.0,1.96%
1,2023-11-16,248.21,250.0,252.82,246.62,2620000.0,-1.15%
2,2023-11-15,251.09,249.65,252.9,248.65,3730000.0,1.30%
3,2023-11-14,247.86,247.32,249.53,244.69,3420000.0,2.56%
4,2023-11-13,241.67,238.88,243.31,238.88,2840000.0,0.83%
5,2023-11-10,239.68,235.34,240.15,234.62,2530000.0,2.36%
6,2023-11-9,234.15,237.44,239.28,233.82,2710000.0,-0.29%
7,2023-11-8,234.82,236.0,237.79,234.45,2520000.0,-0.04%
8,2023-11-7,234.92,234.58,237.14,233.57,4070000.0000000005,-1.41%
9,2023-11-6,238.28,241.51,242.92,236.36,2890000.0,-1.03%
10,2023-11-3,240.75,241.51,244.24,238.18,3930000.0,0.68%
11,2023-11-2,239.12,235.8,239.59,232.88,5700000.0,3.14%
12,2023-11-1,231.83,225.11,232.65,223.92,4910000.0,2.56%
13,2023-10-31,226.05,227.65,230.54,223.76,12050000.0,-6.65%
14,2023-10-30,242.16,240.94,243.6,239.18,4460000.0,1.51%
15,2023-10-27,238.56,243.05,243.91,237.86,3230000.0,-1.60%
16,2023-10-26,242.43,245.53,246.73,240.41,3850000.0,-1.02%
17,2023-10-25,244.94,249.87,250.77,244.5,2490000.0,-1.85%
18,2023-10-24,249.55,250.25,251.72,247.25,2280000.0,0.90%
19,2023-10-23,247.32,247.63,251.61,246.56,3190000.0,-0.75%
20,2023-10-20,249.2,251.31,253.49,248.16,3080000.0,-1.46%
21,2023-10-19,252.89,257.91,260.0,251.76,3840000.0,-2.44%
22,2023-10-18,259.22,268.5,269.0,258.75,4250000.0,-4.93%
23,2023-10-17,272.65,268.58,275.56,268.58,2110000.0,0.69%
24,2023-10-16,270.79,272.12,273.97,269.58,1670000.0,1.06%
25,2023-10-13,267.94,270.49,273.94,266.1,1910000.0,-0.62%
26,2023-10-12,269.61,273.8,273.8,266.19,1910000.0,-1.18%
27,2023-10-11,272.83,273.53,274.41,269.9,1540000.0,-0.14%
28,2023-10-10,273.21,272.65,275.1,271.83,1980000.0,0.70%
29,2023-10-9,271.3,266.04,271.61,264.65,1640000.0,1.98%
30,2023-10-6,266.04,261.57,268.42,258.27,2280000.0,2.01%
31,2023-10-5,260.8,263.9,265.94,260.43,2640000.0,-1.60%
32,2023-10-4,265.03,267.5,267.82,262.78,2970000.0,-1.46%
33,2023-10-3,268.97,271.21,273.58,267.54,2190000.0,-1.01%
34,2023-10-2,271.72,272.64,276.81,270.24,1780000.0,-0.47%
35,2023-9-29,273.0,279.08,279.55,271.36,2260000.0,-1.17%
36,2023-9-28,276.24,273.49,278.25,272.22,1980000.0,1.29%
37,2023-9-27,272.71,271.0,274.23,269.2,1990000.0,1.18%
38,2023-9-26,269.52,271.15,273.42,269.15,1740000.0,-1.73%
39,2023-9-25,274.27,270.75,274.83,270.07,1260000.0,0.44%
40,2023-9-22,273.06,272.01,275.1,271.61,1710000.0,0.38%
41,2023-9-21,272.03,276.21,276.21,271.6,2260000.0,-2.36%
42,2023-9-20,278.61,281.5,286.6,278.08,2380000.0,-0.38%
43,2023-9-19,279.67,280.08,283.5,277.65,2310000.0,-0.45%
44,2023-9-18,280.94,279.06,282.75,278.85,1340000.0,0.64%
45,2023-9-15,279.15,281.87,281.87,277.33,4940000.0,-1.21%
46,2023-9-14,282.56,279.0,283.17,277.83,2650000.0,2.41%
47,2023-9-13,275.92,280.21,282.74,273.03,2120000.0,-2.09%
48,2023-9-12,281.81,280.26,284.71,279.82,1580000.0,-0.09%
49,2023-9-11,282.05,284.56,285.0,279.95,1510000.0,-0.08%
50,2023-9-8,282.28,281.57,283.39,279.12,1240000.0,0.30%
51,2023-9-7,281.43,280.93,283.48,277.65,1590000.0,-0.52%
52,2023-9-6,282.9,280.42,284.47,279.04,1690000.0,0.45%
53,2023-9-5,281.63,286.34,289.41,281.38,2480000.0,-1.61%
54,2023-9-1,286.25,284.8,287.07,283.65,2340000.0,1.82%
55,2023-8-31,281.13,283.64,284.8,280.84,2570000.0,-0.43%
56,2023-8-30,282.33,280.03,283.81,279.81,1430000.0,0.82%
57,2023-8-29,280.03,275.0,280.13,273.43,2060000.0,1.91%
58,2023-8-28,274.79,273.5,277.0,273.04,1550000.0,0.82%
59,2023-8-25,272.56,271.52,273.62,268.83,1290000.0,1.21%
60,2023-8-24,269.3,271.6,274.69,269.2,1430000.0,-1.37%
61,2023-8-23,273.03,270.3,273.76,269.11,1680000.0,1.05%
62,2023-8-22,270.2,273.94,274.13,269.67,1670000.0,-0.93%
63,2023-8-21,272.75,274.75,276.23,268.8,2210000.0,-0.38%
64,2023-8-18,273.8,273.01,275.69,271.11,2530000.0,-0.50%
65,2023-8-17,275.17,277.02,279.55,274.66,2530000.0,0.24%
66,2023-8-16,274.51,277.0,281.71,274.08,2830000.0,-1.03%
67,2023-8-15,277.37,282.52,282.64,277.05,2590000.0,-2.52%
68,2023-8-14,284.54,284.06,285.6,281.27,2190000.0,-0.24%
69,2023-8-11,285.22,283.94,286.04,282.61,1870000.0,0.49%
70,2023-8-10,283.82,284.49,287.66,281.19,2650000.0,-0.25%
71,2023-8-9,284.53,284.66,287.12,283.88,3090000.0,0.58%
72,2023-8-8,282.89,278.0,283.95,274.78,2520000.0,0.44%
73,2023-8-7,281.65,277.12,281.96,275.89,2440000.0,1.88%
74,2023-8-4,276.44,283.2,283.5,275.36,3890000.0,-1.78%
75,2023-8-3,281.45,285.54,287.94,281.05,4740000.0,-2.13%
76,2023-8-2,287.57,287.75,293.88,286.09,6280000.0,-0.37%
77,2023-8-1,288.65,272.75,288.78,270.5,11800000.0,8.85%
78,2023-7-31,265.17,262.75,265.21,261.66,3560000.0,1.82%
79,2023-7-28,260.43,259.93,262.98,258.99,2100000.0,0.82%
80,2023-7-27,258.3,258.97,261.1,256.82,2280000.0,-0.01%
81,2023-7-26,258.32,260.53,262.54,257.25,2620000.0,-1.43%
82,2023-7-25,262.06,260.1,263.88,259.44,2020000.0,1.04%
83,2023-7-24,259.37,258.3,262.44,258.1,2200000.0,0.67%
84,2023-7-21,257.65,261.75,261.76,257.51,2250000.0,-1.32%
85,2023-7-20,261.09,264.17,265.4,260.44,2100000.0,-0.63%
86,2023-7-19,262.75,260.14,262.92,259.7,2760000.0,-0.40%
87,2023-7-18,263.81,257.63,264.16,256.93,3830000.0,2.47%
88,2023-7-17,257.46,254.27,258.85,252.01,2670000.0,0.72%
89,2023-7-14,255.62,256.48,256.48,252.91,1940000.0,-0.09%
90,2023-7-13,255.86,254.56,256.46,252.74,1950000.0,0.89%
91,2023-7-12,253.6,255.49,257.64,251.44,2980000.0,0.30%
92,2023-7-11,252.85,249.84,254.47,249.84,3260000.0,1.62%
93,2023-7-10,248.81,244.51,249.36,244.09,2770000.0,1.48%
94,2023-7-7,245.18,240.19,247.8,240.11,2890000.0,1.91%
95,2023-7-6,240.58,242.75,243.87,238.84,3070000.0,-1.74%
96,2023-7-5,244.83,245.0,247.5,244.12,1820000.0,-1.01%
97,2023-7-3,247.33,245.69,248.39,245.38,1050000.0,0.52%
98,2023-6-30,246.05,246.57,246.93,243.89,2380000.0,0.74%
99,2023-6-29,244.24,241.94,246.86,241.37,2049999.9999999998,0.98%
