,date,close,open,high,low,volume,chg
0,2023-11-17,221.22,221.44,222.76,220.4,3600000.0,-0.10%
1,2023-11-16,221.45,219.76,222.77,218.94,3690000.0,0.93%
2,2023-11-15,219.42,220.75,221.23,217.66,4780000.0,-0.80%
3,2023-11-14,221.18,219.17,221.24,217.98,4720000.0,2.74%
4,2023-11-13,215.28,212.57,216.14,211.76,3290000.0,0.77%
5,2023-11-10,213.63,209.4,214.26,208.84,4110000.0000000005,1.72%
6,2023-11-9,210.01,213.57,213.58,209.07,4730000.0,-0.69%
7,2023-11-8,211.47,212.42,212.52,209.65,3410000.0,-0.17%
8,2023-11-7,211.84,209.5,213.34,208.96,5470000.0,2.13%
9,2023-11-6,207.42,208.21,208.48,204.69,3730000.0,-0.02%
10,2023-11-3,207.47,209.39,210.18,207.2,3860000.0,-0.31%
11,2023-11-2,208.11,206.31,208.26,205.95,4930000.0,2.06%
12,2023-11-1,203.91,200.92,204.49,200.49,3570000.0,1.53%
13,2023-10-31,200.83,200.42,201.91,198.66,3350000.0,0.78%
14,2023-10-30,199.27,199.0,200.58,197.08,3400000.0,1.37%
15,2023-10-27,196.57,197.3,198.31,195.41,3170000.0,0.16%
16,2023-10-26,196.25,197.42,199.66,193.68,5100000.0,-0.41%
17,2023-10-25,197.06,203.2,203.74,195.43,4450000.0,-3.51%
18,2023-10-24,204.22,203.73,204.64,200.93,3930000.0,1.10%
19,2023-10-23,202.0,199.9,203.57,197.85,4560000.0,-0.85%
20,2023-10-20,203.73,207.36,208.11,202.12,5500000.0,-2.20%
21,2023-10-19,208.32,206.45,210.95,205.53,4850000.0,1.70%
22,2023-10-18,204.83,208.88,209.63,204.19,3330000.0,-2.39%
23,2023-10-17,209.84,206.49,211.94,206.0,3850000.0,0.63%
24,2023-10-16,208.53,205.84,209.49,205.04,3570000.0,1.93%
25,2023-10-13,204.59,205.11,207.14,203.21,3670000.0,-0.53%
26,2023-10-12,205.68,207.83,208.58,203.27,3510000.0,-0.57%
27,2023-10-11,206.85,207.23,209.2,204.41,3940000.0,-0.01%
28,2023-10-10,206.88,207.64,209.22,206.26,4440000.0,-0.16%
29,2023-10-9,207.22,204.89,208.28,204.69,2780000.0,-0.07%
30,2023-10-6,207.36,200.48,208.27,199.89,4900000.0,2.65%
31,2023-10-5,202.01,202.0,202.15,198.49,3590000.0,0.07%
32,2023-10-4,201.87,200.88,202.74,199.51,3640000.0,1.02%
33,2023-10-3,199.83,202.75,203.57,197.42,4620000.0,-1.90%
34,2023-10-2,203.71,200.8,205.11,200.52,3730000.0,0.46%
35,2023-9-29,202.78,205.08,207.79,202.1,4410000.0,-0.21%
36,2023-9-28,203.2,200.76,205.15,199.55,4330000.0,0.23%
37,2023-9-27,202.73,202.99,203.93,200.94,3870000.0,0.12%
38,2023-9-26,202.49,205.47,206.44,201.28,5390000.0,-1.87%
39,2023-9-25,206.34,205.0,206.53,203.87,4059999.9999999995,-0.04%
40,2023-9-22,206.43,209.31,209.72,205.88,3850000.0,-1.05%
41,2023-9-21,208.61,209.8,211.89,208.07,4950000.0,-2.07%
42,2023-9-20,213.03,215.2,217.18,212.92,2980000.0,-1.24%
43,2023-9-19,215.7,214.39,216.06,212.26,3910000.0,0.33%
44,2023-9-18,215.0,214.56,216.38,214.18,3910000.0,0.18%
45,2023-9-15,214.61,218.87,219.19,213.46,9940000.0,-1.91%
46,2023-9-14,218.78,219.42,220.57,218.34,4260000.0,-0.01%
47,2023-9-13,218.8,221.18,221.86,218.29,4170000.0,-1.29%
48,2023-9-12,221.66,223.45,224.79,221.26,3980000.0,-1.62%
49,2023-9-11,225.31,226.01,226.82,222.79,4410000.0,0.24%
50,2023-9-8,224.76,223.32,225.47,222.86,4580000.0,1.00%
51,2023-9-7,222.53,219.77,222.73,219.31,4190000.0000000005,0.41%
52,2023-9-6,221.62,219.47,222.21,219.02,4980000.0,1.34%
53,2023-9-5,218.69,219.33,220.32,217.61,5770000.0,-1.28%
54,2023-9-1,221.53,223.5,223.97,220.52,5600000.0,0.03%
55,2023-8-31,221.46,228.0,228.79,221.2,19180000.0,2.99%
56,2023-8-30,215.04,211.77,215.59,209.43,8940000.0,1.45%
57,2023-8-29,211.96,206.75,212.46,206.52,5830000.0,0.11%
58,2023-8-28,211.72,210.45,213.48,209.64,4080000.0,1.07%
59,2023-8-25,209.47,205.51,210.79,205.48,3070000.0,1.93%
60,2023-8-24,205.51,211.01,211.99,205.44,3960000.0,-1.73%
61,2023-8-23,209.13,208.0,210.99,207.14,3800000.0,1.15%
62,2023-8-22,206.76,209.85,210.1,206.0,3150000.0,-1.09%
63,2023-8-21,209.03,206.0,209.42,204.22,4010000.0,2.05%
64,2023-8-18,204.83,200.97,205.5,200.2,4220000.0,0.49%
65,2023-8-17,203.84,206.57,206.93,203.39,4059999.9999999995,-1.52%
66,2023-8-16,206.99,208.0,209.69,206.95,2750000.0,-0.86%
67,2023-8-15,208.78,210.33,212.37,207.84,4050000.0,-1.55%
68,2023-8-14,212.06,207.9,212.1,207.12,3250000.0,1.61%
69,2023-8-11,208.7,206.13,209.5,205.5,2930000.0,0.22%
70,2023-8-10,208.25,208.18,210.34,206.44,3990000.0,1.16%
71,2023-8-9,205.86,211.65,211.66,204.91,7820000.0,-2.70%
72,2023-8-8,211.58,213.55,214.19,211.14,4840000.0,-2.07%
73,2023-8-7,216.06,215.31,216.89,214.37,3610000.0,0.69%
74,2023-8-4,214.59,216.41,217.25,213.07,4800000.0,-0.45%
75,2023-8-3,215.56,216.2,218.21,214.6,5500000.0,-2.24%
76,2023-8-2,220.5,221.98,222.85,218.79,5110000.0,-1.68%
77,2023-8-1,224.27,223.89,224.81,221.63,4190000.0000000005,-0.33%
78,2023-7-31,225.01,222.35,225.38,221.75,5430000.0,-0.26%
79,2023-7-28,225.6,226.0,227.31,223.98,4240000.0,0.20%
80,2023-7-27,225.15,228.04,230.14,224.01,4300000.0,-0.19%
