,date,close,open,high,low,volume,chg
0,2023-11-17,47.76,47.96,48.36,47.73,32570000.0,-0.58%
1,2023-11-16,48.04,47.41,48.06,46.2,78900000.0,-9.83%
2,2023-11-15,53.28,53.27,53.43,53.03,28420000.0,0.21%
3,2023-11-14,53.17,52.47,53.37,52.47,18230000.0,1.80%
4,2023-11-13,52.23,52.48,52.64,52.09,14450000.0,-0.68%
5,2023-11-10,52.59,52.25,52.63,51.93,17370000.0,1.13%
6,2023-11-9,52.0,52.12,52.57,51.75,20850000.0,-1.89%
7,2023-11-8,53.0,53.39,53.5,52.77,13630000.0,-0.24%
8,2023-11-7,53.13,53.34,53.44,52.97,15140000.0,-0.30%
9,2023-11-6,53.29,52.97,53.3,52.88,15430000.0,0.53%
10,2023-11-3,53.01,53.26,53.45,52.63,17650000.0,0.49%
11,2023-11-2,52.75,52.32,52.8,52.18,17380000.0,1.07%
12,2023-11-1,52.19,52.04,52.28,51.8,14300000.0,0.12%
13,2023-10-31,52.13,51.75,52.17,51.68,13510000.0,1.09%
14,2023-10-30,51.57,51.35,51.64,51.09,13080000.0,0.02%
15,2023-10-27,51.56,51.64,52.15,51.4,13330000.0,0.37%
16,2023-10-26,51.37,51.87,52.13,51.31,17210000.0,-1.97%
17,2023-10-25,52.4,53.11,53.37,52.33,14340000.0,-1.15%
18,2023-10-24,53.01,52.26,53.05,52.06,14820000.0,1.55%
19,2023-10-23,52.2,52.82,52.85,52.16,16810000.0,-1.38%
20,2023-10-20,52.93,53.39,53.59,52.8,23890000.0,-0.73%
21,2023-10-19,53.32,53.76,53.93,53.2,14360000.0,-0.84%
22,2023-10-18,53.77,53.79,54.19,53.6,13070000.0,-0.32%
23,2023-10-17,53.94,53.79,53.98,53.17,17070000.0,-0.41%
24,2023-10-16,54.16,54.07,54.58,54.04,11640000.0,0.73%
25,2023-10-13,53.77,53.88,54.12,53.44,14410000.0,-0.15%
26,2023-10-12,53.85,54.02,54.22,53.51,11840000.0,0.35%
27,2023-10-11,53.66,53.93,54.13,53.35,12620000.0,-0.39%
28,2023-10-10,53.87,53.96,54.09,53.65,13060000.0,-0.09%
29,2023-10-9,53.92,53.35,53.96,53.25,10160000.0,0.88%
30,2023-10-6,53.45,52.99,53.74,52.74,15670000.0,0.72%
31,2023-10-5,53.07,53.4,53.47,52.58,14930000.0,-0.71%
32,2023-10-4,53.45,53.66,53.85,53.22,17010000.0,-0.37%
33,2023-10-3,53.65,53.86,53.89,53.35,15700000.0,-1.36%
34,2023-10-2,54.39,53.84,54.4,53.81,13920000.0,1.17%
35,2023-9-29,53.76,54.16,54.2,53.5,13950000.0,-0.22%
36,2023-9-28,53.88,53.37,54.19,53.35,17200000.0,1.28%
37,2023-9-27,53.2,52.89,53.37,52.53,15830000.0,0.93%
38,2023-9-26,52.71,53.18,53.29,52.58,15600000.0,-1.44%
39,2023-9-25,53.48,53.46,53.68,53.16,14210000.0,-0.17%
40,2023-9-22,53.57,53.4,53.83,53.2,17870000.0,0.43%
41,2023-9-21,53.34,53.41,54.1,52.85,37430000.0,-3.89%
42,2023-9-20,55.5,55.95,56.05,55.44,12210000.0,-0.61%
43,2023-9-19,55.84,56.18,56.21,55.46,10740000.0,-0.48%
44,2023-9-18,56.11,56.01,56.28,55.83,11820000.0,0.12%
45,2023-9-15,56.04,56.31,56.39,55.54,44030000.0,-0.59%
46,2023-9-14,56.37,56.42,56.47,56.08,15760000.0,0.16%
47,2023-9-13,56.28,56.32,56.53,56.08,13090000.0,-0.20%
48,2023-9-12,56.39,56.65,56.86,56.34,13910000.0,-0.79%
49,2023-9-11,56.84,56.72,56.97,56.44,15840000.0,0.30%
50,2023-9-8,56.67,56.76,57.07,56.56,13990000.0,-0.21%
51,2023-9-7,56.79,56.97,57.09,56.66,13800000.0,-0.65%
52,2023-9-6,57.16,57.1,57.47,57.07,11380000.0,-0.17%
53,2023-9-5,57.26,57.82,57.82,57.23,13880000.0,-1.00%
54,2023-9-1,57.84,57.39,58.19,57.39,14080000.0,0.85%
55,2023-8-31,57.35,57.1,57.53,56.89,21420000.0,0.95%
56,2023-8-30,56.81,56.63,56.91,56.53,12140000.0,0.44%
57,2023-8-29,56.56,56.35,56.8,56.11,17860000.0,0.64%
58,2023-8-28,56.2,55.89,56.28,55.68,15170000.0,0.90%
59,2023-8-25,55.7,55.25,55.87,55.25,15730000.0,0.83%
60,2023-8-24,55.24,56.32,56.47,55.21,17560000.0,-1.32%
61,2023-8-23,55.98,55.61,56.2,55.4,17220000.0,0.94%
62,2023-8-22,55.46,55.48,55.82,55.28,15660000.0,0.04%
63,2023-8-21,55.44,55.2,55.79,55.15,18230000.0,0.73%
64,2023-8-18,55.04,54.63,55.46,54.62,28840000.0,0.57%
65,2023-8-17,54.73,54.44,55.83,54.37,45230000.0,3.34%
66,2023-8-16,52.96,53.19,53.52,52.87,23540000.0,-0.73%
67,2023-8-15,53.35,53.62,53.73,53.18,20140000.0,-0.98%
68,2023-8-14,53.88,53.8,54.13,53.72,20710000.0,0.17%
69,2023-8-11,53.79,53.35,53.94,53.19,14340000.0,0.79%
70,2023-8-10,53.37,53.41,54.14,53.17,16320000.0,0.72%
71,2023-8-9,52.99,52.9,53.45,52.66,17970000.0,-0.13%
72,2023-8-8,53.06,52.66,53.13,52.35,12210000.0,0.09%
73,2023-8-7,53.01,52.97,53.06,52.68,11330000.0,0.72%
74,2023-8-4,52.63,52.88,53.32,52.54,12270000.0,-0.98%
75,2023-8-3,53.15,52.49,53.27,52.24,15000000.0,1.08%
76,2023-8-2,52.58,52.38,53.11,52.32,17440000.0,-0.15%
77,2023-8-1,52.66,52.57,52.78,52.31,15270000.0,1.19%
78,2023-7-31,52.04,51.84,52.18,51.74,14170000.0,-0.10%
79,2023-7-28,52.09,52.06,52.42,51.77,27490000.0,-1.72%
80,2023-7-27,53.0,53.6,53.88,52.85,15800000.0,-0.41%
81,2023-7-26,53.22,53.54,53.65,52.96,13560000.0,-0.71%
82,2023-7-25,53.6,53.19,53.76,53.11,16140000.0,0.92%
83,2023-7-24,53.11,52.69,53.31,52.67,17130000.0,0.91%
84,2023-7-21,52.63,52.74,52.99,52.53,51280000.0,0.50%
85,2023-7-20,52.37,52.06,52.87,51.92,22780000.0,-0.11%
86,2023-7-19,52.43,52.21,52.44,51.7,21740000.0,2.32%
87,2023-7-18,51.24,50.98,51.37,50.85,16420000.000000002,0.85%
88,2023-7-17,50.81,50.2,50.95,50.14,15930000.0,0.85%
89,2023-7-14,50.38,50.42,50.97,50.06,19570000.0,-2.23%
90,2023-7-13,51.53,50.69,51.62,50.65,17860000.0,1.56%
91,2023-7-12,50.74,51.56,51.93,50.53,25890000.0,-2.65%
92,2023-7-11,52.12,51.57,52.15,51.54,14730000.0,1.40%
93,2023-7-10,51.4,51.07,51.5,51.02,19040000.0,0.80%
94,2023-7-7,50.99,51.0,51.65,50.74,15580000.0,-0.23%
95,2023-7-6,51.11,51.06,51.19,50.65,13880000.0,-0.78%
96,2023-7-5,51.51,50.97,51.57,50.92,14930000.0,-0.60%
97,2023-7-3,51.82,51.35,51.83,51.34,7340000.0,0.15%
98,2023-6-30,51.74,51.88,52.26,51.52,18190000.0,1.03%
99,2023-6-29,51.21,50.86,51.27,50.82,14240000.0,0.67%
100,2023-6-28,50.87,50.78,51.01,50.44,11380000.0,0.02%
101,2023-6-27,50.86,50.31,51.04,50.25,12970000.0,1.29%
102,2023-6-26,50.21,50.31,50.8,50.18,13020000.0,-0.24%
103,2023-6-23,50.33,50.64,50.72,50.09,16540000.0,-1.55%
104,2023-6-22,51.12,50.65,51.14,50.43,14890000.0,0.53%
105,2023-6-21,50.85,51.38,51.4,50.82,16770000.0,-1.36%
106,2023-6-20,51.55,51.94,52.08,51.47,20140000.0,-1.00%
107,2023-6-16,52.07,52.2,52.4,51.93,37130000.0,0.27%
