,date,close,open,high,low,volume,chg
0,2023-11-17,144.46,143.14,145.18,142.41,10850000.0,1.90%
1,2023-11-16,141.77,143.13,143.36,140.74,13980000.0,-2.60%
2,2023-11-15,145.56,144.78,146.63,144.69,10000000.0,0.35%
3,2023-11-14,145.05,144.34,145.49,143.91,11210000.0,0.73%
4,2023-11-13,144.0,143.15,144.3,142.85,8670000.0,0.73%
5,2023-11-10,142.95,143.29,143.44,141.73,11990000.0,0.71%
6,2023-11-9,141.94,143.05,143.91,141.78,10360000.0,-0.32%
7,2023-11-8,142.4,143.88,144.65,142.25,12520000.0,-1.39%
8,2023-11-7,144.41,145.16,145.61,143.24,15050000.0,-1.76%
9,2023-11-6,147.0,148.73,149.33,146.69,10630000.0,-0.41%
10,2023-11-3,147.61,148.3,148.56,146.15,13160000.0,-0.77%
11,2023-11-2,148.76,144.54,149.0,143.83,10810000.0,3.32%
12,2023-11-1,143.98,145.98,146.01,143.82,10500000.0,-1.20%
13,2023-10-31,145.73,146.1,146.52,144.23,14190000.0,-0.25%
14,2023-10-30,146.09,145.66,146.44,144.32,13770000.0,1.21%
15,2023-10-27,144.35,150.72,151.25,143.96,24520000.0,-6.72%
16,2023-10-26,154.75,155.01,155.18,153.63,10750000.0,-0.72%
17,2023-10-25,155.87,156.94,157.41,155.17,10410000.0,-0.50%
18,2023-10-24,156.65,160.89,161.08,156.47,17640000.0,-2.51%
19,2023-10-23,160.68,163.3,164.43,160.25,16230000.0,-3.69%
20,2023-10-20,166.83,168.41,169.1,166.1,7420000.0,-1.34%
21,2023-10-19,169.1,168.7,170.17,167.51,6560000.0,0.11%
22,2023-10-18,168.92,168.47,169.7,167.58,6880000.0,0.79%
23,2023-10-17,167.59,164.83,168.2,164.65,7510000.0,1.32%
24,2023-10-16,165.4,165.34,165.81,163.85,5430000.0,0.82%
25,2023-10-13,164.06,163.41,164.84,162.3,8020000.0,1.76%
26,2023-10-12,161.23,163.26,163.26,160.9,7370000.0,0.08%
27,2023-10-11,161.1,165.07,165.08,160.48,12530000.0,-3.27%
28,2023-10-10,166.54,166.76,167.4,165.68,6390000.0,-0.11%
29,2023-10-9,166.72,166.38,168.19,164.95,8180000.0,2.77%
30,2023-10-6,162.23,164.31,164.37,158.99,10120000.0,-1.02%
31,2023-10-5,163.9,161.42,164.75,161.39,7990000.0,0.53%
32,2023-10-4,163.04,164.7,164.98,161.49,9600000.0,-2.33%
33,2023-10-3,166.93,165.92,167.36,165.51,6130000.0,0.23%
34,2023-10-2,166.54,168.34,168.57,165.23,6790000.0,-1.23%
35,2023-9-29,168.62,170.49,170.5,167.82,7400000.0,-1.15%
36,2023-9-28,170.59,170.55,171.7,169.43,7130000.0,-0.26%
37,2023-9-27,171.04,169.37,171.23,168.81,9000000.0,1.93%
38,2023-9-26,167.8,167.44,168.41,166.98,5620000.0,-0.54%
39,2023-9-25,168.71,166.33,168.78,165.99,5490000.0,1.46%
40,2023-9-22,166.28,166.23,167.42,165.94,5970000.0,0.66%
41,2023-9-21,165.19,167.12,167.87,165.05,7140000.0,-0.90%
42,2023-9-20,166.69,167.07,168.51,166.6,5910000.0,-0.31%
43,2023-9-19,167.2,168.69,168.96,166.43,6610000.0,-0.01%
44,2023-9-18,167.22,167.87,168.36,166.4,6830000.0,0.43%
45,2023-9-15,166.5,166.21,168.37,165.88,17440000.0,-0.44%
46,2023-9-14,167.23,167.7,168.5,167.12,8810000.0,0.62%
47,2023-9-13,166.2,167.4,167.75,165.58,5760000.0,-0.37%
48,2023-9-12,166.81,165.3,167.19,165.1,7510000.0,1.86%
49,2023-9-11,163.76,168.08,168.59,162.87,7120000.0,-2.06%
50,2023-9-8,167.21,167.42,168.49,166.71,7420000.0,0.34%
51,2023-9-7,166.64,167.14,167.9,166.28,7900000.0,0.01%
52,2023-9-6,166.63,166.28,167.44,165.58,7190000.0,0.10%
53,2023-9-5,166.46,165.28,167.56,165.2,9740000.0,1.31%
54,2023-9-1,164.3,162.64,164.69,162.64,6660000.0,1.99%
55,2023-8-31,161.1,161.01,161.24,159.93,6960000.0,0.57%
56,2023-8-30,160.18,160.59,161.25,159.93,5510000.0,0.14%
57,2023-8-29,159.96,160.91,160.95,159.1,5200000.0,-0.16%
58,2023-8-28,160.21,159.53,161.8,159.21,4380000.0,0.69%
59,2023-8-25,159.12,159.07,159.91,157.65,5290000.0,0.75%
60,2023-8-24,157.94,157.73,159.89,157.56,5760000.0,-0.82%
61,2023-8-23,159.25,158.14,159.4,156.7,4970000.0,0.13%
62,2023-8-22,159.04,160.49,161.25,158.97,6030000.0,-0.82%
63,2023-8-21,160.36,161.2,162.07,159.45,6790000.0,-0.34%
64,2023-8-18,160.9,158.38,161.32,158.16,6000000.0,0.72%
65,2023-8-17,159.75,159.18,162.14,158.97,8260000.0,0.71%
66,2023-8-16,158.63,160.52,161.83,158.47,7880000.0,-0.38%
67,2023-8-15,159.24,163.4,163.41,159.1,7800000.0,-2.92%
68,2023-8-14,164.03,163.77,164.25,162.61,6030000.0,-0.07%
69,2023-8-11,164.15,160.5,164.17,160.18,6680000.0,2.06%
70,2023-8-10,160.83,160.33,162.48,159.62,8640000.0,0.61%
71,2023-8-9,159.86,160.86,161.44,159.31,10470000.0,0.13%
72,2023-8-8,159.65,157.94,159.79,156.22,6370000.0,-0.15%
73,2023-8-7,159.89,161.01,161.38,159.08,13910000.0,0.36%
74,2023-8-4,159.31,160.66,163.02,159.04,10190000.0,-0.23%
75,2023-8-3,159.67,159.91,161.7,158.85,6630000.0,-0.04%
76,2023-8-2,159.73,161.17,161.22,158.06,7060000.0,-1.58%
77,2023-8-1,162.3,163.64,163.64,160.55,7510000.0,-0.83%
78,2023-7-31,163.66,161.13,163.98,160.62,13050000.0,3.02%
79,2023-7-28,158.87,158.41,159.0,156.51,6550000.0,-0.49%
80,2023-7-27,159.66,162.09,162.47,159.22,6470000.0,-1.04%
81,2023-7-26,161.34,160.88,162.09,160.55,6060000.0,-0.75%
82,2023-7-25,162.56,161.91,163.51,160.66,6770000.0,0.46%
83,2023-7-24,161.82,160.47,164.04,160.01,9720000.0,1.97%
84,2023-7-21,158.69,157.53,158.83,157.06,8760000.0,1.46%
85,2023-7-20,156.4,156.16,157.19,155.71,5870000.0,1.11%
86,2023-7-19,154.69,153.83,155.78,153.28,5620000.0,0.61%
87,2023-7-18,153.75,152.67,156.07,152.37,6780000.0,0.20%
88,2023-7-17,153.44,153.35,154.14,152.64,4330000.0,-0.09%
89,2023-7-14,153.58,157.01,157.02,153.3,7010000.0,-2.50%
90,2023-7-13,157.51,159.84,160.6,156.57,8130000.000000001,-1.33%
91,2023-7-12,159.64,159.22,160.34,158.33,6420000.0,0.96%
92,2023-7-11,158.12,156.0,158.4,155.66,5050000.0,1.85%
93,2023-7-10,155.25,153.93,155.79,153.92,5170000.0,0.67%
94,2023-7-7,154.22,152.14,155.99,151.96,6590000.0,0.88%
95,2023-7-6,152.88,155.2,155.83,151.63,9170000.0,-2.19%
96,2023-7-5,156.31,157.7,157.7,155.12,6310000.0,-0.57%
97,2023-7-3,157.21,157.15,158.1,156.72,3270000.0,-0.09%
98,2023-6-30,157.35,157.46,157.92,156.6,6350000.0,0.71%
99,2023-6-29,156.24,155.43,156.27,154.44,5600000.0,0.85%
100,2023-6-28,154.92,153.44,155.02,152.19,5760000.0,0.91%
101,2023-6-27,153.53,153.5,154.71,152.82,6570000.0,-0.31%
102,2023-6-26,154.01,151.62,154.97,151.54,7350000.0,1.76%
103,2023-6-23,151.35,151.01,151.7,150.13,15170000.0,-0.85%
104,2023-6-22,152.64,153.35,153.59,151.97,7080000.0,-1.45%
105,2023-6-21,154.88,152.67,155.96,152.5,7270000.0,0.78%
106,2023-6-20,153.68,156.15,156.57,152.24,10230000.0,-2.28%
107,2023-6-16,157.26,158.57,159.24,157.26,22880000.0,-0.64%
108,2023-6-15,158.28,157.32,159.79,157.32,7660000.0,0.76%
109,2023-6-14,157.09,159.98,160.77,156.15,7700000.0,-0.90%
110,2023-6-13,158.51,158.52,160.58,158.27,7660000.0,0.75%
111,2023-6-12,157.33,157.06,159.33,156.23,7150000.0,-0.96%
112,2023-6-9,158.86,159.28,160.39,158.62,6650000.0,-0.24%
113,2023-6-8,159.24,160.16,160.49,157.09,7000000.0,-0.37%
114,2023-6-7,159.83,156.55,160.21,156.5,9900000.0,2.59%
115,2023-6-6,155.79,153.33,156.16,153.2,6170000.0,0.18%
116,2023-6-5,155.51,158.45,157.89,155.24,6030000.0,-0.48%
117,2023-6-2,156.26,154.58,156.75,153.61,9420000.0,2.69%
118,2023-6-1,152.16,151.3,153.74,149.74,9830000.0,1.02%
119,2023-5-31,150.62,151.54,152.42,150.36,13140000.0,-1.63%
120,2023-5-30,153.12,151.67,153.26,151.21,7810000.0,-0.62%
121,2023-5-26,154.08,155.29,155.63,153.46,7740000.0,-0.31%
122,2023-5-25,154.56,154.68,155.63,153.5,6920000.0,-1.72%
123,2023-5-24,157.27,157.95,158.57,156.29,7050000.0,0.27%
124,2023-5-23,156.85,154.14,157.68,153.84,10420000.0,2.89%
125,2023-5-22,152.44,153.79,154.83,152.09,11530000.0,-1.80%
126,2023-5-19,155.23,154.89,156.44,153.99,8100000.0,0.79%
127,2023-5-18,154.01,152.87,154.24,151.53,7460000.0,-1.09%
128,2023-5-17,155.71,154.79,156.42,153.96,6170000.0,1.43%
129,2023-5-16,153.51,156.48,157.02,153.33,7010000.0,-2.35%
130,2023-5-15,157.2,157.23,158.16,156.23,5100000.0,0.37%
131,2023-5-12,156.62,157.0,157.93,155.56,4900000.0,0.26%
132,2023-5-11,156.22,155.38,156.32,153.89,6670000.0,-0.55%
133,2023-5-10,157.09,160.44,160.44,155.88,6160000.0,-1.28%
134,2023-5-9,159.12,158.11,160.41,157.91,5020000.0,-0.29%
135,2023-5-8,159.58,161.57,162.3,159.52,5030000.0,-0.39%
136,2023-5-5,160.21,159.3,161.12,158.78,5800000.0,2.55%
137,2023-5-4,156.22,157.11,158.2,155.42,7500000.0,-0.39%
138,2023-5-3,156.83,158.15,159.57,156.74,7540000.0,-2.01%
139,2023-5-2,160.04,165.32,165.38,158.45,10700000.0,-4.31%
140,2023-5-1,167.24,167.71,168.73,166.36,6100000.0,-0.79%
141,2023-4-28,168.58,164.5,168.94,164.05,10040000.0,0.98%
142,2023-4-27,166.95,166.43,167.39,165.07,6420000.0,0.58%
143,2023-4-26,165.98,168.21,168.95,165.23,5930000.0,-1.78%
144,2023-4-25,168.99,170.32,170.4,168.43,5810000.0,-1.45%
145,2023-4-24,171.48,169.1,172.38,168.58,7180000.0,1.40%
146,2023-4-21,169.12,169.83,170.59,168.84,7180000.0,-0.43%
147,2023-4-20,169.85,168.76,170.06,168.02,5850000.0,-0.49%
148,2023-4-19,170.68,169.46,170.74,169.1,5510000.0,0.09%
149,2023-4-18,170.52,170.82,172.39,170.13,8050000.000000001,-0.23%
150,2023-4-17,170.92,172.39,172.54,170.22,7010000.0,-0.88%
151,2023-4-14,172.44,172.5,172.88,171.22,4930000.0,0.20%
152,2023-4-13,172.09,170.25,172.47,169.82,6860000.0,1.34%
153,2023-4-12,169.82,170.45,171.12,169.47,6160000.0,0.35%
154,2023-4-11,169.22,169.07,170.34,168.07,5470000.0,0.55%
