,date,close,open,high,low,volume,chg
0,2023-11-17,94.15,94.77,95.36,93.93,12160000.0,-0.38%
1,2023-11-16,94.51,93.94,94.6,93.64,12880000.0,0.62%
2,2023-11-15,93.93,92.93,94.56,92.92,20490000.0,3.14%
3,2023-11-14,91.07,90.14,91.54,90.0,12910000.0,1.82%
4,2023-11-13,89.44,88.42,89.9,87.41,12730000.0,1.33%
5,2023-11-10,88.27,90.13,90.16,86.93,25200000.0,-2.29%
6,2023-11-9,90.34,87.84,91.21,87.6,51060000.0,6.91%
7,2023-11-8,84.5,84.14,84.92,83.95,21500000.0,-0.11%
8,2023-11-7,84.59,84.15,84.68,83.95,10540000.0,0.68%
9,2023-11-6,84.02,85.08,85.8,83.59,14160000.0,-1.23%
10,2023-11-3,85.07,84.17,85.93,84.16,11330000.0,2.14%
11,2023-11-2,83.29,81.85,83.3,81.82,11400000.0,2.74%
12,2023-11-1,81.07,81.53,81.58,80.18,8900000.0,-0.64%
13,2023-10-31,81.59,80.69,81.67,80.33,8660000.0,1.13%
14,2023-10-30,80.68,79.72,80.93,79.53,10220000.0,1.70%
15,2023-10-27,79.33,79.75,81.03,79.23,10300000.0,-0.56%
16,2023-10-26,79.78,80.08,80.61,79.42,11490000.0,-1.01%
17,2023-10-25,80.59,82.13,82.55,80.51,9290000.0,-2.39%
18,2023-10-24,82.56,83.41,84.2,81.74,11460000.0,-0.65%
19,2023-10-23,83.1,82.08,84.03,80.91,10770000.0,0.54%
20,2023-10-20,82.65,82.9,83.44,82.61,10270000.0,-0.72%
21,2023-10-19,83.25,85.26,85.27,83.17,14170000.0,-1.69%
22,2023-10-18,84.68,85.69,86.26,84.6,9890000.0,-1.76%
23,2023-10-17,86.2,85.35,86.29,85.31,9920000.0,0.57%
24,2023-10-16,85.71,84.31,85.93,84.31,10190000.0,1.61%
25,2023-10-13,84.35,83.94,84.58,83.38,10710000.0,0.00%
26,2023-10-12,84.35,84.83,85.07,83.51,9510000.0,-0.59%
27,2023-10-11,84.85,85.37,85.72,84.25,9340000.0,-0.16%
28,2023-10-10,84.99,84.79,85.29,83.93,9310000.0,0.34%
29,2023-10-9,84.7,84.3,84.88,83.13,13600000.0,2.12%
30,2023-10-6,82.94,81.05,83.53,80.49,15190000.0,2.64%
31,2023-10-5,80.81,79.1,80.94,78.88,15390000.0,1.88%
32,2023-10-4,79.32,79.61,79.79,78.73,11920000.0,-0.28%
33,2023-10-3,79.54,81.25,81.89,79.46,12300000.0,-2.61%
34,2023-10-2,81.67,80.92,81.77,80.79,9070000.0,0.76%
35,2023-9-29,81.05,80.66,81.33,80.41,11260000.0,1.15%
36,2023-9-28,80.13,80.28,80.92,79.65,11930000.0,0.29%
37,2023-9-27,79.9,80.12,80.56,79.21,14500000.0,-0.19%
38,2023-9-26,80.05,80.5,80.74,79.79,14790000.0,-1.19%
39,2023-9-25,81.01,81.56,81.77,80.56,10970000.0,-0.30%
40,2023-9-22,81.25,82.91,83.35,81.2,11500000.0,-1.79%
41,2023-9-21,82.73,82.06,83.67,81.92,14310000.0,0.21%
42,2023-9-20,82.56,82.03,83.2,81.64,12600000.0,0.76%
43,2023-9-19,81.94,83.92,84.79,81.71,21130000.0,-3.62%
44,2023-9-18,85.02,85.24,85.92,84.98,11790000.0,-0.65%
45,2023-9-15,85.58,85.22,86.19,84.61,21630000.0,1.30%
46,2023-9-14,84.48,84.0,84.74,83.04,21640000.0,1.20%
47,2023-9-13,83.48,83.35,84.04,83.12,9690000.0,-0.24%
48,2023-9-12,83.68,83.03,84.67,82.57,16430000.0,1.41%
49,2023-9-11,82.52,81.94,83.85,81.17,25940000.0,1.15%
50,2023-9-8,81.58,80.54,81.67,80.17,15980000.0,1.25%
51,2023-9-7,80.57,80.82,80.85,79.75,14640000.0,-0.51%
52,2023-9-6,80.98,80.79,82.09,80.53,15460000.0,-0.26%
53,2023-9-5,81.19,81.42,82.39,81.18,12580000.0,-0.55%
54,2023-9-1,81.64,82.11,82.23,80.53,27700000.0,-2.44%
55,2023-8-31,83.68,84.46,84.61,83.64,10210000.0,-0.71%
56,2023-8-30,84.28,84.4,84.68,83.83,11390000.0,-0.14%
57,2023-8-29,84.4,83.79,84.54,83.73,10920000.0,0.29%
58,2023-8-28,84.16,83.83,84.68,83.53,11930000.0,0.96%
59,2023-8-25,83.36,83.07,83.65,82.46,16050000.0,1.08%
60,2023-8-24,82.47,85.51,85.95,82.46,27100000.0,-3.91%
61,2023-8-23,85.83,85.81,86.32,85.64,7460000.0,0.05%
62,2023-8-22,85.79,85.71,86.09,85.37,9730000.0,-0.10%
63,2023-8-21,85.88,85.81,86.25,85.41,10530000.0,-0.09%
64,2023-8-18,85.96,85.37,86.72,85.37,12360000.0,0.05%
65,2023-8-17,85.92,86.92,86.96,85.8,13560000.0,-0.50%
66,2023-8-16,86.35,86.54,87.06,86.08,12030000.0,-0.82%
67,2023-8-15,87.06,87.99,88.23,86.89,13580000.0,-1.97%
68,2023-8-14,88.81,88.99,89.3,87.99,13370000.0,-0.24%
69,2023-8-11,89.02,91.32,91.35,88.86,22000000.0,-2.99%
70,2023-8-10,91.76,89.97,92.53,87.75,55610000.0,4.88%
71,2023-8-9,87.49,89.2,89.56,87.04,22770000.0,-0.73%
72,2023-8-8,88.13,86.5,88.33,86.1,16379999.999999998,1.50%
73,2023-8-7,86.83,86.66,87.23,85.99,10740000.0,0.61%
74,2023-8-4,86.3,85.94,87.11,85.45,11530000.0,0.95%
75,2023-8-3,85.49,85.82,86.46,85.45,14000000.0,-0.94%
76,2023-8-2,86.3,88.26,88.33,86.26,15070000.0,-3.07%
77,2023-8-1,89.03,89.12,89.73,88.46,13530000.0,0.16%
78,2023-7-31,88.89,87.0,89.36,86.88,20740000.0,3.20%
79,2023-7-28,86.13,85.86,86.58,85.44,13640000.0,0.90%
80,2023-7-27,85.36,86.6,86.88,85.19,16690000.000000002,-0.58%
81,2023-7-26,85.86,85.67,86.27,85.45,14980000.0,0.27%
82,2023-7-25,85.63,85.73,86.31,85.16,15340000.0,-1.12%
83,2023-7-24,86.6,87.49,87.96,86.55,13910000.0,-0.67%
84,2023-7-21,87.18,86.29,87.9,85.88,19900000.0,1.13%
85,2023-7-20,86.21,86.84,87.18,86.03,15280000.0,-0.95%
86,2023-7-19,87.04,86.2,87.89,86.19,16810000.0,1.27%
87,2023-7-18,85.95,85.51,87.3,85.31,21820000.0,0.46%
88,2023-7-17,85.56,88.42,88.49,85.3,34290000.0,-3.45%
89,2023-7-14,88.62,90.41,90.49,88.42,17620000.0,-2.04%
90,2023-7-13,90.47,90.55,90.81,89.08,15240000.0,0.35%
91,2023-7-12,90.15,90.11,90.71,89.57,14450000.0,0.74%
92,2023-7-11,89.49,88.19,89.59,88.15,13560000.0,1.58%
93,2023-7-10,88.1,88.25,88.68,87.86,13640000.0,-0.61%
94,2023-7-7,88.64,88.31,89.73,88.08,9640000.0,-0.11%
95,2023-7-6,88.74,88.67,88.83,87.78,12020000.0,-1.17%
96,2023-7-5,89.79,90.11,90.39,89.25,10980000.0,-0.78%
97,2023-7-3,90.5,89.1,90.95,89.06,7980000.0,1.37%
98,2023-6-30,89.28,89.18,89.6,88.61,12840000.0,0.37%
99,2023-6-29,88.95,87.8,89.12,87.34,13350000.0,0.14%
100,2023-6-28,88.83,89.39,89.4,88.53,12060000.0,-0.26%
101,2023-6-27,89.06,88.9,89.66,88.49,9960000.0,0.41%
102,2023-6-26,88.7,88.04,89.49,87.77,13000000.0,0.68%
103,2023-6-23,88.1,88.01,88.39,87.61,13540000.0,-0.44%
104,2023-6-22,88.49,88.44,89.19,88.12,10860000.0,-0.17%
105,2023-6-21,88.64,89.55,89.67,88.11,17440000.0,-1.24%
106,2023-6-20,89.75,90.29,90.78,89.74,14680000.0,-1.72%
107,2023-6-16,91.32,92.88,92.97,90.86,22680000.0,-1.74%
108,2023-6-15,92.94,92.06,93.52,91.61,13100000.0,0.53%
109,2023-6-14,92.45,94.26,94.52,91.92,15600000.0,-1.49%
110,2023-6-13,93.85,94.12,94.44,93.44,12960000.0,0.76%
111,2023-6-12,93.14,92.25,93.22,91.77,12290000.0,1.32%
112,2023-6-9,91.93,92.78,92.92,91.55,9600000.0,-0.65%
113,2023-6-8,92.53,92.52,92.68,91.3,8980000.0,0.01%
114,2023-6-7,92.52,92.78,93.08,91.86,11080000.0,0.39%
115,2023-6-6,92.16,91.1,92.51,91.02,12020000.0,1.27%
116,2023-6-5,91.0,91.2,91.76,89.44,18410000.0,0.25%
117,2023-6-2,90.77,89.63,91.34,89.6,14270000.0,2.46%
118,2023-6-1,88.59,88.4,89.06,87.11,11800000.0,0.72%
119,2023-5-31,87.96,87.58,88.17,87.15,11260000.0,0.16%
120,2023-5-30,87.82,88.97,88.97,87.01,14710000.0,-0.53%
121,2023-5-26,88.29,88.49,89.24,88.1,12890000.0,0.17%
122,2023-5-25,88.14,89.56,89.56,87.79,13200000.0,-1.04%
123,2023-5-24,89.07,89.44,89.49,88.41,15140000.0,-0.84%
124,2023-5-23,89.82,91.1,92.03,89.81,14510000.0,-2.18%
125,2023-5-22,91.82,91.33,91.93,89.89,13830000.0,0.51%
126,2023-5-19,91.35,93.0,93.0,91.32,16430000.0,-2.57%
127,2023-5-18,93.76,92.85,94.24,92.46,14860000.0,1.07%
128,2023-5-17,92.77,91.02,93.05,90.85,12460000.0,1.97%
129,2023-5-16,90.98,92.04,92.42,90.78,17010000.0,-2.02%
130,2023-5-15,92.86,91.54,92.87,90.7,16790000.0,0.95%
131,2023-5-12,91.99,92.34,92.88,91.24,21840000.0,-0.35%
132,2023-5-11,92.31,94.8,95.11,91.88,57130000.0,-8.73%
133,2023-5-10,101.14,103.0,103.25,100.04,19530000.0,-1.02%
