,date,close,open,high,low,volume,chg
0,2023-11-17,51.7,51.77,51.85,51.25,3290000.0,0.51%
1,2023-11-16,51.44,51.39,51.64,50.88,5030000.0,-0.17%
2,2023-11-15,51.53,51.05,51.9,50.88,5010000.0,0.94%
3,2023-11-14,51.05,50.01,51.49,50.01,4750000.0,3.68%
4,2023-11-13,49.24,49.13,49.52,48.9,3160000.0,-0.49%
5,2023-11-10,49.48,48.54,49.68,48.51,3830000.0,2.32%
6,2023-11-9,48.36,48.75,48.78,48.24,3340000.0,0.12%
7,2023-11-8,48.3,48.54,48.62,47.78,4099999.9999999995,-0.47%
8,2023-11-7,48.53,48.71,48.87,48.24,5170000.0,-1.64%
9,2023-11-6,49.34,49.73,49.8,49.14,3640000.0,-0.78%
10,2023-11-3,49.73,49.44,50.08,49.44,3740000.0,1.51%
11,2023-11-2,48.99,48.58,49.09,48.51,3720000.0,1.62%
12,2023-11-1,48.21,48.24,48.42,47.6,4690000.0,-0.27%
13,2023-10-31,48.34,48.39,48.79,48.11,4660000.0,0.00%
14,2023-10-30,48.34,48.66,49.05,47.99,3690000.0,0.48%
15,2023-10-27,48.11,48.02,48.54,47.84,4710000.0,0.19%
16,2023-10-26,48.02,47.4,48.28,47.4,6200000.0,1.01%
17,2023-10-25,47.54,48.93,49.03,47.26,4840000.0,-3.45%
18,2023-10-24,49.24,48.43,49.72,48.0,5510000.0,2.07%
19,2023-10-23,48.24,48.77,48.9,48.13,5590000.0,-1.53%
20,2023-10-20,48.99,49.48,49.57,48.92,3910000.0,-0.93%
21,2023-10-19,49.45,49.8,50.29,49.38,3750000.0,-1.26%
22,2023-10-18,50.08,50.39,50.83,49.93,3490000.0,-1.28%
23,2023-10-17,50.73,49.75,51.03,49.73,3310000.0,1.08%
24,2023-10-16,50.19,50.33,50.53,49.79,2780000.0,0.92%
25,2023-10-13,49.73,50.56,50.71,49.61,3660000.0,-1.03%
26,2023-10-12,50.25,51.31,51.31,49.75,2990000.0,-1.26%
27,2023-10-11,50.89,51.1,51.51,50.51,3050000.0,-0.82%
28,2023-10-10,51.31,51.13,51.81,51.06,2910000.0,0.98%
29,2023-10-9,50.81,50.28,50.9,49.94,3330000.0,1.05%
30,2023-10-6,50.28,49.77,50.92,49.53,4200000.0,0.84%
31,2023-10-5,49.86,50.79,51.15,49.74,5140000.0,-2.45%
32,2023-10-4,51.11,51.48,51.48,50.21,4730000.0,0.18%
33,2023-10-3,51.02,50.95,52.05,50.89,5180000.0,-0.55%
34,2023-10-2,51.3,51.29,51.66,50.74,4690000.0,-0.50%
35,2023-9-29,51.56,51.34,51.77,51.19,4230000.0,1.24%
36,2023-9-28,50.93,50.96,51.18,50.52,3970000.0,-0.14%
37,2023-9-27,51.0,50.85,51.36,50.61,3050000.0,1.03%
38,2023-9-26,50.48,50.53,51.26,50.35,3440000.0,-1.19%
39,2023-9-25,51.09,50.8,51.35,50.44,4330000.0,1.67%
40,2023-9-22,50.25,51.1,51.25,50.08,4470000.0,-1.47%
41,2023-9-21,51.0,52.05,52.33,50.98,4360000.0,-2.78%
42,2023-9-20,52.46,52.96,53.49,52.43,2300000.0,-0.83%
43,2023-9-19,52.9,53.44,53.73,52.35,3800000.0,-0.90%
44,2023-9-18,53.38,53.82,53.95,53.24,4580000.0,-0.85%
45,2023-9-15,53.84,54.04,54.11,53.62,7460000.0,-0.37%
46,2023-9-14,54.04,53.4,54.23,53.29,4600000.0,2.31%
47,2023-9-13,52.82,53.66,53.81,52.58,3080000.0,-1.51%
48,2023-9-12,53.63,53.67,54.22,53.46,2410000.0,-0.07%
49,2023-9-11,53.67,54.14,54.89,53.62,3320000.0,-0.07%
50,2023-9-8,53.71,54.31,54.78,53.6,3990000.0,-0.72%
51,2023-9-7,54.1,54.75,54.94,53.52,4270000.0,-1.44%
52,2023-9-6,54.89,53.96,54.93,53.92,4640000.0,1.29%
53,2023-9-5,54.19,55.18,55.4,53.99,4910000.0,-1.99%
54,2023-9-1,55.29,55.03,55.56,54.76,4340000.0,1.34%
55,2023-8-31,54.56,54.64,54.9,54.52,4080000.0,-0.35%
56,2023-8-30,54.75,54.56,54.9,54.34,3470000.0,-0.89%
57,2023-8-29,55.24,54.79,55.28,54.49,3790000.0,1.17%
58,2023-8-28,54.6,54.16,54.88,54.15,3430000.0,1.15%
59,2023-8-25,53.98,53.98,54.38,53.65,3280000.0,0.82%
60,2023-8-24,53.54,53.0,53.89,53.0,3200000.0,0.26%
61,2023-8-23,53.4,53.65,53.95,52.81,3390000.0,-0.73%
62,2023-8-22,53.79,54.3,54.48,53.53,2750000.0,-0.70%
63,2023-8-21,54.17,54.25,54.4,53.82,3110000.0,0.28%
64,2023-8-18,54.02,53.76,54.13,53.44,2920000.0,0.30%
65,2023-8-17,53.86,53.77,54.66,53.7,3610000.0,1.01%
66,2023-8-16,53.32,53.19,53.76,53.09,3490000.0,-0.39%
67,2023-8-15,53.53,54.7,55.17,53.42,5280000.0,-3.34%
68,2023-8-14,55.38,55.34,55.54,54.82,3630000.0,-0.13%
69,2023-8-11,55.45,55.7,55.99,55.27,4550000.0,-0.95%
70,2023-8-10,55.98,55.9,56.23,55.62,5140000.0,0.79%
71,2023-8-9,55.54,55.42,56.03,54.86,4620000.0,0.96%
72,2023-8-8,55.01,54.72,55.12,54.26,3610000.0,-0.92%
73,2023-8-7,55.52,54.87,55.82,54.84,3260000.0,1.85%
74,2023-8-4,54.51,54.96,55.45,54.44,3630000.0,-0.71%
75,2023-8-3,54.9,54.36,55.73,54.36,4450000.0,0.37%
76,2023-8-2,54.7,55.06,55.49,54.67,4500000.0,-1.94%
77,2023-8-1,55.78,56.25,56.42,55.54,5560000.0,-1.22%
78,2023-7-31,56.47,55.53,56.49,55.45,6370000.0,1.82%
79,2023-7-28,55.46,55.46,55.87,55.15,4560000.0,0.95%
80,2023-7-27,54.94,54.1,55.03,53.8,8080000.0,2.31%
81,2023-7-26,53.7,53.25,53.96,53.2,7580000.0,0.41%
82,2023-7-25,53.48,52.94,55.15,52.85,9080000.0,1.77%
83,2023-7-24,52.55,53.17,53.36,52.26,6690000.0,-0.94%
84,2023-7-21,53.05,53.1,53.18,52.6,4099999.9999999995,0.00%
85,2023-7-20,53.05,53.32,53.34,52.6,3750000.0,0.44%
86,2023-7-19,52.82,52.84,53.04,52.53,3710000.0,-0.30%
87,2023-7-18,52.98,52.43,53.35,52.38,4790000.0,1.05%
88,2023-7-17,52.43,52.54,52.69,52.17,4300000.0,-0.93%
89,2023-7-14,52.92,54.01,54.06,52.75,3880000.0,-2.38%
90,2023-7-13,54.21,54.19,54.45,53.8,3290000.0,0.18%
91,2023-7-12,54.11,54.36,54.66,53.17,5980000.0,1.29%
92,2023-7-11,53.42,53.5,53.9,53.37,3470000.0,0.28%
93,2023-7-10,53.27,52.77,53.67,52.67,3660000.0,0.32%
94,2023-7-7,53.1,52.42,53.94,52.32,5280000.0,0.63%
95,2023-7-6,52.77,52.29,52.88,51.76,5280000.0,-0.13%
96,2023-7-5,52.84,53.18,53.44,52.52,5780000.0,-1.75%
97,2023-7-3,53.78,53.31,53.99,53.23,2230000.0,0.98%
98,2023-6-30,53.26,53.58,53.59,52.99,4160000.0,0.04%
99,2023-6-29,53.24,52.95,53.37,52.69,2560000.0,0.53%
100,2023-6-28,52.96,52.57,52.97,51.87,3360000.0,0.74%
101,2023-6-27,52.57,51.93,52.62,51.62,3180000.0,1.19%
102,2023-6-26,51.95,51.43,52.22,51.3,3070000.0,1.15%
103,2023-6-23,51.36,50.73,51.5,50.26,3700000.0,-0.06%
104,2023-6-22,51.39,50.42,51.49,50.2,4730000.0,-0.94%
105,2023-6-21,51.88,51.68,52.49,51.26,3590000.0,-0.08%
106,2023-6-20,51.92,52.32,52.44,51.24,5080000.0,-2.33%
107,2023-6-16,53.16,53.3,53.31,52.6,9540000.0,-0.60%
108,2023-6-15,53.48,52.74,53.74,52.58,3270000.0,1.27%
109,2023-6-14,52.81,53.56,53.86,52.51,3300000.0,-0.62%
110,2023-6-13,53.14,52.15,53.55,51.98,4270000.0,2.59%
111,2023-6-12,51.8,51.8,52.31,51.36,3890000.0,0.12%
112,2023-6-9,51.74,52.42,52.68,51.63,5460000.0,-1.97%
113,2023-6-8,52.78,54.11,54.34,52.25,5070000.0,-2.02%
114,2023-6-7,53.87,52.82,53.95,52.72,6450000.0,2.43%
115,2023-6-6,52.59,51.11,52.88,51.07,7270000.0,2.12%
116,2023-6-5,51.5,51.69,52.37,51.47,5470000.0,-0.21%
117,2023-6-2,51.61,50.11,51.68,50.01,7690000.0,5.33%
118,2023-6-1,49.0,49.0,49.35,48.51,4460000.0,0.45%
119,2023-5-31,48.78,49.13,49.37,48.34,8390000.0,-1.45%
120,2023-5-30,49.5,49.53,49.74,48.9,4830000.0,-1.67%
121,2023-5-26,50.34,50.73,50.79,50.25,3510000.0,-0.06%
122,2023-5-25,50.37,51.0,51.12,49.97,4230000.0,-1.85%
123,2023-5-24,51.32,52.11,52.11,51.19,3150000.0,-1.23%
124,2023-5-23,51.96,51.77,52.32,51.45,3610000.0,0.37%
125,2023-5-22,51.77,52.02,52.21,51.54,3480000.0,-0.35%
126,2023-5-19,51.95,52.25,52.34,51.61,3750000.0,0.15%
127,2023-5-18,51.87,51.23,52.01,50.85,4450000.0,0.76%
128,2023-5-17,51.48,51.32,51.84,51.09,4780000.0,0.82%
129,2023-5-16,51.06,52.01,52.1,50.98,4610000.0,-2.30%
130,2023-5-15,52.26,52.62,52.66,51.75,3770000.0,-0.10%
131,2023-5-12,52.31,52.55,52.74,52.06,3260000.0,-0.06%
132,2023-5-11,52.34,53.0,53.01,51.94,5500000.0,-2.08%
133,2023-5-10,53.45,54.28,54.58,52.85,3890000.0,-0.41%
134,2023-5-9,53.67,53.89,53.94,53.47,3290000.0,-0.89%
135,2023-5-8,54.15,54.42,54.91,54.01,2730000.0,-0.48%
136,2023-5-5,54.41,54.26,54.58,53.83,4150000.0000000005,1.97%
