,date,close,open,high,low,volume,chg
0,2023-11-17,339.19,340.21,340.21,338.22,1380000.0,0.75%
1,2023-11-16,336.67,338.37,339.74,335.06,1520000.0,-0.28%
2,2023-11-15,337.6,340.0,340.69,335.34,2490000.0,-0.33%
3,2023-11-14,338.72,333.12,341.77,332.47,2960000.0,3.61%
4,2023-11-13,326.91,324.16,328.72,323.53,1380000.0,0.43%
5,2023-11-10,325.51,323.32,326.06,321.65,1780000.0,1.47%
6,2023-11-9,320.78,326.0,326.65,319.66,1790000.0,-1.16%
7,2023-11-8,324.56,323.95,326.66,323.67,1290000.0,0.19%
8,2023-11-7,323.95,322.13,326.39,321.29,1500000.0,0.01%
9,2023-11-6,323.91,326.66,328.9,322.1,2089999.9999999998,-1.13%
10,2023-11-3,327.62,318.46,329.33,317.93,3740000.0,4.42%
11,2023-11-2,313.76,309.69,314.54,308.0,2520000.0,2.15%
12,2023-11-1,307.16,303.33,308.25,302.84,2320000.0,1.17%
13,2023-10-31,303.61,301.68,304.29,300.7,2540000.0,0.92%
14,2023-10-30,300.83,293.45,301.81,293.29,3000000.0,3.77%
15,2023-10-27,289.91,297.55,298.27,289.36,2600000.0,-2.38%
16,2023-10-26,296.99,296.96,300.14,294.78,1930000.0,0.08%
17,2023-10-25,296.76,298.6,300.0,295.03,1720000.0,-0.81%
18,2023-10-24,299.18,300.0,303.1,299.08,1650000.0,-0.01%
19,2023-10-23,299.22,298.29,303.55,298.19,2960000.0,-0.28%
20,2023-10-20,300.05,298.5,303.25,298.1,2310000.0,0.29%
21,2023-10-19,299.19,301.96,305.34,298.63,3190000.0,-0.92%
22,2023-10-18,301.96,307.0,307.22,301.48,3430000.0,-2.39%
23,2023-10-17,309.36,313.38,316.18,305.91,4080000.0,-1.60%
24,2023-10-16,314.39,313.18,315.9,310.25,2220000.0,1.65%
25,2023-10-13,309.3,312.0,316.18,308.17,1760000.0,-0.18%
26,2023-10-12,309.85,314.15,314.25,308.02,1640000.0,-1.01%
27,2023-10-11,313.02,315.43,316.63,311.6,1620000.0,-0.56%
28,2023-10-10,314.77,314.47,316.85,312.29,1150000.0,0.69%
29,2023-10-9,312.61,308.9,313.48,308.37,1090000.0,0.04%
30,2023-10-6,312.48,308.11,315.32,307.17,1580000.0,0.64%
31,2023-10-5,310.5,307.36,310.55,304.21,1490000.0,0.62%
32,2023-10-4,308.6,304.85,309.06,303.48,1860000.0,0.81%
33,2023-10-3,306.12,315.27,315.68,304.39,3070000.0,-3.89%
34,2023-10-2,318.5,322.03,323.58,317.1,1270000.0,-1.57%
35,2023-9-29,323.57,327.2,327.96,322.27,1400000.0,-0.50%
36,2023-9-28,325.2,320.21,326.84,320.21,1320000.0,1.01%
37,2023-9-27,321.95,324.98,325.0,318.98,1430000.0,-0.58%
38,2023-9-26,323.82,325.61,327.43,322.42,1460000.0,-1.53%
39,2023-9-25,328.84,327.07,329.29,325.28,822120.0,0.29%
40,2023-9-22,327.89,330.1,331.54,326.83,1670000.0,-0.71%
41,2023-9-21,330.24,334.5,334.69,330.08,1660000.0,-1.92%
42,2023-9-20,336.7,342.61,343.8,336.29,1140000.0,-1.52%
43,2023-9-19,341.89,343.46,344.97,337.97,1490000.0,-0.42%
44,2023-9-18,343.32,342.54,344.26,339.27,1340000.0,0.23%
45,2023-9-15,342.54,345.15,346.19,341.86,3060000.0,-0.59%
46,2023-9-14,344.57,339.0,345.12,336.85,2760000.0,2.86%
47,2023-9-13,334.98,333.5,337.01,330.82,2040000.0,1.23%
48,2023-9-12,330.9,324.01,335.28,324.0,2029999.9999999998,1.93%
