,date,close,open,high,low,volume,chg
0,2023-11-17,307.27,308.31,308.71,305.45,2620000.0,0.27%
1,2023-11-16,306.44,305.13,307.95,304.38,3110000.0,-0.57%
2,2023-11-15,308.19,304.39,308.93,304.37,3970000.0,1.50%
3,2023-11-14,303.63,301.96,308.24,300.3,7920000.0,5.40%
4,2023-11-13,288.07,287.79,289.93,287.24,4550000.0,-1.21%
5,2023-11-10,291.59,289.23,291.59,286.79,3650000.0,1.29%
6,2023-11-9,287.87,291.95,292.74,287.68,4059999.9999999995,-2.72%
7,2023-11-8,295.92,295.03,298.01,294.11,2450000.0,0.39%
8,2023-11-7,294.77,294.61,296.0,293.56,2630000.0,0.07%
9,2023-11-6,294.57,294.75,296.44,293.22,2890000.0,-0.35%
10,2023-11-3,295.61,294.18,297.81,294.17,3070000.0,0.37%
11,2023-11-2,294.53,290.25,294.66,290.0,3590000.0,2.76%
12,2023-11-1,286.63,285.59,286.83,282.02,2710000.0,0.68%
13,2023-10-31,284.69,282.59,285.4,281.61,3030000.0,1.14%
14,2023-10-30,281.48,277.47,282.32,276.96,3020000.0,1.82%
15,2023-10-27,276.46,278.98,279.67,274.26,2910000.0,-0.55%
16,2023-10-26,278.0,280.53,283.24,277.75,3080000.0,-1.04%
17,2023-10-25,280.93,281.75,283.23,279.2,2960000.0,-0.84%
18,2023-10-24,283.31,286.74,287.91,282.03,2680000.0,-0.62%
19,2023-10-23,285.07,285.82,288.25,284.33,2590000.0,-0.47%
20,2023-10-20,286.41,285.86,287.18,283.61,2850000.0,-0.13%
21,2023-10-19,286.77,291.0,291.34,286.42,3020000.0,-1.20%
22,2023-10-18,290.24,293.0,293.33,289.58,2720000.0,-1.93%
23,2023-10-17,295.94,296.69,298.36,294.5,2120000.0,-0.47%
24,2023-10-16,297.33,294.43,298.37,293.58,2550000.0,1.85%
25,2023-10-13,291.92,292.94,294.73,290.89,2080000.0,-0.38%
26,2023-10-12,293.02,297.7,297.7,290.77,2530000.0,-1.69%
27,2023-10-11,298.05,299.74,300.85,295.9,2290000.0,-0.39%
28,2023-10-10,299.22,296.69,300.67,295.17,2960000.0,1.31%
29,2023-10-9,295.36,290.3,295.53,289.68,1930000.0,0.87%
30,2023-10-6,292.82,290.76,294.54,287.39,2920000.0,0.38%
31,2023-10-5,291.7,292.0,292.67,290.23,2370000.0,-0.24%
32,2023-10-4,292.39,293.36,294.21,290.36,2770000.0,0.15%
33,2023-10-3,291.94,297.91,298.3,290.07,3600000.0,-2.63%
34,2023-10-2,299.83,300.52,303.45,298.46,2790000.0,-0.77%
35,2023-9-29,302.16,304.95,305.67,299.82,3500000.0,-0.44%
36,2023-9-28,303.49,301.67,304.87,300.75,2370000.0,0.55%
37,2023-9-27,301.82,303.0,304.22,299.9,2480000.0,-0.24%
38,2023-9-26,302.54,304.52,305.81,301.63,2630000.0,-1.29%
39,2023-9-25,306.49,304.51,307.29,304.51,1880000.0,0.25%
40,2023-9-22,305.73,306.16,307.65,305.46,2290000.0,-0.34%
41,2023-9-21,306.76,309.4,310.23,306.36,2720000.0,-1.32%
42,2023-9-20,310.86,315.0,316.35,310.8,2310000.0,-1.19%
43,2023-9-19,314.61,315.95,316.93,312.34,2770000.0,-0.84%
44,2023-9-18,317.26,320.16,321.65,316.91,2670000.0,-1.29%
45,2023-9-15,321.4,327.32,329.17,320.33,7120000.0,-2.50%
46,2023-9-14,329.63,327.39,330.3,325.27,2700000.0,1.15%
47,2023-9-13,325.88,326.04,327.96,325.0,2560000.0,-0.12%
