,date,close,open,high,low,volume,chg
0,2023-11-17,191.21,191.79,191.91,189.93,2160000.0,0.26%
1,2023-11-16,190.71,191.22,192.36,190.41,2120000.0,0.61%
2,2023-11-15,189.55,190.48,191.76,188.78,3890000.0,-0.36%
3,2023-11-14,190.24,188.77,190.67,188.65,2890000.0,2.00%
4,2023-11-13,186.51,186.8,187.51,185.71,1680000.0,-0.11%
5,2023-11-10,186.71,184.61,186.92,183.66,2180000.0,1.65%
6,2023-11-9,183.68,183.87,185.42,183.2,2540000.0,-0.51%
7,2023-11-8,184.62,186.88,186.88,183.78,2920000.0,-1.07%
8,2023-11-7,186.61,186.77,187.25,185.56,2330000.0,-0.47%
9,2023-11-6,187.5,188.67,188.9,187.02,2180000.0,-0.79%
10,2023-11-3,188.99,188.14,190.21,187.98,2960000.0,1.37%
11,2023-11-2,186.43,185.6,187.13,184.15,3010000.0,1.33%
12,2023-11-1,183.99,184.19,184.27,181.42,3360000.0,0.40%
13,2023-10-31,183.26,179.5,183.92,179.18,3760000.0,1.95%
14,2023-10-30,179.75,177.54,180.3,176.6,2580000.0,1.55%
15,2023-10-27,177.0,175.65,179.12,175.35,3400000.0,0.53%
16,2023-10-26,176.06,178.58,182.99,174.88,4800000.0,-1.14%
17,2023-10-25,178.09,181.45,181.78,177.98,4139999.9999999995,-1.86%
18,2023-10-24,181.46,181.57,183.02,180.26,2530000.0,0.52%
19,2023-10-23,180.52,181.59,183.08,180.39,2040000.0,-0.44%
20,2023-10-20,181.32,182.65,183.78,181.06,3040000.0,-0.52%
21,2023-10-19,182.27,183.17,185.86,181.86,2520000.0,-0.65%
22,2023-10-18,183.47,185.63,186.04,183.04,2260000.0,-1.53%
23,2023-10-17,186.32,185.34,187.29,184.96,1840000.0,0.05%
24,2023-10-16,186.23,185.61,187.5,185.13,2420000.0,1.45%
25,2023-10-13,183.56,184.85,184.85,182.36,2250000.0,-0.21%
26,2023-10-12,183.94,187.36,187.39,182.82,2390000.0,-1.85%
27,2023-10-11,187.4,186.56,188.29,185.81,2210000.0,0.57%
28,2023-10-10,186.34,188.0,188.09,184.38,3190000.0,-0.10%
29,2023-10-9,186.52,185.31,186.98,184.76,2280000.0,1.01%
30,2023-10-6,184.66,180.47,185.3,179.7,3770000.0,2.58%
31,2023-10-5,180.02,182.15,182.42,179.13,2290000.0,-1.36%
32,2023-10-4,182.5,181.43,182.96,180.41,2300000.0,0.75%
33,2023-10-3,181.14,181.86,182.72,180.24,2480000.0,-0.80%
34,2023-10-2,182.61,184.0,184.82,181.07,2700000.0,-1.15%
35,2023-9-29,184.74,188.22,188.23,184.34,3330000.0,-1.27%
36,2023-9-28,187.11,187.73,188.98,186.68,2880000.0,-0.41%
37,2023-9-27,187.88,188.94,188.94,186.35,2240000.0,-0.01%
38,2023-9-26,187.89,191.01,191.34,187.76,3390000.0,-2.07%
39,2023-9-25,191.86,189.04,192.03,188.55,2640000.0,1.10%
40,2023-9-22,189.78,190.93,191.84,189.59,2820000.0,-0.86%
41,2023-9-21,191.43,194.67,194.67,191.4,2840000.0,-1.55%
42,2023-9-20,194.44,196.14,197.09,194.39,2370000.0,-0.47%
43,2023-9-19,195.35,193.14,195.62,193.14,2870000.0,0.46%
44,2023-9-18,194.46,192.75,195.35,192.44,2280000.0,0.74%
45,2023-9-15,193.04,194.52,194.92,192.39,6010000.0,-0.27%
46,2023-9-14,193.56,192.4,195.31,191.94,3640000.0,1.03%
47,2023-9-13,191.59,189.82,193.66,189.79,5050000.0,1.26%
48,2023-9-12,189.21,186.19,189.94,185.97,3670000.0,1.61%
49,2023-9-11,186.21,185.93,186.64,184.75,2069999.9999999998,0.92%
50,2023-9-8,184.52,183.8,184.99,183.42,1770000.0,0.22%
51,2023-9-7,184.12,184.75,185.83,183.23,1900000.0,-0.21%
52,2023-9-6,184.51,185.04,185.83,183.63,2020000.0,-0.64%
53,2023-9-5,185.7,188.58,188.8,185.62,2230000.0,-1.43%
54,2023-9-1,188.39,189.02,189.49,187.54,1600000.0,0.24%
55,2023-8-31,187.94,188.45,189.4,187.92,2490000.0,-0.33%
56,2023-8-30,188.56,189.52,190.7,187.71,2020000.0,-0.51%
57,2023-8-29,189.52,187.88,189.82,187.35,1870000.0,0.87%
58,2023-8-28,187.88,188.44,189.63,187.12,1910000.0,0.85%
59,2023-8-25,186.3,185.62,187.17,184.57,1940000.0,0.62%
60,2023-8-24,185.16,186.94,188.79,185.11,2350000.0,-1.03%
61,2023-8-23,187.08,186.5,187.57,186.15,1860000.0,0.58%
62,2023-8-22,186.01,187.35,187.49,185.55,1710000.0,-0.50%
63,2023-8-21,186.95,186.01,187.3,185.42,1930000.0,0.20%
64,2023-8-18,186.58,185.19,187.55,185.07,2049999.9999999998,0.32%
65,2023-8-17,185.98,187.46,188.21,185.98,2160000.0,-0.27%
66,2023-8-16,186.49,187.65,188.5,186.41,2230000.0,-0.70%
67,2023-8-15,187.8,187.98,188.42,186.56,2240000.0,-0.90%
68,2023-8-14,189.51,190.95,191.81,189.16,2440000.0,-0.61%
69,2023-8-11,190.67,188.2,191.43,188.2,2700000.0,1.02%
70,2023-8-10,188.74,188.22,190.62,188.06,2790000.0,-0.26%
71,2023-8-9,189.24,187.05,190.27,187.0,3210000.0,0.85%
72,2023-8-8,187.65,188.6,188.6,186.57,3260000.0,-1.03%
73,2023-8-7,189.6,190.11,190.66,188.6,2840000.0,0.21%
74,2023-8-4,189.21,191.26,191.82,188.81,2410000.0,-0.68%
75,2023-8-3,190.51,192.78,192.9,190.46,2460000.0,-1.24%
76,2023-8-2,192.9,193.9,195.3,192.4,2960000.0,-0.30%
77,2023-8-1,193.48,193.35,194.8,192.96,3840000.0,-0.33%
78,2023-7-31,194.13,195.12,195.51,193.42,3420000.0,-0.54%
79,2023-7-28,195.19,197.66,198.21,195.01,3940000.0,-0.62%
80,2023-7-27,196.41,203.71,204.12,195.65,6600000.0,-5.69%
81,2023-7-26,208.26,208.78,209.4,207.19,3290000.0,-0.68%
82,2023-7-25,209.68,208.15,210.13,207.27,1970000.0,0.17%
83,2023-7-24,209.32,208.67,210.16,208.21,1840000.0,0.35%
84,2023-7-21,208.6,208.31,210.39,207.78,7530000.0,0.31%
85,2023-7-20,207.96,206.15,209.24,205.58,2530000.0,1.36%
86,2023-7-19,205.17,203.85,206.06,203.83,2490000.0,-0.04%
87,2023-7-18,205.25,206.7,207.16,203.95,3660000.0,-1.40%
88,2023-7-17,208.17,205.57,208.83,205.26,2130000.0,0.98%
89,2023-7-14,206.14,207.91,207.91,205.5,2160000.0,-1.23%
90,2023-7-13,208.71,207.67,209.21,207.19,2310000.0,0.09%
91,2023-7-12,208.52,210.39,210.87,208.35,2920000.0,-0.10%
92,2023-7-11,208.73,208.44,209.53,207.44,2790000.0,0.48%
93,2023-7-10,207.74,204.21,207.98,203.62,3080000.0,2.20%
94,2023-7-7,203.26,202.88,205.72,202.16,2250000.0,-0.37%
95,2023-7-6,204.01,204.97,205.05,202.08,2100000.0,-1.17%
96,2023-7-5,206.43,207.4,208.34,205.95,2270000.0,-0.90%
97,2023-7-3,208.3,206.44,208.64,205.04,1220000.0,0.39%
98,2023-6-30,207.5,207.67,208.49,206.81,3010000.0,0.50%
99,2023-6-29,206.47,202.42,206.63,201.74,2540000.0,1.96%
100,2023-6-28,202.5,203.42,203.92,202.0,1970000.0,-0.41%
101,2023-6-27,203.34,202.56,204.07,202.45,2350000.0,0.38%
102,2023-6-26,202.58,200.3,203.06,199.45,2120000.0,1.24%
103,2023-6-23,200.09,199.13,200.66,198.65,3320000.0,-0.28%
104,2023-6-22,200.65,201.96,202.27,199.63,1610000.0,-0.57%
105,2023-6-21,201.8,199.29,202.78,198.11,2550000.0,0.70%
106,2023-6-20,200.4,202.65,202.97,199.03,2009999.9999999998,-1.27%
107,2023-6-16,202.97,205.0,206.01,202.46,5010000.0,-0.37%
108,2023-6-15,203.73,201.25,204.1,200.43,2450000.0,1.60%
109,2023-6-14,200.52,202.0,202.81,198.66,2660000.0,-0.29%
110,2023-6-13,201.11,198.5,201.28,197.76,1970000.0,1.31%
111,2023-6-12,198.5,198.21,198.95,196.63,1680000.0,0.31%
112,2023-6-9,197.89,197.63,198.76,196.09,1760000.0,-0.13%
113,2023-6-8,198.15,197.87,198.75,197.06,1630000.0,-0.12%
114,2023-6-7,198.39,196.96,198.7,194.23,2560000.0,1.04%
115,2023-6-6,196.34,197.56,198.1,195.36,2290000.0,-0.43%
116,2023-6-5,197.18,198.72,199.12,196.05,1660000.0,-0.84%
117,2023-6-2,198.85,196.45,199.56,195.89,2740000.0,2.57%
118,2023-6-1,193.86,191.85,194.3,190.47,1890000.0,1.18%
119,2023-5-31,191.6,193.85,194.04,190.36,3650000.0,-1.52%
120,2023-5-30,194.55,193.6,194.78,190.42,2250000.0,0.41%
121,2023-5-26,193.75,192.78,194.32,192.15,1970000.0,0.77%
122,2023-5-25,192.27,191.87,192.55,189.99,2310000.0,0.21%
123,2023-5-24,191.86,194.93,195.2,190.89,1720000.0,-1.60%
124,2023-5-23,194.97,197.2,197.57,194.89,2150000.0,-1.00%
125,2023-5-22,196.93,197.05,198.41,195.22,1760000.0,-0.21%
126,2023-5-19,197.35,199.5,200.26,197.06,2670000.0,-0.45%
127,2023-5-18,198.25,195.45,198.39,194.89,2420000.0,1.14%
128,2023-5-17,196.02,193.03,196.43,192.54,2420000.0,2.30%
129,2023-5-16,191.61,193.96,193.96,191.3,2049999.9999999998,-1.39%
130,2023-5-15,194.31,193.5,195.48,192.65,1570000.0,0.36%
131,2023-5-12,193.62,194.94,195.35,192.7,2100000.0,-0.19%
132,2023-5-11,193.98,195.93,196.29,193.2,2870000.0,-1.70%
133,2023-5-10,197.34,197.49,198.74,194.32,2160000.0,0.11%
134,2023-5-9,197.13,195.96,198.29,194.96,2240000.0,0.09%
135,2023-5-8,196.95,199.75,199.98,195.97,1490000.0,-0.74%
136,2023-5-5,198.42,197.34,198.59,196.78,2089999.9999999998,1.12%
137,2023-5-4,196.22,198.21,199.0,194.93,2000000.0,-0.88%
138,2023-5-3,197.96,199.85,200.61,197.71,2750000.0,-0.15%
139,2023-5-2,198.26,199.66,199.66,196.37,2590000.0,-1.11%
140,2023-5-1,200.48,200.0,202.15,199.96,2210000.0,0.32%
141,2023-4-28,199.84,199.0,200.81,198.49,2850000.0,0.62%
142,2023-4-27,198.61,195.94,198.85,193.57,3860000.0,4.04%
143,2023-4-26,190.9,193.88,194.47,190.18,3560000.0,-2.58%
144,2023-4-25,195.96,198.52,198.91,195.86,2240000.0,-0.42%
145,2023-4-24,196.78,197.21,198.08,196.27,1590000.0,0.36%
146,2023-4-21,196.08,197.09,197.35,195.4,1970000.0,-0.34%
147,2023-4-20,196.75,197.5,197.76,196.0,1950000.0,-0.54%
148,2023-4-19,197.81,198.25,198.66,197.22,1850000.0,0.45%
149,2023-4-18,196.93,198.72,199.47,196.22,2390000.0,-0.47%
150,2023-4-17,197.86,197.18,198.07,196.74,1680000.0,0.67%
151,2023-4-14,196.55,195.63,197.73,195.25,1960000.0,0.33%
152,2023-4-13,195.9,193.25,196.42,192.6,3250000.0,1.38%
153,2023-4-12,193.23,193.46,194.87,192.33,3630000.0,0.54%
154,2023-4-11,192.19,192.88,193.16,191.82,2430000.0,0.27%
155,2023-4-10,191.68,190.74,192.6,190.32,2530000.0,0.64%
156,2023-4-6,190.46,189.61,192.11,189.01,2780000.0,0.54%
157,2023-4-5,189.43,190.29,191.01,189.28,2970000.0,-0.79%
158,2023-4-4,190.94,193.12,193.23,189.68,2500000.0,-1.21%
159,2023-4-3,193.28,190.57,193.9,189.96,2870000.0,1.13%
160,2023-3-31,191.12,190.12,191.38,189.33,2700000.0,1.06%
161,2023-3-30,189.12,189.61,190.44,187.98,2000000.0,0.03%
162,2023-3-29,189.07,189.66,189.71,187.76,2680000.0,0.61%
163,2023-3-28,187.92,187.75,189.61,187.4,2060000.0,-0.04%
164,2023-3-27,187.99,188.63,189.59,187.43,2130000.0,-0.09%
165,2023-3-24,188.16,186.39,188.22,184.6,2330000.0,0.66%
166,2023-3-23,186.92,186.86,189.42,185.55,2360000.0,-0.13%
167,2023-3-22,187.16,191.72,192.0,187.08,2340000.0,-2.09%
168,2023-3-21,191.16,191.07,192.14,189.15,3130000.0,0.67%
169,2023-3-20,189.88,185.96,190.24,185.51,2770000.0,2.84%
170,2023-3-17,184.64,187.81,188.01,184.23,7380000.0,-2.38%
171,2023-3-16,189.14,187.37,189.77,186.3,3900000.0,0.54%
172,2023-3-15,188.12,190.07,191.01,184.76,3820000.0,-2.51%
173,2023-3-14,192.97,196.06,196.17,190.17,4840000.0,-0.07%
174,2023-3-13,193.1,193.0,195.23,192.17,3220000.0,-0.12%
175,2023-3-10,193.33,192.88,196.68,191.89,3670000.0,0.23%
176,2023-3-9,192.88,196.88,196.95,192.35,3080000.0,-1.38%
177,2023-3-8,195.57,196.28,196.65,194.13,2069999.9999999998,-0.03%
178,2023-3-7,195.62,197.42,198.2,194.75,2780000.0,-0.72%
179,2023-3-6,197.04,197.19,199.31,196.65,2720000.0,0.11%
180,2023-3-3,196.82,195.44,197.54,194.22,2940000.0,1.22%
181,2023-3-2,194.45,191.59,195.12,191.5,4240000.0,0.81%
182,2023-3-1,192.88,190.63,194.35,190.57,3190000.0,0.73%
183,2023-2-28,191.48,191.51,192.36,189.63,3110000.0,-0.50%
184,2023-2-27,192.45,194.42,195.0,191.74,3360000.0,0.21%
185,2023-2-24,192.04,193.89,193.89,190.86,3310000.0,-1.53%
186,2023-2-23,195.02,196.04,196.04,192.58,2450000.0,-0.24%
187,2023-2-22,195.49,197.08,197.49,194.62,2960000.0,-0.65%
188,2023-2-21,196.76,201.57,201.65,196.45,2830000.0,-2.31%
189,2023-2-17,201.42,199.26,201.98,198.66,2850000.0,1.03%
190,2023-2-16,199.36,198.77,201.54,197.98,2750000.0,-1.17%
191,2023-2-15,201.71,199.8,201.74,198.86,2530000.0,0.35%
192,2023-2-14,201.0,203.09,203.1,198.67,3000000.0,-1.17%
193,2023-2-13,203.37,200.19,203.74,199.75,2970000.0,1.45%
194,2023-2-10,200.47,198.81,200.83,198.37,2890000.0,0.63%
195,2023-2-9,199.22,203.36,203.93,198.64,2980000.0,-1.48%
196,2023-2-8,202.22,203.9,204.81,201.21,3450000.0,-1.58%
197,2023-2-7,205.47,203.0,206.02,201.78,2940000.0,0.70%
198,2023-2-6,204.04,202.25,204.13,200.76,2810000.0,0.67%
199,2023-2-3,202.69,207.2,207.2,201.62,4460000.0,-2.26%
200,2023-2-2,207.38,198.95,208.22,197.69,7180000.0,0.32%
201,2023-2-1,206.72,207.41,208.45,203.81,5080000.0,-0.84%
202,2023-1-31,208.48,206.57,208.57,205.51,2300000.0,1.31%
203,2023-1-30,205.78,206.53,209.39,205.61,2460000.0,-1.13%
204,2023-1-27,208.13,207.89,209.83,207.63,2120000.0,-0.58%
205,2023-1-26,209.35,207.8,209.42,205.89,1930000.0,1.30%
206,2023-1-25,206.67,204.54,207.15,203.76,2000000.0,-0.13%
207,2023-1-24,206.93,203.96,207.68,202.23,2960000.0,1.21%
208,2023-1-23,204.46,202.55,205.85,201.38,2750000.0,1.20%
209,2023-1-20,202.03,199.57,202.66,198.81,3980000.0,0.68%
210,2023-1-19,200.66,204.3,204.38,200.22,4550000.0,-1.75%
211,2023-1-18,204.24,210.89,210.89,203.98,5100000.0,-3.77%
212,2023-1-17,212.24,217.02,217.02,211.93,3160000.0,-2.02%
213,2023-1-13,216.61,214.49,216.83,212.9,2000000.0,0.29%
214,2023-1-12,215.98,212.85,217.22,212.38,2960000.0,1.73%
215,2023-1-11,212.3,211.98,212.91,210.01,2920000.0,0.45%
216,2023-1-10,211.34,209.5,211.45,209.5,1770000.0,0.32%
217,2023-1-9,210.67,210.27,213.63,209.54,2630000.0,0.19%
218,2023-1-6,210.27,206.47,211.06,205.87,4059999.9999999995,2.84%
219,2023-1-5,204.47,208.48,208.81,204.06,4050000.0,-2.65%
220,2023-1-4,210.04,208.5,211.24,207.32,3820000.0,-1.99%
221,2023-1-3,214.3,215.15,215.15,212.22,2080000.0,0.00%
222,2022-12-30,214.3,213.98,214.5,211.93,1600000.0,-0.21%
223,2022-12-29,214.75,213.09,215.25,212.77,1880000.0,1.21%
224,2022-12-28,212.19,215.93,216.51,212.01,1600000.0,-1.26%
225,2022-12-27,214.89,213.9,215.78,213.71,1430000.0,0.48%
226,2022-12-23,213.87,212.0,214.71,211.46,1300000.0,0.73%
227,2022-12-22,212.31,214.34,214.61,208.99,2150000.0,-1.30%
228,2022-12-21,215.1,212.96,215.3,212.75,2630000.0,1.71%
229,2022-12-20,211.49,209.57,212.76,209.22,1880000.0,0.99%
230,2022-12-19,209.41,209.26,212.33,208.37,3090000.0,-0.16%
231,2022-12-16,209.74,207.35,210.29,206.23,7130000.0,0.37%
232,2022-12-15,208.97,212.89,213.72,208.03,3200000.0,-2.68%
233,2022-12-14,214.72,216.22,217.87,213.05,2550000.0,-0.11%
234,2022-12-13,214.96,219.55,219.96,213.14,3340000.0,0.21%
235,2022-12-12,214.5,212.16,214.59,211.06,3270000.0,1.36%
236,2022-12-9,211.63,213.35,214.49,211.4,2260000.0,-0.81%
237,2022-12-8,213.35,213.85,214.59,212.21,2170000.0,-0.05%
238,2022-12-7,213.45,213.97,214.09,212.01,2980000.0,0.12%
239,2022-12-6,213.19,216.27,216.74,211.36,2470000.0,-1.12%
240,2022-12-5,215.6,217.75,218.59,215.2,2890000.0,-1.59%
241,2022-12-2,219.08,214.83,219.86,214.72,2190000.0,0.78%
242,2022-12-1,217.39,220.28,220.62,216.35,3990000.0,-0.98%
243,2022-11-30,219.55,216.32,220.65,213.69,4680000.0,1.31%
244,2022-11-29,216.72,215.92,217.42,215.18,2100000.0,0.44%
245,2022-11-28,215.77,219.7,220.21,215.47,2640000.0,-1.95%
246,2022-11-25,220.05,217.74,220.96,217.74,1120000.0,0.52%
247,2022-11-23,218.91,218.79,220.68,218.3,2690000.0,0.07%
248,2022-11-22,218.76,217.13,219.01,217.0,2520000.0,1.02%
249,2022-11-21,216.56,215.0,217.22,213.85,2350000.0,0.95%
250,2022-11-18,214.53,216.39,217.35,213.16,2970000.0,0.01%
251,2022-11-17,214.51,212.25,215.38,212.02,2690000.0,0.24%
252,2022-11-16,214.0,215.76,216.23,213.31,2450000.0,-0.66%
253,2022-11-15,215.43,215.36,216.19,213.09,2370000.0,1.14%
254,2022-11-14,213.0,212.78,216.08,211.83,3070000.0,0.13%
255,2022-11-11,212.73,214.59,214.96,211.45,4230000.0,-0.96%
256,2022-11-10,214.8,214.85,215.07,211.15,4350000.0,2.96%
257,2022-11-9,208.63,210.0,211.54,208.44,3040000.0,-1.29%
258,2022-11-8,211.36,209.33,212.38,208.88,2630000.0,0.76%
259,2022-11-7,209.77,207.7,210.24,207.14,2670000.0,0.92%
260,2022-11-4,207.85,206.3,208.03,204.21,4130000.0,1.69%
261,2022-11-3,204.39,200.37,206.05,199.17,4650000.0,1.96%
262,2022-11-2,200.47,203.34,206.89,200.05,4690000.0,-1.29%
263,2022-11-1,203.1,204.45,205.08,201.52,4380000.0,-0.45%
264,2022-10-31,204.02,202.4,204.99,202.29,4430000.0,-0.44%
265,2022-10-28,204.93,199.0,205.16,196.69,4890000.0,4.30%
266,2022-10-27,196.49,193.36,199.58,192.8,4750000.0,3.27%
267,2022-10-26,190.27,191.63,192.95,189.76,4200000.0,0.33%
268,2022-10-25,189.65,186.66,189.86,186.2,2910000.0,1.47%
269,2022-10-24,186.9,184.51,188.08,183.84,3270000.0,2.24%
270,2022-10-21,182.81,176.99,183.31,176.52,2960000.0,2.91%
271,2022-10-20,177.64,179.36,180.82,177.11,2690000.0,-0.91%
272,2022-10-19,179.28,179.5,180.83,177.94,1690000.0,-0.33%
273,2022-10-18,179.88,180.18,181.16,177.64,1980000.0,1.60%
274,2022-10-17,177.04,177.66,179.0,176.13,3440000.0,1.65%
275,2022-10-14,174.16,178.15,178.52,173.83,2970000.0,-1.91%
276,2022-10-13,177.55,169.4,178.39,169.22,3220000.0,2.75%
277,2022-10-12,172.79,174.05,175.0,172.2,2730000.0,-0.48%
278,2022-10-11,173.62,171.4,175.76,170.78,2910000.0,1.01%
279,2022-10-10,171.89,172.81,173.8,170.12,1930000.0,0.28%
280,2022-10-7,171.41,173.59,174.16,170.37,2960000.0,-2.07%
281,2022-10-6,175.04,176.29,177.69,173.85,2600000.0,-1.56%
282,2022-10-5,177.81,176.62,179.77,175.01,2940000.0,-0.21%
283,2022-10-4,178.19,174.9,178.41,174.83,3690000.0,2.98%
