,date,close,open,high,low,volume,chg
0,2023-11-17,152.89,153.29,153.48,152.46,4420000.0,-0.11%
1,2023-11-16,153.06,152.94,153.35,152.15,3520000.0,0.31%
2,2023-11-15,152.58,150.46,153.16,150.45,4580000.0,1.44%
3,2023-11-14,150.41,149.4,150.81,149.05,4179999.9999999995,1.56%
4,2023-11-13,148.1,148.46,148.49,147.35,2650000.0,-0.62%
5,2023-11-10,149.02,147.44,149.17,146.85,3180000.0,1.64%
6,2023-11-9,146.62,146.55,146.99,145.28,3410000.0,-0.95%
7,2023-11-8,148.03,149.25,149.68,147.59,3620000.0,-0.54%
8,2023-11-7,148.83,149.03,149.28,148.03,3550000.0,-0.09%
9,2023-11-6,148.97,147.89,149.23,147.85,4600000.0,0.72%
10,2023-11-3,147.9,147.45,148.45,147.28,3510000.0,0.61%
11,2023-11-2,147.01,145.77,147.1,144.84,3790000.0,1.11%
12,2023-11-1,145.4,145.0,146.51,144.45,4680000.0,0.53%
13,2023-10-31,144.64,143.0,144.76,142.59,6580000.0,1.41%
14,2023-10-30,142.63,143.19,144.5,142.58,4190000.0000000005,0.08%
15,2023-10-27,142.52,143.62,144.7,141.71,5470000.0,-0.86%
16,2023-10-26,143.76,142.2,144.41,141.58,11020000.0,4.87%
17,2023-10-25,137.08,137.5,138.49,136.33,6190000.0,-0.52%
18,2023-10-24,137.79,136.74,137.98,136.05,3680000.0,1.03%
19,2023-10-23,136.38,136.63,137.68,135.87,3460000.0,-0.57%
20,2023-10-20,137.16,138.15,139.27,137.12,4840000.0,-0.62%
21,2023-10-19,138.01,138.64,139.4,137.93,5310000.0,-1.40%
22,2023-10-18,139.97,140.0,140.43,139.58,3320000.0,-0.25%
23,2023-10-17,140.32,137.12,140.62,136.31,4170000.0,0.80%
24,2023-10-16,139.21,139.28,139.78,138.52,3310000.0,0.54%
25,2023-10-13,138.46,139.77,140.12,138.27,4560000.0,-1.97%
26,2023-10-12,141.24,142.51,142.93,140.95,3900000.0,-1.39%
27,2023-10-11,143.23,142.51,143.34,142.14,2510000.0,0.79%
