,date,close,open,high,low,volume,chg
0,2023-11-17,43.81,42.91,43.81,42.56,49600000.0,1.06%
1,2023-11-16,43.35,41.0,43.4,40.82,86190000.0,6.75%
2,2023-11-15,40.61,39.58,40.84,39.58,46800000.0,3.04%
3,2023-11-14,39.41,38.8,39.49,38.07,44580000.0,3.09%
4,2023-11-13,38.23,38.35,38.56,38.14,24340000.0,-1.62%
5,2023-11-10,38.86,38.24,38.99,38.24,38870000.0,2.80%
6,2023-11-9,37.8,38.05,38.51,37.77,47740000.0,-0.32%
7,2023-11-8,37.92,38.85,38.89,37.75,33439999.999999996,-2.19%
8,2023-11-7,38.77,38.24,38.9,37.98,31980000.0,2.16%
9,2023-11-6,37.95,38.02,38.2,37.85,23660000.0,-0.50%
10,2023-11-3,38.14,38.0,38.32,37.67,30500000.0,1.17%
11,2023-11-2,37.7,37.58,37.82,36.91,35190000.0,1.10%
12,2023-11-1,37.29,36.5,37.31,36.28,41710000.0,2.16%
13,2023-10-31,36.5,35.66,36.57,35.62,40990000.0,2.27%
14,2023-10-30,35.69,35.47,35.96,34.92,36610000.0,0.42%
15,2023-10-27,35.54,34.66,36.38,34.6,84130000.0,9.29%
16,2023-10-26,32.52,32.89,33.22,32.15,55000000.0,-0.94%
17,2023-10-25,32.83,34.18,34.45,32.55,44380000.0,-5.09%
18,2023-10-24,34.59,33.64,34.71,33.64,52570000.0,2.19%
19,2023-10-23,33.85,34.6,35.19,33.39,53660000.0,-3.06%
20,2023-10-20,34.92,35.65,36.28,34.87,32299999.999999996,-2.10%
21,2023-10-19,35.67,35.96,36.36,35.52,28740000.0,0.08%
22,2023-10-18,35.64,35.52,36.02,35.45,21900000.0,-1.16%
23,2023-10-17,36.06,35.92,36.35,35.07,24970000.0,-1.37%
24,2023-10-16,36.56,36.14,36.94,36.08,27370000.0,1.64%
25,2023-10-13,35.97,36.74,36.79,35.86,28410000.0,-2.36%
26,2023-10-12,36.84,36.8,37.22,36.39,23560000.0,-0.11%
27,2023-10-11,36.88,36.62,37.03,36.38,18740000.0,1.24%
28,2023-10-10,36.43,36.14,36.74,35.81,23930000.0,1.03%
29,2023-10-9,36.06,35.7,36.17,35.5,19380000.0,-0.36%
30,2023-10-6,36.19,35.87,36.46,35.18,33259999.999999996,0.84%
31,2023-10-5,35.89,35.97,36.1,35.6,25750000.0,-0.11%
32,2023-10-4,35.93,36.52,36.52,35.33,39760000.0,0.67%
33,2023-10-3,35.69,35.26,36.54,35.26,44350000.0,0.65%
34,2023-10-2,35.46,35.61,35.97,34.98,26090000.0,-0.25%
35,2023-9-29,35.55,35.65,35.91,35.15,28760000.0,1.05%
36,2023-9-28,35.18,34.65,35.66,34.38,32240000.000000004,1.65%
37,2023-9-27,34.61,33.92,34.83,33.88,44190000.0,2.31%
38,2023-9-26,33.83,34.14,34.78,33.64,33920000.0,-1.34%
39,2023-9-25,34.29,34.0,34.37,33.76,21710000.0,0.32%
40,2023-9-22,34.18,34.81,34.88,34.14,29240000.0,-1.36%
41,2023-9-21,34.65,34.57,35.25,34.46,44950000.0,-0.12%
42,2023-9-20,34.69,36.22,36.25,34.63,57510000.0,-4.54%
43,2023-9-19,36.34,38.04,38.1,36.02,52330000.0,-4.34%
44,2023-9-18,37.99,37.62,38.39,37.51,28380000.0,0.29%
45,2023-9-15,37.88,38.42,38.52,37.62,68880000.0,-2.04%
46,2023-9-14,38.67,38.81,38.9,38.29,30350000.0,-0.10%
47,2023-9-13,38.71,38.8,39.15,38.25,34820000.0,-0.39%
48,2023-9-12,38.86,38.65,40.07,38.65,54650000.0,0.70%
49,2023-9-11,38.59,38.24,38.74,37.84,35490000.0,1.53%
50,2023-9-8,38.01,38.12,38.83,37.71,44270000.0,-0.45%
51,2023-9-7,38.18,36.83,38.34,36.75,66640000.0,3.24%
52,2023-9-6,36.98,36.56,37.04,36.03,39580000.0,0.74%
53,2023-9-5,36.71,36.58,37.41,36.46,43180000.0,0.27%
54,2023-9-1,36.61,35.79,36.75,35.73,43810000.0,4.18%
55,2023-8-31,35.14,34.32,35.56,34.3,47820000.0,1.77%
56,2023-8-30,34.53,34.06,34.66,33.78,26260000.0,0.64%
57,2023-8-29,34.31,33.49,34.48,33.47,29850000.0,2.05%
58,2023-8-28,33.62,33.5,33.78,33.21,22330000.0,1.11%
59,2023-8-25,33.25,32.53,33.4,32.35,27320000.0,2.03%
60,2023-8-24,32.59,33.72,34.09,32.49,37790000.0,-4.09%
61,2023-8-23,33.98,32.88,34.15,32.8,31810000.0,3.31%
62,2023-8-22,32.89,33.22,33.8,32.83,23400000.0,-0.75%
63,2023-8-21,33.14,32.6,33.17,32.02,43320000.0,1.19%
64,2023-8-18,32.75,32.23,32.91,32.18,23700000.0,0.52%
65,2023-8-17,32.58,33.56,33.59,32.35,39870000.0,-2.83%
66,2023-8-16,33.53,34.52,34.63,33.46,35470000.0,-3.57%
67,2023-8-15,34.77,35.41,35.63,34.75,27380000.0,-2.55%
68,2023-8-14,35.68,34.67,35.71,34.47,36900000.0,2.26%
69,2023-8-11,34.89,34.46,34.94,34.36,28780000.0,0.61%
70,2023-8-10,34.68,34.7,35.09,34.48,29920000.0,1.17%
71,2023-8-9,34.28,35.0,35.1,34.23,28650000.0,-2.11%
72,2023-8-8,35.02,34.67,35.1,33.86,34720000.0,-0.60%
73,2023-8-7,35.23,35.41,35.55,34.75,22490000.0,0.26%
74,2023-8-4,35.14,34.48,35.56,34.48,26670000.0,0.77%
75,2023-8-3,34.87,34.29,35.03,34.13,24740000.0,1.40%
76,2023-8-2,34.39,35.15,35.18,34.28,38550000.0,-3.94%
77,2023-8-1,35.8,35.82,36.02,35.28,24560000.0,0.08%
78,2023-7-31,35.77,36.87,37.19,35.67,54260000.0,-2.88%
79,2023-7-28,36.83,36.75,36.99,35.51,90860000.0,6.60%
80,2023-7-27,34.55,34.82,35.03,34.11,58890000.0,0.55%
81,2023-7-26,34.36,33.72,34.53,33.7,32640000.0,0.76%
82,2023-7-25,34.1,33.7,34.34,33.4,31770000.0,1.40%
83,2023-7-24,33.63,33.84,34.46,33.56,25160000.0,-1.15%
84,2023-7-21,34.02,33.72,34.25,33.42,79740000.0,1.95%
85,2023-7-20,33.37,33.7,34.21,33.23,37880000.0,-3.16%
86,2023-7-19,34.46,34.4,34.83,34.33,26490000.0,-0.12%
87,2023-7-18,34.5,34.28,34.7,33.83,29410000.0,0.38%
88,2023-7-17,34.37,33.16,34.6,33.07,33630000.0,3.68%
89,2023-7-14,33.15,33.78,33.87,33.0,30440000.0,-2.13%
90,2023-7-13,33.87,34.15,34.3,33.62,32750000.0,-0.32%
91,2023-7-12,33.98,33.69,34.08,33.06,37280000.0,2.04%
92,2023-7-11,33.3,32.82,33.36,32.5,27610000.0,1.71%
93,2023-7-10,32.74,31.87,32.83,31.77,36230000.0,2.79%
94,2023-7-7,31.85,32.0,32.41,31.82,28360000.0,-0.38%
95,2023-7-6,31.97,31.9,32.04,31.38,41630000.0,-1.66%
96,2023-7-5,32.51,33.31,33.33,32.5,37490000.0,-3.30%
97,2023-7-3,33.62,33.6,33.88,33.14,15750000.0,0.54%
98,2023-6-30,33.44,33.36,33.56,33.16,33810000.0,1.61%
99,2023-6-29,32.91,33.34,33.34,32.49,37160000.0,-1.97%
100,2023-6-28,33.57,33.61,33.81,33.03,33650000.0,-1.55%
101,2023-6-27,34.1,33.22,34.23,33.01,32140000.0,2.28%
102,2023-6-26,33.34,33.19,33.99,33.1,38210000.0,1.03%
103,2023-6-23,33.0,32.21,33.45,32.03,46330000.0,0.89%
104,2023-6-22,32.71,32.69,33.24,32.13,45020000.0,-0.58%
105,2023-6-21,32.9,34.92,35.05,32.83,70520000.0,-6.00%
106,2023-6-20,35.0,36.77,37.11,34.72,64010000.00000001,-3.77%
107,2023-6-16,36.37,36.36,36.79,35.6,110240000.0,1.54%
108,2023-6-15,35.82,35.28,36.42,35.22,67430000.0,0.67%
109,2023-6-14,35.58,33.87,35.6,33.8,74050000.0,4.92%
110,2023-6-13,33.91,33.77,33.95,33.07,51820000.0,2.54%
111,2023-6-12,33.07,31.4,33.3,31.36,59670000.0,5.52%
112,2023-6-9,31.34,31.93,31.99,30.68,40230000.0,-1.51%
113,2023-6-8,31.82,31.43,31.85,31.06,35200000.0,1.73%
114,2023-6-7,31.28,31.03,31.37,30.93,39100000.0,1.03%
115,2023-6-6,30.96,29.77,31.45,29.69,42250000.0,3.68%
116,2023-6-5,29.86,31.31,31.4,29.83,48120000.0,-4.63%
117,2023-6-2,31.31,31.4,31.59,30.83,36520000.0,0.58%
118,2023-6-1,31.13,31.8,31.94,31.02,52550000.0,-0.99%
119,2023-5-31,31.44,29.7,32.29,29.67,135950000.0,4.83%
120,2023-5-30,29.99,29.7,30.04,29.0,54710000.0,3.41%
121,2023-5-26,29.0,27.44,29.09,27.1,71910000.0,5.84%
122,2023-5-25,27.4,28.29,28.29,26.85,77200000.0,-5.52%
123,2023-5-24,29.0,29.31,29.49,28.82,26580000.0,-1.73%
124,2023-5-23,29.51,30.05,30.19,29.49,29310000.0,-2.54%
125,2023-5-22,30.28,29.85,30.45,29.82,28010000.0,1.17%
126,2023-5-19,29.93,29.6,30.24,29.5,40630000.0,0.84%
127,2023-5-18,29.68,29.0,29.76,28.87,36410000.0,2.81%
128,2023-5-17,28.87,29.52,29.56,28.68,41670000.0,-1.20%
129,2023-5-16,29.22,29.62,29.9,29.21,22810000.0,-1.95%
130,2023-5-15,29.8,28.9,29.83,28.88,28670000.0,2.94%
131,2023-5-12,28.95,29.02,29.1,28.72,24150000.0,0.31%
132,2023-5-11,28.86,29.6,29.68,28.82,47140000.0,-3.70%
133,2023-5-10,29.97,30.29,30.4,29.49,40530000.0,-0.43%
134,2023-5-9,30.1,30.38,30.58,29.91,30710000.0,-2.18%
135,2023-5-8,30.77,30.7,30.84,30.39,30880000.0,-0.71%
136,2023-5-5,30.99,31.38,31.41,30.73,35020000.0,-0.80%
137,2023-5-4,31.24,30.43,31.72,30.38,45990000.0,1.92%
138,2023-5-3,30.65,30.64,31.11,30.25,45390000.0,2.96%
139,2023-5-2,29.77,30.3,30.58,29.75,33460000.0,-1.75%
140,2023-5-1,30.3,31.11,31.24,30.28,36880000.0,-2.45%
141,2023-4-28,31.06,31.98,32.57,30.81,80250000.0,4.02%
142,2023-4-27,29.86,28.75,29.94,28.51,56020000.0,2.79%
143,2023-4-26,29.05,29.2,29.81,28.83,40910000.0,0.59%
144,2023-4-25,28.88,29.44,29.57,28.87,37650000.0,-2.63%
145,2023-4-24,29.66,30.13,30.37,29.61,38590000.0,-2.11%
146,2023-4-21,30.3,30.84,30.84,30.23,28660000.0,-1.81%
147,2023-4-20,30.86,30.76,31.25,30.71,30110000.0,-0.93%
148,2023-4-19,31.15,31.1,31.52,31.08,25530000.0,-2.14%
149,2023-4-18,31.83,32.43,32.46,31.78,25580000.0,-0.96%
150,2023-4-17,32.14,31.95,32.64,31.77,29600000.0,0.78%
151,2023-4-14,31.89,32.0,32.24,31.69,24620000.0,-0.75%
152,2023-4-13,32.13,31.82,32.43,31.65,29690000.0,0.34%
153,2023-4-12,32.02,32.77,32.89,31.96,37070000.0,-1.02%
154,2023-4-11,32.35,32.66,33.11,32.32,27000000.0,-0.52%
155,2023-4-10,32.52,32.6,32.76,32.2,30510000.0,-0.88%
156,2023-4-6,32.81,32.6,33.0,32.46,28550000.0,-0.06%
157,2023-4-5,32.83,32.79,32.99,32.33,39550000.0,-0.82%
158,2023-4-4,33.1,32.85,33.84,32.84,55680000.0,0.64%
159,2023-4-3,32.89,32.94,33.56,32.54,56970000.0,0.67%
160,2023-3-31,32.67,31.8,32.9,31.73,59720000.0,1.81%
161,2023-3-30,32.09,31.85,32.58,31.81,69820000.0,1.81%
162,2023-3-29,31.52,29.77,31.89,29.75,85560000.0,7.61%
163,2023-3-28,29.29,29.08,29.33,28.63,37350000.0,0.38%
