,date,close,open,high,low,volume,chg
0,2023-11-17,149.79,150.72,150.72,149.07,6760000.0,-0.21%
1,2023-11-16,150.1,149.56,150.12,148.65,6870000.0,0.87%
2,2023-11-15,148.8,147.39,149.4,147.32,6710000.0,0.77%
3,2023-11-14,147.66,147.63,148.54,147.05,6710000.0,0.02%
4,2023-11-13,147.63,147.25,147.9,146.65,5890000.0,0.26%
5,2023-11-10,147.25,148.25,148.5,145.64,6930000.0,-0.12%
6,2023-11-9,147.42,150.5,150.5,147.26,6970000.0,-1.95%
7,2023-11-8,150.35,151.35,151.83,150.34,5460000.0,-0.36%
8,2023-11-7,150.9,151.93,152.25,150.68,4840000.0,-0.53%
9,2023-11-6,151.7,151.78,152.43,151.37,4850000.0,0.24%
10,2023-11-3,151.34,151.21,152.27,150.15,4930000.0,0.73%
11,2023-11-2,150.24,147.71,150.4,147.54,5330000.0,1.04%
12,2023-11-1,148.69,149.19,149.76,148.46,5610000.0,0.24%
13,2023-10-31,148.34,147.54,148.54,146.64,7470000.0,0.89%
14,2023-10-30,147.03,146.09,147.24,146.0,8199999.999999999,0.98%
15,2023-10-27,145.6,148.49,148.66,144.95,11390000.0,-2.28%
16,2023-10-26,149.0,151.97,151.97,148.88,7590000.0,-1.70%
17,2023-10-25,151.57,151.24,152.17,150.23,5870000.0,0.22%
18,2023-10-24,151.23,150.75,151.96,150.13,6150000.0,-0.11%
19,2023-10-23,151.39,152.86,153.5,151.21,5870000.0,-1.05%
20,2023-10-20,153.0,152.74,153.87,152.33,7170000.0,0.45%
21,2023-10-19,152.32,151.67,153.11,150.15,7730000.0,-0.27%
22,2023-10-18,152.73,155.41,155.95,152.05,9050000.0,-2.15%
23,2023-10-17,156.09,155.98,158.95,154.61,12230000.0,-0.91%
24,2023-10-16,157.53,157.82,158.25,156.84,6400000.0,0.43%
25,2023-10-13,156.85,156.73,157.36,156.05,5360000.0,0.33%
26,2023-10-12,156.33,155.92,156.56,155.07,5750000.0,0.10%
27,2023-10-11,156.18,158.46,159.05,156.04,6920000.0,-1.38%
28,2023-10-10,158.36,158.38,159.27,157.9,5270000.0,-0.11%
29,2023-10-9,158.54,157.18,158.88,157.09,4410000.0,0.57%
30,2023-10-6,157.64,157.08,158.3,156.59,5800000.0,0.32%
31,2023-10-5,157.14,156.27,158.04,156.07,5960000.0,1.04%
32,2023-10-4,155.52,155.57,155.93,154.57,4950000.0,0.12%
33,2023-10-3,155.34,154.68,155.49,153.89,5740000.0,0.12%
34,2023-10-2,155.15,155.42,155.42,153.32,6350000.0,-0.39%
35,2023-9-29,155.75,157.37,157.6,155.35,7680000.0,-0.72%
36,2023-9-28,156.88,157.5,157.96,156.22,7860000.0,-0.15%
37,2023-9-27,157.11,158.58,158.76,155.26,9210000.0,-1.20%
38,2023-9-26,159.02,159.81,160.08,158.86,4900000.0,-0.77%
39,2023-9-25,160.26,160.07,160.36,158.73,6720000.0,-0.15%
40,2023-9-22,160.5,161.3,161.4,160.25,4980000.0,-0.72%
41,2023-9-21,161.66,162.57,163.5,161.59,4520000.0,-0.77%
42,2023-9-20,162.91,162.19,163.54,161.66,3830000.0,0.44%
43,2023-9-19,162.2,162.25,162.85,161.38,5550000.0,-0.17%
44,2023-9-18,162.47,162.12,163.15,160.75,5790000.0,0.63%
45,2023-9-15,161.45,163.98,164.82,161.21,13390000.0,-1.40%
46,2023-9-14,163.74,164.68,165.27,163.44,7740000.0,-0.15%
47,2023-9-13,163.99,163.76,164.95,163.0,7370000.0,0.25%
48,2023-9-12,163.58,162.22,163.93,161.53,6040000.0,0.57%
49,2023-9-11,162.66,161.06,162.69,160.45,6300000.0,1.31%
50,2023-9-8,160.56,159.59,160.68,159.19,6950000.0,0.33%
51,2023-9-7,160.03,159.14,161.06,158.98,9930000.0,1.28%
52,2023-9-6,158.01,159.84,160.0,157.35,9750000.0,-1.66%
