,date,close,open,high,low,volume,chg
0,2023-11-17,152.82,152.17,152.82,151.58,7680000.0,0.90%
1,2023-11-16,151.45,150.38,151.52,150.25,8039999.999999999,1.14%
2,2023-11-15,149.74,148.59,150.13,148.59,8279999.999999999,0.88%
3,2023-11-14,148.44,146.69,149.24,146.6,9750000.0,1.82%
4,2023-11-13,145.78,145.7,146.25,145.16,6470000.0,-0.44%
5,2023-11-10,146.43,144.94,146.48,144.08,7980000.0,1.48%
6,2023-11-9,144.29,145.44,145.65,143.7,7990000.0,-0.30%
7,2023-11-8,144.72,144.11,144.84,143.62,7250000.0,0.49%
8,2023-11-7,144.01,143.51,144.26,142.82,6300000.0,-0.05%
9,2023-11-6,144.08,143.17,144.19,142.79,7630000.0,0.76%
10,2023-11-3,143.0,142.19,143.77,141.85,9540000.0,1.12%
11,2023-11-2,141.42,140.09,141.48,139.23,9270000.0,1.78%
12,2023-11-1,138.94,139.25,140.53,138.47,9180000.0,-0.09%
13,2023-10-31,139.06,137.71,139.24,137.47,9020000.0,1.19%
14,2023-10-30,137.42,136.44,138.04,136.04,8820000.0,1.27%
15,2023-10-27,135.69,138.95,139.1,135.19,17430000.0,-3.60%
16,2023-10-26,140.76,139.76,141.66,139.43,9000000.0,0.26%
17,2023-10-25,140.4,140.57,141.18,139.51,7320000.0,-0.55%
18,2023-10-24,141.17,141.19,141.73,140.36,7920000.0,0.12%
19,2023-10-23,141.0,142.94,143.68,140.73,10130000.0,-1.36%
20,2023-10-20,142.95,144.57,145.14,142.12,12830000.0,-1.61%
21,2023-10-19,145.29,145.48,147.02,144.88,11140000.0,-0.42%
22,2023-10-18,145.91,146.59,147.48,145.37,9510000.0,-1.10%
23,2023-10-17,147.53,147.57,149.31,146.79,11460000.0,-0.22%
24,2023-10-16,147.85,149.45,149.52,146.72,12280000.0,-0.10%
25,2023-10-13,148.0,148.5,153.11,147.84,28600000.0,1.50%
26,2023-10-12,145.81,146.3,146.96,145.13,10370000.0,-0.23%
27,2023-10-11,146.15,146.51,147.23,145.02,8289999.999999999,0.34%
28,2023-10-10,145.65,145.42,146.77,145.28,10890000.0,0.61%
29,2023-10-9,144.77,143.66,145.4,143.5,6960000.0,-0.23%
30,2023-10-6,145.1,142.91,145.88,142.14,10160000.0,1.54%
31,2023-10-5,142.9,142.04,143.1,140.83,8550000.0,-0.31%
