,date,close,open,high,low,volume,chg
0,2023-11-17,57.26,57.17,57.34,56.7,14360000.0,0.19%
1,2023-11-16,57.15,57.34,57.47,56.98,15950000.0,-0.10%
2,2023-11-15,57.21,57.31,57.33,56.75,10160000.0,0.19%
3,2023-11-14,57.1,57.03,57.24,56.81,12310000.0,0.30%
4,2023-11-13,56.93,56.62,57.1,56.6,12760000.0,0.37%
5,2023-11-10,56.72,56.87,56.92,56.06,11680000.0,0.11%
6,2023-11-9,56.66,57.03,57.14,56.37,12020000.0,-0.75%
7,2023-11-8,57.09,57.32,57.47,56.92,13730000.0,-0.16%
8,2023-11-7,57.18,56.92,57.4,56.73,10450000.0,0.37%
9,2023-11-6,56.97,56.78,57.28,56.74,12670000.0,0.41%
10,2023-11-3,56.74,57.4,57.59,56.7,13960000.0,-0.61%
11,2023-11-2,57.09,56.5,57.15,56.35,13070000.0,1.15%
12,2023-11-1,56.44,56.8,56.88,56.26,14060000.0,-0.09%
13,2023-10-31,56.49,56.57,56.72,56.15,16629999.999999998,0.61%
14,2023-10-30,56.15,55.43,56.28,55.42,14990000.0,1.65%
15,2023-10-27,55.24,55.55,56.13,55.1,13630000.0,-0.97%
16,2023-10-26,55.78,56.37,56.63,55.72,16200000.0,-0.61%
17,2023-10-25,56.12,55.76,56.22,55.56,16670000.000000002,0.86%
18,2023-10-24,55.64,55.65,56.17,55.3,25270000.0,2.88%
19,2023-10-23,54.08,54.38,54.89,54.04,21210000.0,-0.90%
20,2023-10-20,54.57,54.53,55.02,54.44,15660000.0,0.40%
21,2023-10-19,54.35,54.16,54.76,53.86,15790000.0,0.56%
22,2023-10-18,54.05,54.1,54.53,53.92,12740000.0,-0.04%
23,2023-10-17,54.07,53.31,54.1,53.21,16420000.000000002,1.20%
24,2023-10-16,53.43,53.02,53.56,52.84,12770000.0,1.02%
25,2023-10-13,52.89,52.74,53.42,52.64,14440000.0,0.15%
26,2023-10-12,52.81,53.76,53.83,52.43,19250000.0,-1.68%
27,2023-10-11,53.71,54.22,54.28,53.02,20930000.0,-0.59%
28,2023-10-10,54.03,54.13,54.33,53.56,20880000.0,2.17%
29,2023-10-9,52.88,52.96,53.15,52.11,15700000.0,-0.49%
30,2023-10-6,53.14,52.04,53.29,51.55,30250000.0,1.45%
31,2023-10-5,52.38,54.74,54.95,52.24,29660000.0,-4.83%
32,2023-10-4,55.04,54.89,55.28,54.71,12060000.0,0.29%
33,2023-10-3,54.88,55.16,55.42,54.78,13560000.0,-1.08%
34,2023-10-2,55.48,55.91,56.01,55.08,11780000.0,-0.89%
35,2023-9-29,55.98,56.14,56.27,55.62,12270000.0,0.30%
36,2023-9-28,55.81,56.23,56.32,55.7,12430000.0,-0.25%
37,2023-9-27,55.95,56.42,56.53,55.68,13720000.0,-1.03%
38,2023-9-26,56.53,56.73,56.9,56.4,11180000.0,-0.82%
39,2023-9-25,57.0,57.4,57.49,56.74,12350000.0,-1.04%
40,2023-9-22,57.6,57.85,57.97,57.5,14650000.0,0.10%
41,2023-9-21,57.54,58.37,58.42,57.42,15920000.0,-1.54%
42,2023-9-20,58.44,58.3,58.83,58.08,14360000.0,0.45%
43,2023-9-19,58.18,58.26,58.39,57.92,11810000.0,-0.21%
44,2023-9-18,58.3,57.98,58.35,57.63,13610000.0,0.62%
45,2023-9-15,57.94,58.41,58.63,57.75,55730000.0,-0.89%
46,2023-9-14,58.46,58.24,58.59,58.19,12020000.0,0.03%
47,2023-9-13,58.44,58.4,58.68,58.34,12070000.0,0.24%
48,2023-9-12,58.3,58.99,59.0,58.19,12260000.0,-0.99%
49,2023-9-11,58.88,58.4,58.99,58.22,14700000.0,0.94%
50,2023-9-8,58.33,58.3,58.41,58.01,13950000.0,0.00%
51,2023-9-7,58.33,58.95,59.16,58.3,17230000.0,-0.77%
52,2023-9-6,58.78,58.62,58.83,58.42,13810000.0,-0.07%
53,2023-9-5,58.82,59.25,59.32,58.67,12420000.0,-0.83%
54,2023-9-1,59.31,60.0,60.13,59.12,11260000.0,-0.87%
55,2023-8-31,59.83,60.3,60.47,59.81,14470000.0,-1.06%
56,2023-8-30,60.47,60.64,60.74,60.29,9290000.0,-0.05%
57,2023-8-29,60.5,60.56,60.63,60.15,8130000.000000001,-0.10%
58,2023-8-28,60.56,60.55,60.72,60.37,6200000.0,0.28%
59,2023-8-25,60.39,60.41,60.57,60.01,7630000.0,0.47%
60,2023-8-24,60.11,60.27,60.88,60.09,8940000.0,-0.27%
61,2023-8-23,60.27,60.2,60.44,60.16,7730000.0,0.35%
62,2023-8-22,60.06,60.34,60.58,59.97,9410000.0,-0.61%
63,2023-8-21,60.43,60.86,60.93,60.32,8640000.0,-0.85%
64,2023-8-18,60.95,60.54,61.08,60.37,11080000.0,0.56%
65,2023-8-17,60.61,60.58,61.02,60.45,12770000.0,0.21%
66,2023-8-16,60.48,60.54,60.82,60.4,8330000.0,0.02%
67,2023-8-15,60.47,60.69,60.9,60.37,7160000.0,-0.67%
68,2023-8-14,60.88,61.32,61.48,60.75,6990000.0,-0.47%
69,2023-8-11,61.17,60.84,61.2,60.69,8480000.0,0.41%
70,2023-8-10,60.92,61.35,61.73,60.79,7630000.0,-0.23%
71,2023-8-9,61.06,60.91,61.63,60.75,7840000.0,0.23%
72,2023-8-8,60.92,61.19,61.35,60.62,7890000.0,-0.44%
73,2023-8-7,61.19,60.79,61.33,60.74,6950000.0,0.79%
74,2023-8-4,60.71,61.68,61.89,60.62,9360000.0,-1.51%
75,2023-8-3,61.64,61.87,62.12,61.53,7950000.0,-0.52%
76,2023-8-2,61.96,61.56,62.58,61.56,11020000.0,0.31%
77,2023-8-1,61.77,62.09,62.36,61.62,9200000.0,-0.26%
78,2023-7-31,61.93,62.45,62.45,61.73,15200000.0,-0.88%
79,2023-7-28,62.48,62.58,62.77,62.22,9720000.0,0.06%
80,2023-7-27,62.44,63.05,63.26,62.38,11520000.0,-0.97%
81,2023-7-26,63.05,61.86,63.17,61.39,17150000.0,1.29%
82,2023-7-25,62.25,62.3,62.39,62.04,13420000.0,-0.34%
