,date,close,open,high,low,volume,chg
0,2023-11-17,275.75,276.55,277.12,275.2,2590000.0,-0.13%
1,2023-11-16,276.12,271.47,276.15,271.47,3590000.0,2.12%
2,2023-11-15,270.39,272.6,273.1,269.04,2560000.0,-0.41%
3,2023-11-14,271.49,269.92,271.66,269.35,2640000.0,0.85%
4,2023-11-13,269.2,267.4,269.72,267.26,2450000.0,0.53%
5,2023-11-10,267.79,267.33,268.13,265.21,2670000.0,0.33%
6,2023-11-9,266.91,268.24,268.34,265.94,2500000.0,-0.22%
7,2023-11-8,267.49,268.83,270.06,267.28,2210000.0,-0.44%
8,2023-11-7,268.67,268.8,269.79,268.11,2360000.0,-0.09%
9,2023-11-6,268.91,268.01,269.11,267.3,3090000.0,0.39%
10,2023-11-3,267.87,267.56,268.61,265.48,3130000.0,0.38%
11,2023-11-2,266.85,263.59,267.42,263.51,4070000.0000000005,1.86%
12,2023-11-1,261.97,263.0,263.39,259.83,3460000.0,-0.08%
13,2023-10-31,262.17,263.46,263.69,259.75,3980000.0,0.78%
14,2023-10-30,260.15,260.1,262.06,254.6,6300000.0,1.72%
15,2023-10-27,255.76,256.55,259.38,254.87,3210000.0,-0.03%
16,2023-10-26,255.83,258.36,259.54,255.68,2700000.0,-0.85%
17,2023-10-25,258.03,258.12,259.43,256.94,2750000.0,0.30%
18,2023-10-24,257.27,254.68,257.76,254.68,2460000.0,0.99%
19,2023-10-23,254.75,256.61,257.23,254.54,3410000.0,-1.30%
20,2023-10-20,258.11,258.96,260.34,257.56,3770000.0,-0.10%
21,2023-10-19,258.38,256.26,262.56,256.26,5530000.0,0.92%
22,2023-10-18,256.03,252.85,257.09,252.34,4560000.0,1.95%
23,2023-10-17,251.14,250.09,251.4,249.38,2630000.0,0.48%
24,2023-10-16,249.94,249.22,250.49,248.07,2770000.0,0.66%
25,2023-10-13,248.31,246.82,248.81,246.0,2650000.0,0.86%
26,2023-10-12,246.19,251.69,252.15,245.88,3510000.0,-1.89%
27,2023-10-11,250.92,252.59,252.69,249.39,2920000.0,-0.24%
28,2023-10-10,251.52,251.72,253.43,250.5,3120000.0,0.64%
29,2023-10-9,249.92,247.72,249.99,247.26,2780000.0,0.68%
30,2023-10-6,248.22,250.0,250.82,245.73,5120000.0,-1.59%
31,2023-10-5,252.23,256.0,257.85,251.58,3690000.0,-1.40%
32,2023-10-4,255.81,255.33,256.25,254.01,2710000.0,0.52%
33,2023-10-3,254.49,257.21,258.3,253.87,3400000.0,-1.26%
34,2023-10-2,257.75,262.0,262.07,257.45,4420000.0,-2.16%
35,2023-9-29,263.44,267.15,267.37,261.75,3370000.0,-0.81%
36,2023-9-28,265.59,264.23,266.3,263.13,2160000.0,0.74%
37,2023-9-27,263.64,267.72,267.94,262.29,2700000.0,-1.52%
38,2023-9-26,267.72,268.82,269.3,266.58,2220000.0,-0.76%
39,2023-9-25,269.78,270.45,271.76,268.91,1890000.0,-0.90%
40,2023-9-22,272.22,271.4,273.64,270.83,1960000.0,0.37%
41,2023-9-21,271.22,276.94,277.19,271.02,2370000.0,-2.16%
42,2023-9-20,277.2,278.74,280.27,277.14,1870000.0,-0.33%
43,2023-9-19,278.13,276.44,278.26,276.44,2130000.0,0.15%
44,2023-9-18,277.72,278.72,280.27,276.93,2840000.0,-0.18%
45,2023-9-15,278.23,283.86,283.86,277.73,5730000.0,-2.29%
46,2023-9-14,284.76,283.33,285.6,282.57,2220000.0,1.06%
47,2023-9-13,281.77,281.67,282.89,280.61,1720000.0,0.38%
48,2023-9-12,280.71,279.49,281.49,277.68,1440000.0,0.34%
49,2023-9-11,279.76,279.69,280.13,278.56,2400000.0,0.19%
50,2023-9-8,279.22,278.08,280.35,277.85,2180000.0,0.32%
51,2023-9-7,278.33,277.25,278.99,276.1,3730000.0,1.05%
52,2023-9-6,275.44,278.0,278.65,275.0,2700000.0,-1.33%
53,2023-9-5,279.16,281.0,281.64,279.06,2410000.0,-0.63%
