,date,close,open,high,low,volume,chg
0,2023-11-17,95.34,96.09,96.35,95.01,2540000.0,-0.39%
1,2023-11-16,95.71,95.9,96.44,94.91,3050000.0,-1.15%
2,2023-11-15,96.82,95.51,97.2,95.51,3740000.0,1.95%
3,2023-11-14,94.97,94.17,95.48,93.95,3310000.0,2.46%
4,2023-11-13,92.69,92.7,93.13,91.92,2130000.0,-0.13%
5,2023-11-10,92.81,92.0,93.06,91.66,2400000.0,1.21%
6,2023-11-9,91.7,92.58,93.21,91.65,2120000.0,-0.67%
7,2023-11-8,92.32,93.4,93.4,91.27,3460000.0,-0.89%
8,2023-11-7,93.15,92.92,93.45,92.57,2200000.0,-0.40%
9,2023-11-6,93.52,93.83,93.92,92.97,2160000.0,-0.36%
10,2023-11-3,93.86,93.52,94.82,93.07,2730000.0,1.68%
11,2023-11-2,92.31,91.6,92.4,91.04,2610000.0,1.93%
12,2023-11-1,90.56,91.16,91.35,89.57,3470000.0,-0.43%
13,2023-10-31,90.95,89.48,91.57,89.41,4640000.0,1.60%
14,2023-10-30,89.52,88.06,89.73,87.78,2620000.0,2.29%
15,2023-10-27,87.52,89.12,89.24,86.97,3310000.0,-1.27%
16,2023-10-26,88.65,89.76,90.55,88.3,3850000.0,-0.83%
17,2023-10-25,89.39,89.4,90.4,88.7,3840000.0,-0.81%
18,2023-10-24,90.12,90.11,90.83,88.42,6390000.0,5.28%
19,2023-10-23,85.6,86.0,86.83,85.35,3480000.0,-1.10%
20,2023-10-20,86.55,86.71,87.32,86.39,2520000.0,-0.59%
21,2023-10-19,87.06,88.0,88.81,87.02,2840000.0,-1.52%
22,2023-10-18,88.4,89.72,89.8,88.13,2680000.0,-2.37%
23,2023-10-17,90.55,89.17,91.04,89.08,2100000.0,0.68%
24,2023-10-16,89.94,88.92,90.14,88.55,2660000.0,1.42%
25,2023-10-13,88.68,89.2,89.85,88.26,2340000.0,-0.38%
26,2023-10-12,89.02,90.53,90.53,88.46,2320000.0,-1.52%
27,2023-10-11,90.39,90.8,90.98,89.75,2120000.0,-0.28%
28,2023-10-10,90.64,90.0,90.99,89.21,3650000.0,1.79%
29,2023-10-9,89.05,88.07,89.08,87.95,2360000.0,0.74%
30,2023-10-6,88.4,87.4,89.21,86.33,4460000.0,0.65%
31,2023-10-5,87.83,88.0,88.24,86.55,4860000.0,-0.22%
32,2023-10-4,88.02,88.6,88.86,87.31,6520000.0,-0.87%
33,2023-10-3,88.79,89.75,89.94,88.15,5360000.0,-1.59%
34,2023-10-2,90.22,92.65,92.83,89.31,8189999.999999999,-3.63%
35,2023-9-29,93.62,94.0,94.34,93.35,3040000.0,0.39%
36,2023-9-28,93.26,93.05,93.84,92.41,4050000.0,-0.21%
37,2023-9-27,93.46,94.13,94.37,93.09,3060000.0,-0.45%
