,date,close,open,high,low,volume,chg
0,2023-11-17,101.75,102.31,102.42,100.96,6760000.0,-0.24%
1,2023-11-16,101.99,101.93,102.06,101.04,7880000.0,0.63%
2,2023-11-15,101.35,101.88,102.14,100.72,7360000.0,-0.80%
3,2023-11-14,102.17,102.49,103.22,101.91,6940000.0,-0.29%
4,2023-11-13,102.47,101.09,102.55,100.58,5880000.0,1.07%
5,2023-11-10,101.39,102.84,103.36,100.6,7630000.0,-0.97%
6,2023-11-9,102.38,104.71,104.71,102.15,7380000.0,-1.93%
7,2023-11-8,104.4,103.98,105.17,103.84,8150000.0,0.38%
8,2023-11-7,104.0,104.35,104.72,103.73,6620000.0,-0.33%
9,2023-11-6,104.34,104.08,104.37,103.14,5950000.0,0.93%
10,2023-11-3,103.38,103.37,104.25,102.78,6010000.0,0.52%
11,2023-11-2,102.85,102.74,103.06,101.65,5370000.0,0.00%
12,2023-11-1,102.85,103.55,104.23,102.73,5810000.0,0.15%
13,2023-10-31,102.7,102.77,103.55,101.4,7520000.0,0.02%
14,2023-10-30,102.68,103.28,104.5,102.61,6910000.0,-0.14%
15,2023-10-27,102.82,105.32,105.57,102.22,8930000.0,-2.59%
16,2023-10-26,105.55,103.1,107.22,102.99,10710000.0,1.85%
17,2023-10-25,103.63,103.35,104.61,102.95,7840000.0,0.58%
18,2023-10-24,103.03,103.32,104.06,102.68,6290000.0,-0.31%
19,2023-10-23,103.35,102.83,104.15,102.67,8490000.0,0.66%
20,2023-10-20,102.67,99.99,103.36,99.99,12430000.0,2.23%
21,2023-10-19,100.43,101.65,101.73,99.14,7640000.0,-1.53%
22,2023-10-18,101.99,104.11,104.46,101.9,7140000.0,-2.09%
23,2023-10-17,104.17,104.0,104.49,103.15,5830000.0,0.03%
24,2023-10-16,104.14,104.2,105.37,104.06,6350000.0,0.12%
25,2023-10-13,104.01,103.61,104.52,102.78,5650000.0,0.41%
26,2023-10-12,103.59,103.52,103.95,102.93,5110000.0,0.13%
27,2023-10-11,103.46,104.0,104.21,102.85,5370000.0,-0.14%
28,2023-10-10,103.61,104.32,104.46,103.16,7170000.0,-0.85%
29,2023-10-9,104.5,103.5,105.19,103.31,5060000.0,0.60%
30,2023-10-6,103.88,103.73,104.43,102.92,6850000.0,0.27%
31,2023-10-5,103.6,102.36,103.71,102.34,6340000.0,1.40%
32,2023-10-4,102.17,101.58,102.43,101.33,5930000.0,0.39%
33,2023-10-3,101.77,102.24,102.44,100.92,5910000.0,-0.76%
34,2023-10-2,102.55,102.83,102.83,101.35,7010000.0,-0.39%
35,2023-9-29,102.95,104.36,104.68,102.71,7230000.0,-1.29%
36,2023-9-28,104.3,104.57,104.96,103.78,4730000.0,0.35%
37,2023-9-27,103.94,105.45,105.52,103.29,5590000.0,-1.38%
38,2023-9-26,105.39,105.12,106.55,105.11,5380000.0,-0.43%
39,2023-9-25,105.84,106.05,106.19,105.11,6020000.0,-0.47%
40,2023-9-22,106.34,107.22,107.22,105.96,5030000.0,-0.37%
41,2023-9-21,106.73,107.27,107.88,106.42,5820000.0,-0.54%
42,2023-9-20,107.31,108.21,108.4,107.25,4370000.0,-0.05%
43,2023-9-19,107.36,107.65,108.18,106.91,5730000.0,-0.43%
44,2023-9-18,107.82,107.77,107.94,106.85,3840000.0,0.28%
45,2023-9-15,107.52,108.12,108.93,107.26,9640000.0,-0.67%
46,2023-9-14,108.24,107.69,108.51,106.96,6820000.0,0.40%
47,2023-9-13,107.81,108.98,109.67,107.67,6760000.0,-1.11%
48,2023-9-12,109.02,108.42,109.48,107.55,4610000.0,0.39%
49,2023-9-11,108.6,109.32,109.44,108.34,4980000.0,-0.41%
50,2023-9-8,109.05,107.54,109.14,107.54,6810000.0,1.03%
51,2023-9-7,107.94,106.91,108.69,106.86,8460000.0,1.36%
52,2023-9-6,106.49,106.76,107.0,104.92,7860000.0,-0.95%
53,2023-9-5,107.51,109.46,109.72,107.49,6330000.0,-2.12%
54,2023-9-1,109.84,109.65,110.37,109.25,4940000.0,0.79%
55,2023-8-31,108.98,110.12,110.54,108.89,9150000.0,-1.12%
56,2023-8-30,110.21,110.3,110.79,109.72,4760000.0,0.20%
57,2023-8-29,109.99,109.28,110.52,108.93,5660000.0,0.97%
58,2023-8-28,108.93,110.23,110.61,108.65,4310000.0,-1.16%
59,2023-8-25,110.21,109.94,110.33,108.98,4840000.0,0.69%
60,2023-8-24,109.45,110.95,112.02,109.09,6460000.0,-1.66%
61,2023-8-23,111.3,109.99,111.89,109.82,10500000.0,3.80%
62,2023-8-22,107.23,109.6,109.6,107.2,6020000.0,-2.20%
63,2023-8-21,109.64,109.09,110.0,108.94,5510000.0,0.40%
64,2023-8-18,109.2,108.97,109.5,108.21,6710000.0,0.26%
65,2023-8-17,108.92,108.65,110.28,108.32,6460000.0,0.17%
66,2023-8-16,108.73,108.5,109.47,108.28,5220000.0,0.06%
67,2023-8-15,108.66,108.89,109.42,108.42,5070000.0,-0.23%
68,2023-8-14,108.91,107.92,109.43,107.31,8350000.0,1.37%
69,2023-8-11,107.44,105.95,107.71,105.59,5900000.0,1.77%
70,2023-8-10,105.57,106.21,107.04,105.42,6510000.0,-0.50%
71,2023-8-9,106.1,106.27,106.79,105.79,6350000.0,-0.29%
72,2023-8-8,106.41,105.69,107.19,105.69,10140000.0,0.30%
73,2023-8-7,106.09,105.29,106.28,104.42,8160000.0,1.04%
74,2023-8-4,105.0,105.64,106.42,104.51,6700000.0,-0.69%
75,2023-8-3,105.73,105.08,105.78,104.87,5850000.0,0.03%
76,2023-8-2,105.7,106.03,108.14,104.88,10870000.0,0.40%
77,2023-8-1,105.28,109.6,109.6,105.14,9960000.0,-1.28%
78,2023-7-31,106.65,106.55,106.77,105.67,7340000.0,0.29%
79,2023-7-28,106.34,105.43,106.65,105.24,6900000.0,1.02%
80,2023-7-27,105.27,107.24,107.62,105.17,9810000.0,-1.75%
81,2023-7-26,107.14,106.8,108.0,106.06,7040000.0,-0.36%
82,2023-7-25,107.53,107.64,108.72,107.32,6500000.0,-1.16%
83,2023-7-24,108.79,109.99,110.34,108.5,6050000.0,-1.45%
84,2023-7-21,110.39,108.73,110.61,108.38,8189999.999999999,1.78%
85,2023-7-20,108.46,106.55,108.95,106.06,8070000.0,2.37%
86,2023-7-19,105.95,106.15,107.38,105.91,6590000.0,0.00%
87,2023-7-18,105.95,105.88,107.03,105.35,7490000.0,0.36%
88,2023-7-17,105.57,107.04,107.44,105.29,7320000.0,-1.65%
89,2023-7-14,107.34,106.26,107.68,106.26,5590000.0,0.96%
90,2023-7-13,106.32,107.33,107.91,106.26,7710000.0,-1.07%
91,2023-7-12,107.47,108.37,109.05,107.18,8210000.000000001,-1.13%
92,2023-7-11,108.7,109.48,110.02,108.25,6060000.0,-1.15%
93,2023-7-10,109.96,109.14,110.6,109.1,5950000.0,0.88%
94,2023-7-7,109.0,111.07,111.5,108.76,11250000.0,-2.46%
95,2023-7-6,111.75,112.9,113.44,111.71,7220000.0,-1.72%
96,2023-7-5,113.7,114.04,114.43,113.42,5850000.0,-0.55%
97,2023-7-3,114.33,114.47,114.61,113.56,2830000.0,-0.92%
98,2023-6-30,115.39,113.79,115.61,113.43,8090000.0,1.63%
99,2023-6-29,113.54,112.25,113.88,111.81,6140000.0,0.98%
100,2023-6-28,112.44,113.45,113.57,111.43,8130000.000000001,-0.78%
101,2023-6-27,113.32,112.83,113.71,111.87,7010000.0,0.21%
102,2023-6-26,113.08,114.44,114.6,111.78,7650000.0,-1.33%
103,2023-6-23,114.6,114.16,114.91,113.02,16410000.0,0.77%
104,2023-6-22,113.72,111.6,113.84,111.6,7880000.0,2.30%
105,2023-6-21,111.16,110.11,111.52,109.52,6830000.0,0.84%
106,2023-6-20,110.23,109.08,110.86,109.03,7710000.0,0.83%
107,2023-6-16,109.32,109.5,110.46,109.06,15840000.0,-0.07%
108,2023-6-15,109.4,108.4,109.9,108.34,7220000.0,0.68%
109,2023-6-14,108.66,109.72,109.93,108.35,6130000.0,-1.21%
110,2023-6-13,109.99,108.59,110.64,108.05,7300000.0,0.12%
111,2023-6-12,109.86,110.19,110.99,108.6,7470000.0,-0.77%
112,2023-6-9,110.71,110.18,111.51,109.02,6520000.0,0.35%
113,2023-6-8,110.32,108.31,111.07,108.0,8210000.000000001,1.57%
114,2023-6-7,108.61,109.63,109.67,106.87,12420000.0,-1.27%
115,2023-6-6,110.01,113.55,113.72,109.28,6950000.0,-2.74%
116,2023-6-5,113.11,113.0,114.48,112.91,5040000.0,0.52%
117,2023-6-2,112.52,111.11,112.73,110.72,5740000.0,1.43%
118,2023-6-1,110.93,110.66,111.59,109.88,6600000.0,0.47%
119,2023-5-31,110.41,108.47,111.15,108.47,13570000.0,1.14%
120,2023-5-30,109.17,110.13,110.71,108.97,7590000.0,-1.71%
121,2023-5-26,111.07,112.0,113.19,110.65,6380000.0,-1.10%
122,2023-5-25,112.3,113.5,113.5,111.09,6720000.0,-1.14%
123,2023-5-24,113.6,114.11,114.32,112.55,4450000.0,0.29%
124,2023-5-23,113.27,113.97,114.79,113.05,7640000.0,-1.07%
125,2023-5-22,114.49,115.48,117.08,114.33,5590000.0,-0.87%
126,2023-5-19,115.49,114.33,116.24,114.1,7650000.0,1.31%
127,2023-5-18,114.0,114.14,115.07,113.33,6430000.0,-0.66%
128,2023-5-17,114.76,116.37,116.65,113.48,7210000.0,-1.14%
129,2023-5-16,116.08,115.88,116.76,115.29,4280000.0,-0.25%
130,2023-5-15,116.37,117.14,117.74,115.49,5700000.0,-0.66%
131,2023-5-12,117.14,118.0,118.55,116.69,5230000.0,-0.35%
132,2023-5-11,117.55,117.58,117.79,116.38,5600000.0,-0.30%
133,2023-5-10,117.9,117.41,118.17,116.42,5610000.0,0.40%
134,2023-5-9,117.43,118.25,118.63,117.34,4930000.0,-0.80%
135,2023-5-8,118.38,117.08,118.44,116.44,5160000.0,0.59%
136,2023-5-5,117.68,117.38,117.89,116.56,4530000.0,0.26%
137,2023-5-4,117.37,118.0,118.0,116.49,6490000.0,-0.72%
138,2023-5-3,118.22,118.35,119.65,117.93,6740000.0,0.28%
139,2023-5-2,117.89,116.67,118.39,115.81,8180000.0,1.33%
140,2023-5-1,116.34,115.8,116.6,115.27,5240000.0,0.75%
141,2023-4-28,115.47,114.36,115.53,113.46,8050000.000000001,0.27%
142,2023-4-27,115.16,114.6,115.36,110.65,9980000.0,1.53%
143,2023-4-26,113.43,115.2,115.2,112.72,6610000.0,-2.66%
144,2023-4-25,116.53,116.21,116.86,115.91,5660000.0,0.51%
145,2023-4-24,115.94,115.64,116.28,114.77,4300000.0,0.49%
146,2023-4-21,115.37,114.87,115.65,114.59,6550000.0,1.05%
147,2023-4-20,114.17,114.18,114.52,113.0,4660000.0,0.04%
