,date,close,open,high,low,volume,chg
0,2023-11-17,369.85,373.46,374.3,367.02,39450000.0,-1.68%
1,2023-11-16,376.17,370.96,376.35,370.18,26430000.0,1.76%
2,2023-11-15,369.67,371.28,373.13,367.11,26150000.0,-0.16%
3,2023-11-14,370.27,371.01,371.95,367.35,26810000.0,0.98%
4,2023-11-13,366.68,368.22,368.47,365.9,19940000.0,-0.81%
5,2023-11-10,369.67,361.49,370.1,361.07,28070000.0,2.49%
6,2023-11-9,360.69,362.3,364.79,360.36,23820000.0,-0.69%
7,2023-11-8,363.2,361.68,363.87,360.55,25730000.0,0.74%
8,2023-11-7,360.53,359.4,362.46,357.63,25740000.0,1.12%
9,2023-11-6,356.53,353.45,357.54,353.35,23290000.0,1.06%
10,2023-11-3,352.8,349.63,354.39,347.33,23640000.0,1.29%
11,2023-11-2,348.32,347.24,348.83,344.77,24100000.0,0.65%
12,2023-11-1,346.07,339.79,347.42,339.65,28160000.0,2.35%
13,2023-10-31,338.11,338.85,339.0,334.69,19750000.0,0.24%
14,2023-10-30,337.31,333.41,339.45,331.83,22780000.0,2.27%
15,2023-10-27,329.81,330.42,336.72,328.4,29860000.0,0.59%
16,2023-10-26,327.89,340.54,341.63,326.94,37230000.0,-3.75%
17,2023-10-25,340.67,345.02,346.2,337.62,54460000.0,3.07%
18,2023-10-24,330.53,331.3,331.84,327.6,27520000.0,0.37%
19,2023-10-23,329.32,325.47,332.73,324.39,24320000.0,0.81%
20,2023-10-20,326.67,331.72,331.92,325.45,25030000.0,-1.40%
21,2023-10-19,331.32,332.15,336.88,330.91,24910000.0,0.37%
22,2023-10-18,330.11,332.49,335.59,328.3,23030000.0,-0.59%
23,2023-10-17,332.06,329.59,333.46,327.41,18000000.0,-0.17%
24,2023-10-16,332.64,331.05,336.14,330.6,22100000.0,1.50%
25,2023-10-13,327.73,332.38,333.83,326.36,21090000.0,-1.04%
26,2023-10-12,331.16,330.57,333.63,328.72,19270000.0,-0.38%
27,2023-10-11,332.42,331.21,332.82,329.14,19830000.0,1.23%
28,2023-10-10,328.39,330.96,331.1,327.67,20520000.0,-0.43%
29,2023-10-9,329.82,324.75,330.3,323.18,19890000.0,0.78%
30,2023-10-6,327.26,316.55,329.19,316.3,25670000.0,2.47%
31,2023-10-5,319.36,319.09,319.98,314.9,16940000.0,0.13%
32,2023-10-4,318.95,314.03,320.04,314.0,20250000.0,1.78%
33,2023-10-3,313.39,320.83,321.39,311.21,20590000.0,-2.61%
34,2023-10-2,321.8,316.28,321.89,315.18,20570000.0,1.92%
35,2023-9-29,315.75,317.75,319.47,314.98,24150000.0,0.67%
36,2023-9-28,313.64,310.99,315.48,309.45,19300000.0,0.27%
