,date,close,open,high,low,volume,chg
0,2023-11-17,151.07,152.72,152.73,150.9,8430000.0,-1.15%
1,2023-11-16,152.83,151.99,152.89,151.31,7540000.0,0.93%
2,2023-11-15,151.42,152.22,152.34,150.39,7660000.0,-0.46%
3,2023-11-14,152.12,152.7,153.46,151.69,5960000.0,-0.22%
4,2023-11-13,152.46,151.45,152.9,151.45,6140000.0,0.69%
5,2023-11-10,151.41,150.84,151.44,149.92,5390000.0,0.71%
6,2023-11-9,150.35,149.74,150.35,149.12,6580000.0,0.23%
7,2023-11-8,150.01,150.96,151.2,149.51,4830000.0,-0.39%
8,2023-11-7,150.59,150.92,151.25,150.12,6000000.0,-0.23%
9,2023-11-6,150.94,150.36,151.25,150.1,6480000.0,0.58%
10,2023-11-3,150.07,151.79,152.29,149.62,6590000.0,-0.90%
11,2023-11-2,151.44,149.54,151.65,148.91,5780000.0,1.22%
12,2023-11-1,149.61,150.68,150.68,149.21,5770000.0,-0.28%
13,2023-10-31,150.03,149.46,150.26,148.64,6760000.0,0.52%
14,2023-10-30,149.26,147.9,149.55,147.54,5410000.0,1.43%
15,2023-10-27,147.16,148.98,149.95,146.28,8130000.000000001,-1.76%
16,2023-10-26,149.8,151.05,151.38,149.74,7340000.0,-0.53%
17,2023-10-25,150.6,149.63,151.19,149.12,6070000.0,0.47%
18,2023-10-24,149.9,148.12,150.07,148.07,6320000.0,1.18%
19,2023-10-23,148.15,147.86,149.5,147.56,5980000.0,0.07%
20,2023-10-20,148.05,149.05,149.88,147.92,7080000.0,-0.13%
21,2023-10-19,148.25,149.61,150.28,147.18,8010000.0,-1.19%
22,2023-10-18,150.03,150.06,151.3,148.77,10420000.0,2.58%
23,2023-10-17,146.26,146.11,146.82,145.24,6090000.0,0.13%
24,2023-10-16,146.07,145.86,147.06,145.46,6500000.0,0.95%
25,2023-10-13,144.69,143.19,145.03,143.19,7070000.0,0.96%
26,2023-10-12,143.32,142.79,143.93,141.66,5940000.0,0.22%
27,2023-10-11,143.0,145.14,145.56,142.56,5460000.0,-1.23%
28,2023-10-10,144.78,143.98,145.22,143.72,5980000.0,0.99%
29,2023-10-9,143.36,143.36,143.97,141.6,5060000.0,-0.51%
30,2023-10-6,144.09,143.6,144.55,141.45,7390000.0,0.20%
31,2023-10-5,143.8,145.68,146.09,143.69,5190000.0,-1.49%
32,2023-10-4,145.97,145.59,146.31,144.93,4710000.0,0.33%
33,2023-10-3,145.49,145.17,146.49,145.01,4670000.0,0.21%
34,2023-10-2,145.19,144.78,145.6,143.9,5090000.0,-0.46%
35,2023-9-29,145.86,146.54,146.77,144.82,6680000.0,-0.33%
36,2023-9-28,146.34,147.82,147.98,145.68,6230000.0,-0.68%
37,2023-9-27,147.34,149.42,149.7,146.63,5400000.0,-1.33%
38,2023-9-26,149.32,149.98,150.36,148.79,6000000.0,-0.89%
39,2023-9-25,150.66,151.18,151.28,150.02,5530000.0,-0.61%
40,2023-9-22,151.58,152.44,153.34,151.38,6330000.0,-0.37%
41,2023-9-21,152.14,153.45,153.71,152.07,5090000.0,-0.87%
42,2023-9-20,153.47,153.77,154.77,153.36,5450000.0,-0.08%
43,2023-9-19,153.6,153.75,154.06,151.74,4680000.0,-0.29%
44,2023-9-18,154.05,154.45,154.48,153.51,3430000.0,0.38%
45,2023-9-15,153.47,154.03,155.32,153.23,10260000.0,-0.84%
46,2023-9-14,154.77,153.85,154.92,153.37,4600000.0,1.10%
47,2023-9-13,153.09,151.98,153.59,151.66,4040000.0,0.70%
48,2023-9-12,152.03,154.99,155.15,151.57,4540000.0,-1.76%
49,2023-9-11,154.75,153.33,155.1,153.08,3980000.0,1.19%
50,2023-9-8,152.93,153.42,153.46,152.35,3380000.0,-0.43%
51,2023-9-7,153.59,152.49,154.19,152.37,4800000.0,0.95%
52,2023-9-6,152.14,152.29,152.45,151.54,3870000.0,-0.20%
53,2023-9-5,152.44,153.8,154.85,152.4,4920000.0,-1.34%
54,2023-9-1,154.51,154.9,155.28,153.56,4130000.0,0.11%
55,2023-8-31,154.34,154.12,155.16,153.83,5390000.0,0.19%
56,2023-8-30,154.04,154.1,154.87,153.71,3700000.0,0.11%
57,2023-8-29,153.87,153.95,154.04,152.03,4019999.9999999995,0.06%
58,2023-8-28,153.78,153.71,154.37,153.05,3600000.0,0.16%
59,2023-8-25,153.54,153.4,154.08,152.46,3540000.0,0.66%
60,2023-8-24,152.54,152.55,154.68,152.48,4040000.0,-0.46%
61,2023-8-23,153.25,152.47,153.48,152.47,4490000.0,0.94%
62,2023-8-22,151.83,151.42,152.15,150.93,4170000.0,0.04%
63,2023-8-21,151.77,152.09,152.78,151.26,4320000.0,-0.50%
64,2023-8-18,152.54,151.62,152.89,151.17,5440000.0,0.28%
65,2023-8-17,152.11,153.21,153.55,151.79,6070000.0,-0.72%
66,2023-8-16,153.21,154.76,155.73,152.87,6040000.0,-1.02%
67,2023-8-15,154.79,155.79,155.97,154.46,6100000.0,-0.64%
68,2023-8-14,155.79,157.13,157.53,155.5,4120000.0,-0.78%
69,2023-8-11,157.02,156.43,157.46,155.79,3860000.0,0.58%
