,date,close,open,high,low,volume,chg
0,2023-11-17,536.29,539.6,540.52,528.65,2660000.0,-0.65%
1,2023-11-16,539.82,538.71,544.74,537.47,2360000.0,0.26%
2,2023-11-15,538.41,539.77,539.77,531.7,2470000.0,-0.38%
3,2023-11-14,540.46,537.98,542.67,536.51,2450000.0,-0.39%
4,2023-11-13,542.57,541.15,544.15,537.91,1500000.0,0.25%
5,2023-11-10,541.21,542.68,542.68,536.02,2480000.0,0.41%
6,2023-11-9,539.0,537.6,540.91,534.48,1820000.0,0.42%
7,2023-11-8,536.73,540.0,541.4,534.14,1760000.0,-0.20%
8,2023-11-7,537.83,535.36,539.65,531.52,2600000.0,0.82%
9,2023-11-6,533.46,531.63,536.02,530.05,2680000.0,0.48%
10,2023-11-3,530.9,534.57,535.98,528.8,2740000.0,-0.98%
11,2023-11-2,536.13,532.0,536.84,526.95,2330000.0,0.85%
12,2023-11-1,531.6,529.98,535.83,526.8,2690000.0,-0.74%
13,2023-10-31,535.56,535.0,536.68,531.62,2460000.0,1.05%
14,2023-10-30,529.99,525.0,531.82,522.94,2510000.0,1.02%
15,2023-10-27,524.66,525.99,527.74,521.26,2590000.0,-0.70%
16,2023-10-26,528.36,525.7,530.47,522.52,2600000.0,-0.35%
17,2023-10-25,530.21,527.27,532.36,520.08,2370000.0,0.99%
18,2023-10-24,525.0,522.86,530.67,522.07,1900000.0,0.66%
19,2023-10-23,521.57,527.03,527.78,520.29,2360000.0,-1.04%
20,2023-10-20,527.03,531.0,534.43,526.77,2800000.0,-0.87%
21,2023-10-19,531.63,536.82,538.34,529.25,2310000.0,-0.83%
22,2023-10-18,536.06,543.04,543.98,535.4,2490000.0,-0.11%
23,2023-10-17,536.65,539.94,542.43,534.57,2580000.0,-0.26%
24,2023-10-16,538.03,543.18,546.78,536.12,3780000.0,-0.25%
25,2023-10-13,539.4,533.25,544.46,532.0,5230000.0,2.64%
26,2023-10-12,525.54,524.47,528.58,522.25,2360000.0,0.27%
27,2023-10-11,524.13,520.92,525.59,520.23,2820000.0,-0.02%
28,2023-10-10,524.24,526.5,528.14,523.08,2430000.0,-0.43%
29,2023-10-9,526.51,521.15,526.87,520.25,2340000.0,0.32%
30,2023-10-6,524.81,516.45,525.95,515.98,3530000.0,1.66%
