,date,close,open,high,low,volume,chg
0,2023-11-17,249.56,249.16,250.23,248.79,7230000.0,0.40%
1,2023-11-16,248.57,248.67,249.44,247.28,7030000.0,0.19%
2,2023-11-15,248.11,246.79,248.23,245.34,13240000.0,0.47%
3,2023-11-14,246.94,246.06,247.93,245.85,13570000.0,0.93%
4,2023-11-13,244.67,245.0,245.68,244.11,4050000.0,-0.24%
5,2023-11-10,245.25,243.98,245.27,241.97,4090000.0,1.49%
6,2023-11-9,241.64,244.33,244.48,240.97,4870000.0,-0.93%
7,2023-11-8,243.91,243.49,244.75,242.8,5100000.0,-0.35%
8,2023-11-7,244.77,243.41,245.07,243.38,4220000.0,0.53%
9,2023-11-6,243.49,244.0,244.78,242.61,5250000.0,-0.05%
10,2023-11-3,243.6,245.12,245.32,242.26,5030000.0,0.14%
11,2023-11-2,243.25,239.91,243.25,239.2,5970000.0,1.96%
12,2023-11-1,238.58,236.14,239.04,235.68,4930000.0,1.48%
13,2023-10-31,235.1,233.57,235.72,232.99,4820000.0,0.87%
14,2023-10-30,233.08,232.19,233.38,230.03,5170000.0,1.66%
15,2023-10-27,229.27,231.17,231.39,228.03,5540000.0,-0.87%
16,2023-10-26,231.28,234.57,235.6,230.36,6410000.0,-2.35%
17,2023-10-25,236.85,232.25,238.48,231.29,10290000.0,0.94%
18,2023-10-24,234.65,232.89,236.53,232.89,6590000.0,1.35%
19,2023-10-23,231.53,231.36,234.46,231.28,5070000.0,-0.79%
20,2023-10-20,233.38,234.13,235.77,232.64,5710000.0,-0.18%
21,2023-10-19,233.81,237.47,237.92,233.4,5930000.0,-1.54%
22,2023-10-18,237.47,239.96,240.83,236.99,9520000.0,-1.55%
23,2023-10-17,241.2,239.63,241.48,238.29,4470000.0,0.47%
24,2023-10-16,240.07,239.0,240.71,238.33,6200000.0,1.01%
25,2023-10-13,237.67,236.39,238.65,236.23,4960000.0,0.38%
26,2023-10-12,236.78,236.71,237.73,234.89,4460000.0,0.47%
27,2023-10-11,235.68,237.55,238.51,234.89,4750000.0,-0.39%
28,2023-10-10,236.6,234.9,238.22,234.28,4640000.0,0.92%
29,2023-10-9,234.44,232.8,235.17,231.7,5370000.0,-0.26%
30,2023-10-6,235.04,233.17,236.59,232.75,6400000.0,0.67%
31,2023-10-5,233.48,230.41,234.19,230.22,6120000.0,0.98%
32,2023-10-4,231.22,229.48,231.7,228.88,5430000.0,1.05%
33,2023-10-3,228.81,230.47,231.75,227.78,5570000.0,-1.06%
34,2023-10-2,231.27,229.24,231.37,228.77,5170000.0,0.55%
35,2023-9-29,230.01,232.84,233.03,229.65,6050000.0,-0.71%
36,2023-9-28,231.66,230.67,232.54,229.67,4200000.0,0.94%
37,2023-9-27,229.5,230.26,230.68,227.92,6000000.0,-0.07%
38,2023-9-26,229.65,231.93,232.67,229.6,6190000.0,-1.59%
39,2023-9-25,233.36,235.38,235.47,232.21,5920000.0,-0.73%
40,2023-9-22,235.08,236.75,237.79,234.88,5940000.0,-0.65%
41,2023-9-21,236.61,240.77,240.78,236.27,6870000.0,-2.17%
42,2023-9-20,241.86,243.63,244.53,241.67,5750000.0,-0.70%
43,2023-9-19,243.56,245.0,245.12,241.46,4700000.0,-0.45%
44,2023-9-18,244.66,240.94,245.23,240.77,4770000.0,1.49%
45,2023-9-15,241.07,241.9,244.1,240.03,13080000.0,-0.18%
46,2023-9-14,241.5,245.0,245.54,238.75,11990000.0,-2.55%
47,2023-9-13,247.83,247.15,250.06,246.61,5630000.0,0.21%
48,2023-9-12,247.3,246.94,247.76,246.01,3500000.0,0.03%
49,2023-9-11,247.22,247.33,248.36,246.27,2990000.0,-0.03%
50,2023-9-8,247.29,247.79,248.14,246.44,3310000.0,0.06%
51,2023-9-7,247.14,245.5,247.4,245.11,4010000.0,0.40%
52,2023-9-6,246.16,245.42,246.66,244.21,4520000.0,0.33%
53,2023-9-5,245.34,248.35,248.69,245.2,4460000.0,-1.12%
54,2023-9-1,248.11,247.47,248.87,246.77,4110000.0000000005,0.99%
55,2023-8-31,245.68,245.59,248.02,245.45,5520000.0,-0.22%
56,2023-8-30,246.23,246.42,248.23,246.05,4520000.0,0.36%
57,2023-8-29,245.34,243.5,245.83,243.4,3970000.0,0.62%
58,2023-8-28,243.83,243.01,245.23,242.6,3740000.0,0.52%
59,2023-8-25,242.57,241.38,243.41,240.21,3540000.0,1.29%
60,2023-8-24,239.47,242.25,243.56,239.36,4570000.0,-1.17%
61,2023-8-23,242.3,241.32,242.54,240.72,4950000.0,0.72%
62,2023-8-22,240.57,240.0,241.43,238.67,3850000.0,0.46%
63,2023-8-21,239.46,239.38,240.53,237.76,3570000.0,0.54%
64,2023-8-18,238.17,235.58,239.05,235.3,4270000.0,0.34%
65,2023-8-17,237.37,240.0,240.38,236.49,4179999.9999999995,-0.80%
66,2023-8-16,239.29,236.53,241.07,236.02,3200000.0,-0.23%
67,2023-8-15,239.83,242.01,242.67,239.35,3770000.0,-1.26%
68,2023-8-14,242.9,240.72,243.33,240.26,4350000.0,1.19%
69,2023-8-11,240.04,240.0,240.72,238.41,3610000.0,-0.05%
70,2023-8-10,240.16,240.62,243.95,240.09,4770000.0,0.17%
71,2023-8-9,239.76,240.5,241.97,239.49,4050000.0,0.20%
72,2023-8-8,239.29,240.42,241.36,237.39,5080000.0,-0.92%
73,2023-8-7,241.51,239.22,242.18,239.21,5650000.0,1.05%
74,2023-8-4,238.99,238.0,241.91,237.84,5170000.0,0.10%
75,2023-8-3,238.76,236.0,239.05,235.24,5030000.0,0.51%
76,2023-8-2,237.56,238.63,238.79,236.79,4870000.0,-0.93%
77,2023-8-1,239.78,237.14,240.73,237.0,4620000.0,0.86%
78,2023-7-31,237.73,236.0,238.42,236.0,4800000.0,0.84%
79,2023-7-28,235.75,234.58,235.88,233.71,6800000.0,0.56%
80,2023-7-27,234.44,237.42,238.66,232.96,8160000.0,-1.12%
81,2023-7-26,237.1,231.41,238.85,227.68,7550000.0,-0.67%
82,2023-7-25,238.69,240.02,240.8,238.56,5000000.0,-0.85%
83,2023-7-24,240.74,239.68,241.27,238.19,6010000.0,0.62%
84,2023-7-21,239.25,239.74,240.35,238.73,5430000.0,-0.15%
85,2023-7-20,239.62,241.16,241.61,239.07,4690000.0,-0.75%
86,2023-7-19,241.42,241.25,242.59,240.12,4830000.0,0.27%
87,2023-7-18,240.77,243.1,243.18,237.68,7660000.0,-1.32%
88,2023-7-17,243.99,243.11,245.37,243.0,4330000.0,0.34%
89,2023-7-14,243.16,244.73,244.74,241.96,4940000.0,-0.06%
90,2023-7-13,243.31,243.79,244.26,243.15,5810000.0,0.45%
91,2023-7-12,242.21,241.55,243.95,241.23,6110000.0,0.69%
92,2023-7-11,240.55,238.81,240.7,238.12,3860000.0,1.00%
93,2023-7-10,238.16,237.01,239.1,236.5,4860000.0,0.72%
94,2023-7-7,236.45,236.73,238.44,236.13,5730000.0,-1.02%
95,2023-7-6,238.88,238.27,239.6,236.69,6420000.0,-0.24%
96,2023-7-5,239.45,234.41,240.0,233.99,7600000.0,0.62%
97,2023-7-3,237.97,236.84,238.39,235.51,3090000.0,0.21%
98,2023-6-30,237.48,236.27,238.28,235.95,6880000.0,1.35%
99,2023-6-29,234.32,228.79,234.7,228.6,7110000.0,2.79%
100,2023-6-28,227.96,227.5,228.06,226.02,5240000.0,0.27%
101,2023-6-27,227.34,227.48,228.61,226.52,4620000.0,0.46%
102,2023-6-26,226.3,229.44,230.1,226.2,5160000.0,-1.42%
103,2023-6-23,229.55,227.22,229.98,226.39,5420000.0,0.51%
104,2023-6-22,228.39,226.36,228.93,225.5,6270000.0,0.50%
105,2023-6-21,227.25,226.12,228.63,224.98,7020000.0,0.34%
106,2023-6-20,226.47,227.0,229.57,226.18,7750000.0,-1.07%
107,2023-6-16,228.91,226.45,229.8,226.08,13630000.0,1.21%
108,2023-6-15,226.17,222.02,227.11,221.37,7620000.0,1.22%
109,2023-6-14,223.44,223.74,225.47,222.58,9140000.0,0.02%
110,2023-6-13,223.4,225.62,227.15,222.63,6870000.0,-1.22%
111,2023-6-12,226.17,224.41,226.45,223.63,8610000.0,1.17%
112,2023-6-9,223.56,223.64,225.18,222.76,6370000.0,0.23%
113,2023-6-8,223.05,225.09,225.13,222.41,6250000.0,-0.99%
114,2023-6-7,225.27,227.0,227.55,221.02,8520000.0,-1.29%
115,2023-6-6,228.22,226.69,229.25,226.16,6020000.0,0.64%
116,2023-6-5,226.77,227.91,228.33,225.31,4850000.0,-0.88%
117,2023-6-2,228.79,228.81,230.27,227.42,5870000.0,1.01%
118,2023-6-1,226.5,222.73,226.71,222.43,6970000.0,2.47%
119,2023-5-31,221.03,219.96,221.53,216.14,19890000.0,-0.28%
120,2023-5-30,221.64,225.01,225.47,219.75,6910000.0,-1.50%
121,2023-5-26,225.01,223.82,226.21,223.34,5070000.0,0.73%
122,2023-5-25,223.38,222.45,224.69,220.49,6820000.0,0.51%
123,2023-5-24,222.25,222.55,223.1,220.03,6730000.0,-1.04%
124,2023-5-23,224.58,229.27,229.49,223.66,8530000.0,-2.90%
125,2023-5-22,231.28,233.31,233.87,231.18,3980000.0,-0.87%
126,2023-5-19,233.31,234.0,234.34,231.94,5400000.0,-0.12%
127,2023-5-18,233.6,232.4,234.15,231.13,6270000.0,0.41%
128,2023-5-17,232.65,232.73,233.89,230.55,4990000.0,0.95%
129,2023-5-16,230.47,232.56,233.1,229.63,4290000.0,-1.01%
130,2023-5-15,232.81,231.19,232.83,230.55,2840000.0,0.62%
131,2023-5-12,231.38,232.0,232.73,229.82,3430000.0,0.16%
132,2023-5-11,231.01,230.75,231.52,228.27,3820000.0,-0.11%
133,2023-5-10,231.27,234.3,234.81,228.9,5250000.0,-0.85%
134,2023-5-9,233.26,231.08,234.09,230.82,4350000.0,0.44%
135,2023-5-8,232.23,231.25,233.45,231.25,2940000.0,0.19%
136,2023-5-5,231.78,228.34,232.34,227.29,6240000.0,2.74%
137,2023-5-4,225.6,224.84,226.05,223.48,5650000.0,-0.17%
138,2023-5-3,225.98,226.98,228.67,225.92,4090000.0,-0.44%
139,2023-5-2,226.98,231.95,232.37,226.21,5240000.0,-2.38%
140,2023-5-1,232.51,232.87,234.59,231.51,4570000.0,-0.09%
141,2023-4-28,232.73,228.65,233.57,228.06,11630000.0,1.62%
142,2023-4-27,229.01,228.67,229.63,226.61,7130000.0,0.38%
143,2023-4-26,228.15,231.22,232.77,226.72,8400000.0,-0.63%
144,2023-4-25,229.59,233.02,235.02,229.43,6080000.0,-1.36%
145,2023-4-24,232.76,234.23,235.15,231.51,9120000.0,-0.55%
146,2023-4-21,234.05,235.0,235.57,233.38,6770000.0,-0.23%
147,2023-4-20,234.6,232.46,234.67,231.5,4930000.0,0.87%
148,2023-4-19,232.57,234.0,234.06,231.85,3830000.0,-0.44%
149,2023-4-18,233.6,233.75,234.33,231.69,4800000.0,0.05%
150,2023-4-17,233.48,234.02,234.05,230.94,4870000.0,-0.23%
151,2023-4-14,234.02,232.99,234.99,232.24,9780000.0,0.57%
152,2023-4-13,232.69,229.46,232.84,228.8,7620000.0,2.14%
153,2023-4-12,227.81,229.93,231.59,227.33,4370000.0,-0.28%
154,2023-4-11,228.45,227.0,229.13,226.2,4510000.0,0.89%
155,2023-4-10,226.43,225.56,226.48,224.32,4950000.0,0.19%
156,2023-4-6,225.99,226.16,226.73,224.68,4290000.0,-0.96%
157,2023-4-5,228.17,226.78,228.47,226.55,4810000.0,0.22%
158,2023-4-4,227.66,229.0,230.05,226.83,5250000.0,-0.59%
159,2023-4-3,229.0,225.23,229.16,224.12,6420000.0,1.57%
160,2023-3-31,225.46,223.6,225.84,223.29,9510000.0,1.39%
161,2023-3-30,222.36,223.92,224.24,221.21,5380000.0,-0.42%
162,2023-3-29,223.3,222.29,223.55,220.92,4480000.0,1.35%
163,2023-3-28,220.33,222.82,223.33,218.65,6420000.0,-0.67%
164,2023-3-27,221.81,222.59,224.08,221.39,7210000.0,0.35%
165,2023-3-24,221.04,220.67,221.33,218.25,4790000.0,-0.70%
166,2023-3-23,222.59,220.44,225.25,220.26,6430000.0,1.16%
167,2023-3-22,220.04,222.5,224.9,219.92,6700000.0,-0.86%
168,2023-3-21,221.95,221.34,222.51,218.68,8970000.0,1.74%
169,2023-3-20,218.15,217.0,220.54,216.84,9820000.0,0.35%
170,2023-3-17,217.39,214.87,218.66,214.87,18800000.0,-0.03%
171,2023-3-16,217.45,215.17,217.58,208.76,13680000.0,0.50%
172,2023-3-15,216.37,214.41,216.91,213.67,8369999.999999999,-1.05%
173,2023-3-14,218.66,218.0,219.87,216.04,7990000.0,1.95%
174,2023-3-13,214.47,214.63,217.85,212.5,6810000.0,-0.77%
175,2023-3-10,216.14,219.03,219.12,215.48,6640000.0,-1.76%
176,2023-3-9,220.01,221.4,224.37,219.66,5070000.0,-0.98%
177,2023-3-8,222.19,221.96,222.93,221.18,4200000.0,-0.44%
178,2023-3-7,223.17,226.75,227.38,223.08,4390000.0,-1.58%
179,2023-3-6,226.75,223.93,227.41,223.69,5740000.0,1.33%
180,2023-3-3,223.77,220.2,224.01,219.9,6060000.0,2.15%
181,2023-3-2,219.06,217.89,219.6,217.09,5540000.0,0.32%
182,2023-3-1,218.36,219.46,220.27,216.43,4790000.0,-0.72%
183,2023-2-28,219.94,220.0,221.77,219.5,5390000.0,-0.19%
184,2023-2-27,220.35,220.73,221.44,219.34,4260000.0,0.36%
185,2023-2-24,219.55,218.48,220.24,217.46,4410000.0,-0.71%
186,2023-2-23,221.13,221.56,222.09,218.93,5530000.0,0.50%
187,2023-2-22,220.02,220.41,221.75,219.45,4620000.0,-0.27%
188,2023-2-21,220.62,220.16,222.44,219.99,7280000.0,-1.32%
189,2023-2-17,223.56,224.18,224.77,221.74,4520000.0,-1.01%
190,2023-2-16,225.83,226.07,228.36,225.67,3870000.0,-1.35%
191,2023-2-15,228.92,227.59,229.07,226.8,4410000.0,-0.20%
192,2023-2-14,229.39,228.67,231.42,227.17,4830000.0,0.22%
193,2023-2-13,228.88,226.88,229.83,226.27,4950000.0,0.74%
194,2023-2-10,227.2,228.96,229.91,226.16,4510000.0,-0.94%
195,2023-2-9,229.35,232.41,232.48,229.13,5240000.0,-0.37%
196,2023-2-8,230.2,230.34,231.86,229.99,4980000.0,-0.48%
197,2023-2-7,231.32,228.02,232.13,227.95,4040000.0,0.82%
198,2023-2-6,229.44,228.7,230.26,228.04,3400000.0,-0.30%
199,2023-2-3,230.13,228.69,230.86,227.64,5240000.0,0.25%
200,2023-2-2,229.56,233.96,234.3,228.37,7190000.0,-0.58%
201,2023-2-1,230.9,229.37,232.66,227.8,5790000.0,0.30%
202,2023-1-31,230.21,228.81,230.8,228.45,11290000.0,0.48%
203,2023-1-30,229.1,230.2,230.42,227.93,5680000.0,-1.01%
204,2023-1-27,231.44,228.0,232.84,227.25,11380000.0,2.99%
205,2023-1-26,224.71,226.0,227.08,223.67,7040000.0,-0.08%
206,2023-1-25,224.9,221.62,224.97,221.17,4730000.0,0.45%
207,2023-1-24,223.89,224.05,230.0,216.63,5270000.0,-0.13%
208,2023-1-23,224.18,224.6,226.2,223.15,5500000.0,-0.06%
209,2023-1-20,224.31,221.14,224.43,220.41,5210000.0,1.77%
210,2023-1-19,220.41,218.1,221.52,217.5,4850000.0,0.43%
211,2023-1-18,219.46,224.08,224.99,219.44,6560000.0,-1.59%
212,2023-1-17,223.0,222.38,224.4,222.37,6100000.0,-0.03%
213,2023-1-13,223.06,221.91,223.76,220.14,4280000.0,-0.25%
214,2023-1-12,223.62,222.1,223.81,220.61,4260000.0,0.68%
215,2023-1-11,222.1,221.29,222.18,219.7,5410000.0,0.46%
216,2023-1-10,221.09,218.99,222.39,218.18,10860000.0,1.14%
