,date,close,open,high,low,volume,chg
0,2023-11-17,36.23,36.33,36.33,36.08,19090000.0,0.14%
1,2023-11-16,36.18,36.14,36.38,35.93,19100000.0,0.50%
2,2023-11-15,36.0,35.96,36.11,35.84,22780000.0,0.33%
3,2023-11-14,35.88,36.03,36.1,35.81,17560000.0,0.17%
4,2023-11-13,35.82,35.64,36.18,35.41,17220000.0,0.31%
5,2023-11-10,35.71,35.91,35.92,35.4,12790000.0,0.25%
6,2023-11-9,35.62,35.87,36.05,35.46,15690000.0,-0.42%
7,2023-11-8,35.77,35.94,35.98,35.6,16950000.0,-0.47%
8,2023-11-7,35.94,35.7,36.1,35.65,17650000.0,0.84%
9,2023-11-6,35.64,35.98,36.03,35.62,15540000.0,-1.05%
10,2023-11-3,36.02,35.99,36.37,35.94,23320000.0,0.33%
11,2023-11-2,35.9,35.31,35.94,35.31,24640000.0,1.41%
12,2023-11-1,35.4,35.4,35.56,35.15,25940000.0,0.77%
13,2023-10-31,35.13,34.71,35.21,34.67,28870000.0,1.47%
14,2023-10-30,34.62,33.84,34.8,33.84,31390000.0,3.53%
15,2023-10-27,33.44,34.38,34.59,33.34,23920000.0,-2.99%
16,2023-10-26,34.47,33.66,34.7,33.64,34060000.0,2.32%
17,2023-10-25,33.69,34.5,34.61,33.6,30700000.0,-1.78%
18,2023-10-24,34.3,33.15,34.46,32.97,61430000.0,9.27%
19,2023-10-23,31.39,31.48,31.66,31.26,31730000.0,-0.57%
20,2023-10-20,31.57,31.57,32.14,31.55,27160000.0,-0.03%
21,2023-10-19,31.58,31.42,31.97,31.4,28770000.0,1.71%
22,2023-10-18,31.05,31.42,31.48,30.99,21990000.0,-1.46%
23,2023-10-17,31.51,31.11,31.54,31.1,21040000.0,0.83%
24,2023-10-16,31.25,30.84,31.32,30.62,21040000.0,1.89%
25,2023-10-13,30.67,31.08,31.39,30.64,24410000.0,-0.78%
26,2023-10-12,30.91,31.33,31.37,30.65,21590000.0,-1.75%
27,2023-10-11,31.46,31.83,31.97,31.41,15670000.0,-0.94%
28,2023-10-10,31.76,31.48,31.8,31.32,18900000.0,0.99%
29,2023-10-9,31.45,30.74,31.5,30.74,20340000.0,1.94%
30,2023-10-6,30.85,30.94,31.0,30.14,31230000.0,-3.05%
31,2023-10-5,31.82,31.56,31.92,31.38,22720000.0,0.89%
32,2023-10-4,31.54,31.79,31.97,31.4,23620000.0,-1.38%
33,2023-10-3,31.98,31.7,32.01,31.61,21310000.0,0.69%
34,2023-10-2,31.76,32.44,32.47,31.73,24610000.0,-2.01%
35,2023-9-29,32.41,32.62,32.75,32.37,19790000.0,-0.43%
36,2023-9-28,32.55,32.4,32.62,32.4,18730000.0,0.46%
37,2023-9-27,32.4,32.95,33.01,32.31,22030000.0,-1.79%
38,2023-9-26,32.99,32.89,33.17,32.81,18680000.0,-0.51%
39,2023-9-25,33.16,33.17,33.25,32.87,17570000.0,-0.36%
40,2023-9-22,33.28,33.26,33.51,32.93,22740000.0,-0.03%
41,2023-9-21,33.29,33.52,33.85,33.26,17970000.0,-0.92%
42,2023-9-20,33.6,33.58,33.94,33.36,23570000.0,0.60%
43,2023-9-19,33.4,33.58,33.73,33.25,23210000.0,-0.39%
44,2023-9-18,33.53,33.9,33.97,33.52,16120000.000000002,-0.77%
45,2023-9-15,33.79,33.96,34.17,33.66,38210000.0,-0.73%
46,2023-9-14,34.04,34.27,34.38,33.94,26270000.0,0.53%
47,2023-9-13,33.86,34.3,34.3,33.51,20550000.0,-0.53%
48,2023-9-12,34.04,34.13,34.18,33.8,15630000.0,0.29%
49,2023-9-11,33.94,33.7,34.09,33.58,18830000.0,1.46%
50,2023-9-8,33.45,33.81,33.83,33.23,24790000.0,-1.06%
51,2023-9-7,33.81,34.18,34.52,33.75,25810000.0,-1.08%
52,2023-9-6,34.18,34.1,34.44,33.99,19170000.0,-0.35%
53,2023-9-5,34.3,34.85,35.07,34.3,17030000.0,-1.61%
54,2023-9-1,34.86,34.99,35.15,34.83,14750000.0,-0.34%
55,2023-8-31,34.98,34.85,35.14,34.76,24240000.0,0.98%
56,2023-8-30,34.64,34.89,34.95,34.55,14990000.0,-0.14%
57,2023-8-29,34.69,33.99,34.75,33.95,28640000.0,3.40%
58,2023-8-28,33.55,33.48,33.62,33.26,15980000.0,0.60%
59,2023-8-25,33.35,33.33,33.52,33.02,14910000.0,-0.09%
60,2023-8-24,33.38,33.01,33.58,33.0,18050000.0,0.57%
61,2023-8-23,33.19,33.2,33.37,33.01,15570000.0,-0.03%
62,2023-8-22,33.2,33.08,33.32,32.89,21710000.0,0.61%
63,2023-8-21,33.0,33.15,33.22,32.77,26970000.0,-0.54%
64,2023-8-18,33.18,32.86,33.42,32.86,21720000.0,0.36%
65,2023-8-17,33.06,33.36,33.48,32.85,19090000.0,-0.63%
66,2023-8-16,33.27,33.3,33.64,33.14,17330000.0,0.03%
67,2023-8-15,33.26,33.35,33.51,33.21,15490000.0,-0.89%
68,2023-8-14,33.56,33.19,33.59,33.14,17720000.0,0.60%
69,2023-8-11,33.36,32.96,33.42,32.94,15270000.0,1.03%
70,2023-8-10,33.02,32.85,33.32,32.82,18900000.0,0.95%
71,2023-8-9,32.71,32.51,32.83,32.34,20590000.0,0.43%
72,2023-8-8,32.57,32.45,32.81,32.43,21510000.0,0.12%
73,2023-8-7,32.53,32.65,32.83,32.18,24270000.0,-0.28%
74,2023-8-4,32.62,33.0,33.03,32.53,24580000.0,-1.33%
75,2023-8-3,33.06,33.05,33.25,32.73,20440000.0,-0.78%
76,2023-8-2,33.32,33.47,33.7,33.22,20400000.0,-0.33%
77,2023-8-1,33.43,34.29,34.3,33.31,27230000.0,-1.91%
78,2023-7-31,34.08,34.0,34.12,33.84,24450000.0,0.15%
79,2023-7-28,34.03,33.67,34.32,33.66,30650000.0,1.43%
80,2023-7-27,33.55,34.23,34.61,33.54,28100000.0,-2.30%
81,2023-7-26,34.34,33.85,34.61,33.76,27920000.0,0.29%
82,2023-7-25,34.24,34.64,34.95,33.72,35720000.0,0.77%
83,2023-7-24,33.98,33.88,34.6,33.71,30780000.0,0.30%
84,2023-7-21,33.88,33.51,33.94,33.36,25180000.0,0.71%
85,2023-7-20,33.64,33.9,34.0,33.51,32840000.000000004,-0.97%
86,2023-7-19,33.97,33.71,34.16,33.16,61800000.0,5.27%
87,2023-7-18,32.27,32.01,33.15,31.97,79250000.0,2.57%
88,2023-7-17,31.46,33.65,33.65,31.25,96940000.0,-7.50%
89,2023-7-14,34.01,34.43,34.5,33.94,31460000.0,-1.82%
90,2023-7-13,34.64,34.82,34.86,34.42,25570000.0,-0.63%
91,2023-7-12,34.86,35.1,35.24,34.71,26590000.0,-0.37%
92,2023-7-11,34.99,35.12,35.22,34.71,28290000.0,-0.43%
93,2023-7-10,35.14,35.92,35.96,35.0,30330000.0,-2.12%
94,2023-7-7,35.9,36.22,36.35,35.87,20450000.0,-3.31%
95,2023-7-6,37.13,37.4,37.41,37.06,21490000.0,-0.93%
96,2023-7-5,37.48,37.28,37.68,37.23,19060000.0,0.54%
97,2023-7-3,37.28,37.16,37.37,36.96,10370000.0,0.24%
98,2023-6-30,37.19,37.0,37.25,36.85,19100000.0,0.54%
99,2023-6-29,36.99,36.79,37.02,36.65,16710000.0,0.46%
100,2023-6-28,36.82,36.5,36.86,36.24,15860000.0,0.74%
101,2023-6-27,36.55,36.37,36.68,36.22,17700000.0,1.22%
