,date,close,open,high,low,volume,chg
0,2023-11-17,21.22,20.94,21.28,20.8,11910000.0,2.27%
1,2023-11-16,20.75,21.52,21.67,20.6,10680000.0,-3.71%
2,2023-11-15,21.55,21.19,22.07,21.18,11520000.0,2.18%
3,2023-11-14,21.09,20.45,21.31,20.45,10670000.0,4.56%
4,2023-11-13,20.17,20.26,20.41,20.0,9600000.0,-2.84%
5,2023-11-10,20.76,20.58,20.81,20.35,8820000.0,1.52%
6,2023-11-9,20.45,21.09,21.14,20.36,8240000.0,-2.62%
7,2023-11-8,21.0,21.6,21.61,20.93,7970000.0,-3.00%
8,2023-11-7,21.65,21.8,21.95,21.6,6580000.0,-0.55%
9,2023-11-6,21.77,22.07,22.17,21.7,7570000.0,-1.54%
10,2023-11-3,22.11,21.83,22.22,21.64,8380000.000000001,2.84%
11,2023-11-2,21.5,20.73,21.61,20.7,9170000.0,4.22%
12,2023-11-1,20.63,20.97,21.03,20.14,16160000.0,-2.13%
13,2023-10-31,21.08,21.05,21.23,20.73,11850000.0,-0.09%
14,2023-10-30,21.1,21.25,21.41,20.68,9220000.0,-0.19%
15,2023-10-27,21.14,21.85,22.07,21.03,9210000.0,-2.58%
16,2023-10-26,21.7,21.71,22.25,21.56,8740000.0,0.14%
17,2023-10-25,21.67,21.26,21.69,20.98,10290000.0,1.40%
18,2023-10-24,21.37,22.02,22.18,21.37,10140000.0,-2.69%
19,2023-10-23,21.96,21.88,22.54,21.38,19900000.0,3.29%
20,2023-10-20,21.26,20.85,21.46,20.48,13560000.0,1.43%
21,2023-10-19,20.96,21.19,21.63,20.92,10830000.0,-1.36%
22,2023-10-18,21.25,22.72,22.79,21.2,17520000.0,-7.00%
23,2023-10-17,22.85,22.66,23.11,22.65,12640000.0,0.31%
24,2023-10-16,22.78,23.26,23.55,22.4,15670000.0,-2.02%
25,2023-10-13,23.25,24.12,24.63,23.05,20980000.0,-3.89%
26,2023-10-12,24.19,23.7,24.26,22.62,35180000.0,7.04%
27,2023-10-11,22.6,23.21,23.95,22.43,17580000.0,0.98%
28,2023-10-10,22.38,22.34,22.64,22.2,7660000.0,0.49%
29,2023-10-9,22.27,21.81,22.3,21.8,7620000.0,2.11%
30,2023-10-6,21.81,22.06,22.08,21.4,9850000.0,-1.67%
31,2023-10-5,22.18,22.14,22.6,22.05,8240000.0,-0.49%
32,2023-10-4,22.29,22.64,22.67,21.82,11000000.0,-1.15%
33,2023-10-3,22.55,22.39,22.69,22.28,13070000.0,0.58%
34,2023-10-2,22.42,22.24,22.43,21.9,12920000.0,0.81%
35,2023-9-29,22.24,21.0,22.43,20.88,25660000.0,6.41%
36,2023-9-28,20.9,21.16,21.22,20.74,7280000.0,-0.57%
37,2023-9-27,21.02,21.19,21.24,20.58,10180000.0,-0.52%
38,2023-9-26,21.13,21.22,21.46,21.08,7490000.0,-0.98%
39,2023-9-25,21.34,21.03,21.36,21.02,6880000.0,1.04%
40,2023-9-22,21.12,21.42,21.58,21.05,9430000.0,-1.54%
41,2023-9-21,21.45,21.69,21.92,21.44,8010000.0,-1.79%
42,2023-9-20,21.84,22.01,22.22,21.81,8359999.999999999,-0.86%
43,2023-9-19,22.03,22.25,22.5,22.01,10560000.0,-0.72%
44,2023-9-18,22.19,22.5,22.56,21.91,11510000.0,-1.03%
45,2023-9-15,22.42,22.48,22.64,22.14,21730000.0,-0.27%
46,2023-9-14,22.48,22.13,22.54,22.09,13990000.0,2.65%
47,2023-9-13,21.9,21.71,21.94,21.48,12810000.0,0.83%
48,2023-9-12,21.72,21.54,22.27,21.49,17670000.0,1.35%
49,2023-9-11,21.43,22.15,22.24,21.39,28220000.0,-2.55%
50,2023-9-8,21.99,22.18,22.27,21.95,14480000.0,-0.23%
51,2023-9-7,22.04,22.6,22.75,21.92,20730000.0,-2.65%
52,2023-9-6,22.64,22.61,22.75,22.31,17240000.0,-0.40%
53,2023-9-5,22.73,23.5,23.55,22.69,23570000.0,-2.99%
