,date,close,open,high,low,volume,chg
0,2023-11-17,155.35,155.56,157.5,155.02,14090000.0,-0.44%
1,2023-11-16,156.04,158.85,159.24,155.51,32420000.0,-8.09%
2,2023-11-15,169.78,168.59,169.94,167.52,11750000.0,1.27%
3,2023-11-14,167.65,168.12,169.14,167.26,6540000.0,-0.02%
4,2023-11-13,167.68,166.38,167.87,166.04,5110000.0,0.90%
5,2023-11-10,166.19,164.55,166.44,163.9,4770000.0,1.38%
6,2023-11-9,163.92,164.37,164.52,163.24,5030000.0,-0.23%
7,2023-11-8,164.3,165.84,166.28,163.58,5180000.0,-0.81%
8,2023-11-7,165.65,165.77,166.61,165.33,5010000.0,0.47%
9,2023-11-6,164.88,164.5,165.63,164.07,4840000.0,0.13%
10,2023-11-3,164.66,165.88,166.29,164.5,5750000.0,-0.52%
11,2023-11-2,165.52,164.38,166.19,163.63,5070000.0,0.39%
12,2023-11-1,164.87,164.21,165.38,162.98,4930000.0,0.89%
13,2023-10-31,163.41,163.0,163.62,161.95,4640000.0,0.24%
14,2023-10-30,163.02,161.46,163.26,160.79,4200000.0,1.15%
15,2023-10-27,161.17,161.48,161.97,160.55,4610000.0,-0.37%
16,2023-10-26,161.77,162.71,163.85,161.61,5400000.0,-0.61%
17,2023-10-25,162.76,163.16,164.33,162.47,5540000.0,-0.30%
18,2023-10-24,163.25,161.4,163.48,161.39,5830000.0,1.39%
19,2023-10-23,161.01,158.73,161.35,158.02,5700000.0,1.42%
20,2023-10-20,158.76,160.83,161.1,158.71,4980000.0,-1.25%
21,2023-10-19,160.77,161.43,161.82,160.22,3910000.0,-0.48%
22,2023-10-18,161.54,161.88,162.36,160.72,3520000.0,0.07%
23,2023-10-17,161.42,160.74,161.71,160.39,3630000.0,0.13%
24,2023-10-16,161.21,160.54,162.08,160.32,4770000.0,0.86%
25,2023-10-13,159.83,159.26,160.46,158.9,4600000.0,0.55%
26,2023-10-12,158.95,158.53,159.31,157.77,4430000.0,0.46%
27,2023-10-11,158.23,158.26,159.49,157.04,4010000.0,0.40%
28,2023-10-10,157.6,156.23,158.08,155.66,5210000.0,1.13%
29,2023-10-9,155.84,155.08,155.85,153.26,7010000.0,-0.36%
30,2023-10-6,156.41,158.65,158.99,151.65,14180000.0,-1.68%
31,2023-10-5,159.08,160.45,160.96,159.0,4750000.0,-1.19%
32,2023-10-4,161.0,159.65,161.05,159.01,5220000.0,1.20%
33,2023-10-3,159.09,159.69,160.75,158.68,3730000.0,-0.63%
34,2023-10-2,160.1,159.49,160.27,158.31,4320000.0,0.11%
35,2023-9-29,159.93,163.03,163.13,159.18,6280000.0,-1.61%
36,2023-9-28,162.54,162.0,162.83,161.59,3870000.0,0.51%
37,2023-9-27,161.72,162.0,162.23,160.29,5230000.0,-0.48%
38,2023-9-26,162.5,162.94,163.54,162.35,4790000.0,-0.35%
39,2023-9-25,163.07,162.37,163.11,161.87,3480000.0,0.44%
40,2023-9-22,162.35,162.23,163.23,161.92,4410000.0,0.27%
41,2023-9-21,161.92,164.26,164.5,161.79,6450000.0,-1.21%
42,2023-9-20,163.91,163.6,164.71,162.96,3370000.0,0.32%
43,2023-9-19,163.38,163.38,163.78,162.35,4670000.0,-0.02%
44,2023-9-18,163.42,164.68,165.2,163.25,4310000.0,-0.74%
45,2023-9-15,164.64,165.21,165.66,163.77,21310000.0,-0.37%
46,2023-9-14,165.25,165.0,165.74,164.41,4960000.0,0.42%
47,2023-9-13,164.56,164.93,165.85,164.37,4780000.0,0.02%
48,2023-9-12,164.52,164.5,164.93,164.04,3900000.0,0.11%
49,2023-9-11,164.34,164.0,164.48,163.66,3970000.0,0.35%
50,2023-9-8,163.77,163.48,163.86,163.07,4220000.0,0.18%
51,2023-9-7,163.47,162.0,163.48,161.49,6290000.0,1.24%
52,2023-9-6,161.47,160.4,162.17,159.91,4860000.0,0.75%
53,2023-9-5,160.27,161.85,162.8,160.18,4970000.0,-0.80%
54,2023-9-1,161.57,162.87,162.96,160.15,4179999.9999999995,-0.64%
55,2023-8-31,162.61,161.12,162.99,160.96,6480000.0,0.87%
56,2023-8-30,161.2,160.4,161.29,159.92,3650000.0,0.72%
57,2023-8-29,160.05,159.0,160.23,158.86,4230000.0,0.84%
58,2023-8-28,158.72,157.86,158.83,157.86,3940000.0,0.57%
59,2023-8-25,157.82,157.18,158.04,156.54,4090000.0,0.59%
60,2023-8-24,156.89,158.13,159.23,156.82,4670000.0,-0.77%
61,2023-8-23,158.1,156.61,158.4,156.51,4730000.0,0.69%
62,2023-8-22,157.01,156.97,157.31,156.24,5550000.0,-0.32%
63,2023-8-21,157.51,157.63,158.84,157.04,5190000.0,-0.27%
64,2023-8-18,157.93,155.31,159.67,155.31,9320000.0,1.44%
65,2023-8-17,155.69,160.9,161.14,155.02,17840000.0,-2.24%
66,2023-8-16,159.26,159.88,160.97,158.37,8810000.0,0.05%
67,2023-8-15,159.18,159.54,160.79,158.92,4760000.0,-0.51%
68,2023-8-14,160.0,162.0,162.78,159.18,6760000.0,-0.74%
69,2023-8-11,161.2,160.55,161.83,160.1,4730000.0,0.59%
70,2023-8-10,160.26,160.79,161.75,160.03,4930000.0,-0.40%
71,2023-8-9,160.91,160.91,162.1,160.71,4350000.0,0.16%
72,2023-8-8,160.65,160.99,161.62,159.51,3670000.0,0.10%
73,2023-8-7,160.49,159.5,161.21,159.11,4750000.0,1.36%
74,2023-8-4,158.34,159.76,160.25,157.96,4750000.0,-0.58%
75,2023-8-3,159.26,159.02,159.5,158.51,4400000.0,0.03%
76,2023-8-2,159.22,158.53,160.43,158.53,4220000.0,0.07%
77,2023-8-1,159.11,159.95,160.45,158.96,3810000.0,-0.47%
78,2023-7-31,159.86,159.96,160.64,158.91,4220000.0,-0.03%
79,2023-7-28,159.91,159.29,160.94,159.29,3670000.0,0.47%
80,2023-7-27,159.16,160.08,160.64,159.13,4470000.0,-0.36%
81,2023-7-26,159.74,159.24,160.69,158.94,5030000.0,0.36%
82,2023-7-25,159.17,160.46,160.51,158.28,5180000.0,-0.08%
83,2023-7-24,159.3,158.45,159.48,157.56,4179999.9999999995,0.59%
84,2023-7-21,158.37,157.9,158.78,157.44,5650000.0,0.57%
85,2023-7-20,157.48,154.93,157.55,154.9,5000000.0,1.85%
86,2023-7-19,154.62,154.8,155.2,153.75,4110000.0000000005,0.03%
87,2023-7-18,154.57,154.67,155.66,153.86,4470000.0,-0.18%
88,2023-7-17,154.85,154.4,154.98,153.82,3370000.0,0.12%
89,2023-7-14,154.66,154.12,154.67,153.58,3460000.0,0.34%
90,2023-7-13,154.13,155.43,155.6,153.69,3920000.0,-0.59%
91,2023-7-12,155.04,155.31,155.89,154.82,5480000.0,0.25%
92,2023-7-11,154.65,154.77,155.51,153.86,3800000.0,-0.15%
93,2023-7-10,154.88,154.56,155.5,154.32,4320000.0,0.91%
94,2023-7-7,153.49,155.81,156.29,153.45,6530000.0,-2.30%
95,2023-7-6,157.11,157.93,158.18,156.87,4710000.0,-0.63%
96,2023-7-5,158.11,158.16,159.12,157.34,5810000.0,-0.06%
97,2023-7-3,158.2,156.79,158.44,156.33,2880000.0,0.65%
98,2023-6-30,157.18,154.97,157.53,154.78,6360000.0,1.88%
99,2023-6-29,154.28,154.51,154.75,153.14,7080000.0,-0.68%
100,2023-6-28,155.33,154.73,155.68,154.63,6080000.0,0.54%
101,2023-6-27,154.49,154.15,155.85,154.06,3990000.0,-0.36%
102,2023-6-26,155.05,155.65,155.78,154.32,4630000.0,-0.26%
103,2023-6-23,155.46,155.88,156.29,155.02,6320000.0,-0.19%
104,2023-6-22,155.75,154.98,156.08,154.48,4430000.0,0.84%
105,2023-6-21,154.46,154.21,155.34,153.36,6400000.0,0.19%
106,2023-6-20,154.16,154.7,155.45,153.88,6490000.0,-0.88%
107,2023-6-16,155.53,158.08,158.15,155.28,11560000.0,-1.39%
108,2023-6-15,157.73,157.0,158.23,156.98,6030000.0,0.55%
109,2023-6-14,156.87,155.91,157.33,155.61,7010000.0,1.01%
110,2023-6-13,155.3,154.52,155.51,154.07,5250000.0,0.78%
111,2023-6-12,154.1,153.43,154.3,153.16,4900000.0,0.66%
112,2023-6-9,153.09,152.16,153.72,151.6,5180000.0,0.60%
113,2023-6-8,152.17,150.39,152.43,149.79,6150000.0,1.45%
114,2023-6-7,150.0,149.25,150.36,149.04,8090000.0,0.15%
115,2023-6-6,149.78,149.7,150.19,148.51,5000000.0,-0.01%
116,2023-6-5,149.8,149.37,151.25,149.64,5150000.0,0.66%
117,2023-6-2,148.82,147.22,149.01,147.1,6370000.0,0.96%
118,2023-6-1,147.41,146.21,147.9,145.94,6710000.0,0.37%
119,2023-5-31,146.87,145.42,147.31,145.01,9410000.0,0.55%
120,2023-5-30,146.06,146.3,147.29,145.6,5230000.0,-0.25%
121,2023-5-26,146.42,145.7,146.82,145.47,5240000.0,0.18%
122,2023-5-25,146.16,146.88,147.44,145.09,6980000.0,-1.00%
123,2023-5-24,147.63,148.51,148.54,146.3,6830000.0,-0.46%
124,2023-5-23,148.31,148.01,148.86,147.08,5310000.0,-0.19%
125,2023-5-22,148.59,149.7,150.08,148.29,5360000.0,-0.88%
126,2023-5-19,149.91,151.4,151.46,149.11,9200000.0,-1.03%
127,2023-5-18,151.47,151.8,154.29,149.95,15570000.0,1.30%
128,2023-5-17,149.53,151.14,151.15,148.71,9000000.0,-0.17%
129,2023-5-16,149.78,150.85,151.53,149.57,5180000.0,-1.38%
130,2023-5-15,151.88,153.5,153.85,151.38,5370000.0,-0.78%
131,2023-5-12,153.07,153.6,154.07,152.71,5370000.0,-0.03%
132,2023-5-11,153.12,152.55,153.27,152.0,3980000.0,0.37%
133,2023-5-10,152.55,153.69,154.35,151.23,5280000.0,-0.28%
134,2023-5-9,152.98,152.72,153.18,152.34,5070000.0,0.17%
135,2023-5-8,152.72,151.27,152.95,151.06,4980000.0,0.63%
136,2023-5-5,151.77,150.3,152.01,149.83,4850000.0,0.86%
137,2023-5-4,150.47,150.55,150.99,149.49,4670000.0,-0.10%
138,2023-5-3,150.62,151.56,152.1,150.27,4110000.0000000005,-0.37%
139,2023-5-2,151.18,151.47,151.49,149.46,3780000.0,-0.27%
140,2023-5-1,151.59,151.04,152.54,150.93,3800000.0,0.41%
141,2023-4-28,150.97,151.29,152.17,150.18,4700000.0,-0.27%
142,2023-4-27,151.38,150.78,151.94,150.78,4290000.0,0.31%
143,2023-4-26,150.91,150.98,151.41,150.22,4300000.0,-0.44%
144,2023-4-25,151.57,153.29,153.75,151.33,5750000.0,-0.78%
145,2023-4-24,152.76,151.71,152.95,151.71,4530000.0,0.68%
146,2023-4-21,151.73,151.96,152.3,151.18,8450000.0,0.50%
147,2023-4-20,150.97,150.21,151.39,149.6,4550000.0,0.64%
148,2023-4-19,150.01,150.84,151.41,149.77,4139999.9999999995,0.11%
149,2023-4-18,149.85,149.78,150.34,149.44,4490000.0,0.22%
150,2023-4-17,149.52,148.64,149.67,148.5,5390000.0,0.70%
151,2023-4-14,148.48,149.03,149.89,148.15,3490000.0,-0.68%
152,2023-4-13,149.49,149.65,150.0,148.2,4420000.0,0.10%
153,2023-4-12,149.34,149.79,150.97,149.17,3740000.0,-0.49%
154,2023-4-11,150.07,151.0,151.0,149.62,6120000.0,-0.29%
155,2023-4-10,150.51,150.36,151.12,149.77,4840000.0,-0.19%
156,2023-4-6,150.8,148.8,151.04,148.52,5960000.0,0.75%
157,2023-4-5,149.67,147.17,149.88,147.14,8850000.0,1.66%
158,2023-4-4,147.23,148.53,148.79,147.02,6040000.0,-0.98%
159,2023-4-3,148.69,147.73,148.95,147.5,6590000.0,0.84%
160,2023-3-31,147.45,146.58,148.44,146.47,6960000.0,1.22%
161,2023-3-30,145.67,145.5,146.6,145.02,7290000.0,1.00%
162,2023-3-29,144.23,144.37,144.96,143.45,8070000.0,0.43%
163,2023-3-28,143.61,143.65,144.41,143.05,7090000.0,-0.39%
164,2023-3-27,144.17,142.79,144.98,142.78,8930000.0,1.67%
165,2023-3-24,141.8,141.01,142.47,140.6,7580000.0,0.82%
166,2023-3-23,140.65,140.2,141.61,139.49,7350000.0,0.81%
167,2023-3-22,139.52,140.64,141.22,139.46,6180000.0,-0.64%
168,2023-3-21,140.42,141.39,141.39,139.53,6340000.0,-0.34%
169,2023-3-20,140.9,140.1,141.92,139.81,11310000.0,1.08%
170,2023-3-17,139.4,138.19,139.49,137.59,14360000.0,0.81%
171,2023-3-16,138.28,139.43,139.65,137.88,9640000.0,-0.97%
172,2023-3-15,139.64,136.89,139.81,136.71,11040000.0,1.12%
173,2023-3-14,138.1,137.69,138.27,137.0,8510000.0,0.53%
174,2023-3-13,137.37,136.68,138.5,136.58,9380000.0,0.29%
175,2023-3-10,136.97,137.02,138.28,136.09,6690000.0,-0.15%
176,2023-3-9,137.17,138.83,138.98,136.92,5140000.0,-0.67%
177,2023-3-8,138.1,138.56,138.92,137.28,6360000.0,-0.83%
178,2023-3-7,139.25,141.18,141.68,138.79,5800000.0,-1.00%
179,2023-3-6,140.65,140.5,140.98,140.02,5570000.0,-0.01%
