date,close,open,high,low,pre_close,change,pct_chg,volume,amount
"20221104","2468.2764","2383.9618","2479.2279","2383.9618","2387.4523","80.8241","3.3854","40622068","87029322.475"
"20221103","2387.4523","2396.47","2409.1435","2376.0735","2418.3222","-30.8699","-1.2765","28652756","61043266.278"
"20221102","2418.3222","2385.7075","2437.951","2375.5076","2396.6294","21.6928","0.9051","42290890","87715382.806"
"20221101","2396.6294","2306.4347","2396.9974","2306.4347","2295.9239","100.7055","4.3863","50098867","96914775.551"
"20221031","2295.9239","2300.8835","2327.0632","2288.0114","2326.9417","-31.0178","-1.333","41520625","75891431.117"
"20221028","2326.9417","2364.7518","2377.9124","2322.6434","2381.2628","-54.3211","-2.2812","32458223","70729706.619"
"20221027","2381.2628","2413.0208","2432.1529","2379.0569","2400.5156","-19.2528","-0.802","35517252","75410992.38"
"20221026","2400.5156","2395.8709","2438.6929","2392.7353","2394.92","5.5956","0.2336","36580109","69180872.442"
"20221025","2394.92","2386.8489","2427.3229","2376.1633","2392.5978","2.3222","0.0971","28439409","63865287.492"
"20221024","2392.5978","2468.6977","2493.0591","2386.5384","2487.221","-94.6232","-3.8044","39801915","89357086.119"
"20221021","2487.221","2503.1087","2510.5974","2473.1982","2501.4956","-14.2746","-0.5706","27251549","52814977.871"
"20221020","2501.4956","2495.0223","2535.3871","2494.2851","2519.9033","-18.4077","-0.7305","23833182","56851849.474"
"20221019","2519.9033","2562.5446","2572.3044","2519.9033","2569.9675","-50.0642","-1.948","21590683","52542101.694"
"20221018","2569.9675","2594.7001","2598.2129","2565.0407","2585.4973","-15.5298","-0.6007","20975050","46231590.303"
"20221017","2585.4973","2572.6092","2588.344","2561.2441","2584.6847","0.8126","0.0314","26826742","57829756.65"
"20221014","2584.6847","2544.2413","2599.1414","2541.3815","2523.6321","61.0526","2.4192","33449619","73266105.639"
"20221013","2523.6321","2534.5129","2541.1571","2517.435","2555.024","-31.3919","-1.2286","28627223","61241425.856"
"20221012","2555.024","2537.8069","2556.5164","2482.5511","2539.9455","15.0785","0.5937","28635606","59094755.213"
"20221011","2539.9455","2552.1656","2553.2117","2532.2839","2545.0494","-5.1039","-0.2005","24216496","42992647.471"
"20221010","2545.0494","2610.7571","2611.0459","2542.0063","2610.1165","-65.0671","-2.4929","33718358","59795586.075"
"20220930","2610.1165","2618.0789","2631.7758","2604.9274","2608.9774","1.1391","0.0437","23244464","43646943.525"
"20220929","2608.9774","2633.0681","2644.0747","2596.9578","2611.9815","-3.0041","-0.115","25969017","52847177.039"
"20220928","2611.9815","2635.2559","2637.0155","2608.6405","2642.9212","-30.9397","-1.1707","24732086","47725104.166"
"20220927","2642.9212","2616.0501","2645.7366","2605.2407","2614.8998","28.0214","1.0716","26144970","50215186.025"
"20220926","2614.8998","2612.6673","2650.2542","2611.5292","2629.8089","-14.9091","-0.5669","34384533","55792674.826"
"20220923","2629.8089","2625.2488","2649.8066","2618.9402","2629.3701","0.4388","0.0167","30277934","46355758.355"
"20220922","2629.3701","2631.9968","2645.5662","2621.8224","2652.2142","-22.8441","-0.8613","24229236","43456028.548"
