date,close,open,high,low,pre_close,change,pct_chg,volume,amount
"20221104","2451.2232","2378.4205","2464.5075","2377.9132","2376.0609","75.1623","3.1633","111460876","211085379.4"
"20221103","2376.0609","2352.5599","2385.0567","2349.7476","2375.8618","0.1991","0.0084","99317510","178203349"
"20221102","2375.8618","2322.9826","2396.2123","2320.5508","2337.6529","38.2089","1.6345","122391054","216175683.2"
"20221101","2337.6529","2270.0351","2337.8233","2251.7992","2265.0784","72.5745","3.2041","105057129","195189967.8"
"20221031","2265.0784","2228.6176","2295.9522","2227.83","2250.5104","14.568","0.6473","99957675","176831985.1"
"20221028","2250.5104","2309.9568","2326.4912","2245.4625","2337.2531","-86.7427","-3.7113","110423288","190484148.4"
"20221027","2337.2531","2377.1807","2377.6844","2337.2531","2372.8758","-35.6227","-1.5012","110646350","205044905.3"
"20221026","2372.8758","2324.7663","2397.1321","2320.2698","2314.5509","58.3249","2.5199","109525369","200407665.5"
"20221025","2314.5509","2323.8379","2344.3868","2281.4023","2336.8385","-22.2876","-0.9538","94415846","167703611.4"
"20221024","2336.8385","2385.8163","2412.5951","2323.848","2395.1573","-58.3188","-2.4349","91295157","164325876.3"
"20221021","2395.1573","2390.4132","2410.0149","2381.2053","2401.7162","-6.5589","-0.2731","73036725","131238186.3"
"20221020","2401.7162","2402.7562","2444.4133","2365.7248","2425.9573","-24.2411","-0.9992","85813402","158358693.1"
"20221019","2425.9573","2440.0308","2463.7752","2425.7274","2446.9279","-20.9706","-0.857","82210782","147101293.2"
"20221018","2446.9279","2446.3581","2469.0343","2428.1467","2435.0228","11.9051","0.4889","88359500","157592038.9"
"20221017","2435.0228","2419.6424","2446.7035","2409.5228","2434.2185","0.8043","0.033","90090083","160489470.9"
"20221014","2434.2185","2379.8304","2453.0435","2365.1395","2350.6864","83.5321","3.5535","89092345","173666162.1"
"20221013","2350.6864","2324.4655","2374.6144","2318.2681","2343.3004","7.386","0.3152","78662260","138038536.9"
"20221012","2343.3004","2260.6781","2343.5034","2234.4636","2261.8917","81.4087","3.5991","73388820","135208953.5"
"20221011","2261.8917","2256.3424","2273.8958","2245.4687","2236.2448","25.6469","1.1469","55209962","101324561.8"
"20221010","2236.2448","2294.7151","2301.2357","2230.637","2288.9688","-52.724","-2.3034","61381112","108243453.1"
"20220930","2288.9688","2335.5402","2339.1878","2288.1949","2332.995","-44.0262","-1.8871","58126087","103192104.3"
"20220929","2332.995","2343.2761","2359.1245","2321.5587","2313.7696","19.2254","0.8309","63693251","112472235.7"
"20220928","2313.7696","2367.4812","2367.4812","2313.7696","2374.7374","-60.9678","-2.5673","65851570","117302831.1"
"20220927","2374.7374","2336.0378","2374.7374","2325.6507","2323.0521","51.6853","2.2249","66154657","120183077.3"
"20220926","2323.0521","2288.2316","2358.4765","2285.6357","2303.9052","19.1469","0.8311","67549810","122617909.2"
"20220923","2303.9052","2320.9182","2336.289","2275.292","2319.4192","-15.514","-0.6689","68529871","117946667.9"
"20220922","2319.4192","2309.2865","2348.7625","2302.6432","2331.5164","-12.0972","-0.5189","62689387","112831440.2"
"20220921","2331.5164","2353.7766","2358.9639","2322.9509","2366.904","-35.3876","-1.4951","63645768","111966461.5"
"20220920","2366.904","2366.7867","2397.9246","2351.8931","2350.3762","16.5278","0.7032","61600322","117734307.1"
"20220919","2350.3762","2360.5798","2389.4765","2339.0338","2367.3977","-17.0215","-0.719","70238823","125468681.9"
"20220916","2367.3977","2418.4381","2430.2301","2366.8946","2424.1924","-56.7947","-2.3428","81543818","147029763.3"
"20220915","2424.1924","2512.453","2515.2073","2404.4358","2503.8245","-79.6321","-3.1804","92202707","170955153.6"
"20220914","2503.8245","2512.2834","2527.2791","2486.0822","2550.6256","-46.8011","-1.8349","70540152","132842421.9"
"20220913","2550.6256","2566.8383","2569.113","2537.2774","2548.2159","2.4097","0.0946","70149153","129128170.1"
