date,close,open,high,low,pre_close,change,pct_chg,volume,amount
"20221104","3767.1746","3646.7709","3782.8823","3646.7709","3647.8966","119.278","3.2698","149734949","311145477.6"
"20221103","3647.8966","3645.0604","3670.1574","3628.4987","3677.8051","-29.9085","-0.8132","110566035","215379298"
"20221102","3677.8051","3620.3693","3703.465","3610.8029","3634.1732","43.6319","1.2006","141592919","291648245.7"
"20221101","3634.1732","3519.8174","3634.1732","3517.6209","3508.7034","125.4698","3.576","149286698","295089928.4"
"20221031","3508.7034","3504.507","3553.3871","3495.9509","3541.3295","-32.6261","-0.9213","138465655","256574822.1"
"20221028","3541.3295","3605.1598","3618.864","3533.4993","3631.1448","-89.8153","-2.4735","118772162","245816452"
"20221027","3631.1448","3667.6645","3685.0837","3631.0639","3656.9027","-25.7579","-0.7044","117998675","257473315.7"
"20221026","3656.9027","3633.3107","3700.8797","3633.3107","3627.4542","29.4485","0.8118","121301548","242453810.6"
"20221025","3627.4542","3621.9356","3670.7327","3594.7011","3633.3733","-5.9191","-0.1629","110953882","219302759.6"
"20221024","3633.3733","3727.915","3762.158","3619.9876","3742.8929","-109.5196","-2.9261","130056864","259450743.1"
"20221021","3742.8929","3753.8903","3768.6895","3724.69","3754.9269","-12.034","-0.3205","98750038","180686357.7"
"20221020","3754.9269","3746.5793","3804.2468","3726.7925","3776.5335","-21.6066","-0.5721","90290895","203781618.9"
"20221019","3776.5335","3827.4658","3840.487","3776.5335","3838.2667","-61.7332","-1.6084","81574844","186736408.2"
"20221018","3838.2667","3865.8258","3870.2155","3831.1723","3846.4119","-8.1452","-0.2118","88346907","186556295.8"
"20221017","3846.4119","3822.2428","3849.6207","3809.1196","3842.4698","3.9421","0.1026","104192019","220488874.4"
"20221014","3842.4698","3783.316","3863.2265","3780.8415","3752.6729","89.7969","2.3929","116242293","256551272"
"20221013","3752.6729","3756.4176","3783.596","3749.6393","3784.3064","-31.6335","-0.8359","99018915","198368891.5"
"20221012","3784.3064","3722.8659","3784.3064","3661.5255","3727.6867","56.6197","1.5189","108089319","210931362.3"
"20221011","3727.6867","3732.0191","3739.8084","3706.0629","3720.9365","6.7502","0.1814","83944625","166800394.9"
"20221010","3720.9365","3806.5596","3807.4574","3715.7142","3804.8853","-83.9488","-2.2063","102647595","194635904.1"
