date,close,open,high,low,volume,change
2022/11/3,15339.49 ,15477.74 ,15623.18 ,15301.67 ,2540000000,-3.08%
2022/11/2,15827.17 ,15389.55 ,15867.24 ,15276.76 ,2770000000,2.41%
2022/11/1,15455.27 ,14859.92 ,15632.85 ,14859.92 ,3790000000,5.23%
2022/10/31,14687.02 ,14830.69 ,15113.15 ,14597.31 ,4180000000,-1.18%
2022/10/28,14863.06 ,15424.94 ,15441.99 ,14770.09 ,3050000000,-3.66%
2022/10/27,15427.94 ,15721.27 ,15833.28 ,15410.97 ,2530000000,0.72%
2022/10/26,15317.67 ,15096.32 ,15584.06 ,15041.40 ,2720000000,1.00%
2022/10/25,15165.59 ,15242.10 ,15435.37 ,14947.39 ,3280000000,-0.10%
2022/10/24,15180.69 ,15894.75 ,15993.88 ,15082.84 ,3600000000,-6.36%
2022/10/21,16211.12 ,16331.11 ,16359.04 ,16137.18 ,2050000000,-0.42%
2022/10/20,16280.22 ,16230.79 ,16452.97 ,16010.72 ,2300000000,-1.40%
2022/10/19,16511.28 ,16805.91 ,16923.12 ,16508.37 ,1710000000,-2.38%
2022/10/18,16914.58 ,16860.20 ,16914.58 ,16558.41 ,1970000000,1.82%
2022/10/17,16612.90 ,16479.74 ,16754.52 ,16308.95 ,2060000000,0.15%
2022/10/14,16587.69 ,16671.68 ,17028.68 ,16535.37 ,2320000000,1.21%
2022/10/13,16389.11 ,16700.65 ,16736.59 ,16389.11 ,2240000000,-1.87%
2022/10/12,16701.03 ,16758.27 ,17040.70 ,16438.60 ,2410000000,-0.78%
2022/10/11,16832.36 ,17194.73 ,17206.51 ,16789.97 ,1800000000,-2.23%
2022/10/10,17216.66 ,17449.36 ,17449.36 ,17174.61 ,1770000000,-2.95%
2022/10/7,17740.05 ,17851.62 ,17881.87 ,17717.73 ,1130000000,-1.51%
2022/10/6,18012.15 ,18100.48 ,18143.85 ,17958.14 ,1080000000,-0.42%
2022/10/5,18087.97 ,17811.97 ,18164.20 ,17682.85 ,2260000000,5.90%
2022/10/3,17079.51 ,17050.25 ,17252.11 ,16906.96 ,1360000000,-0.83%
2022/9/30,17222.83 ,17165.93 ,17344.81 ,17016.28 ,2110000000,0.33%
2022/9/29,17165.87 ,17570.17 ,17629.67 ,17046.83 ,2530000000,-0.49%
2022/9/28,17250.88 ,17703.39 ,17703.39 ,17184.54 ,2950000000,-3.41%
2022/9/27,17860.31 ,17838.65 ,17904.21 ,17648.42 ,1900000000,0.03%
2022/9/26,17855.14 ,17781.87 ,18077.64 ,17727.40 ,2560000000,-0.44%
2022/9/23,17933.27 ,18055.59 ,18165.95 ,17926.29 ,1780000000,-1.18%
2022/9/22,18147.95 ,18080.93 ,18195.09 ,17965.33 ,1730000000,-1.61%
2022/9/21,18444.62 ,18638.85 ,18638.85 ,18434.65 ,1630000000,-1.79%
2022/9/20,18781.42 ,18700.68 ,18861.47 ,18685.46 ,1480000000,1.16%
2022/9/19,18565.97 ,18695.35 ,18697.09 ,18494.54 ,1750000000,-1.04%
2022/9/16,18761.69 ,18732.44 ,18905.28 ,18678.22 ,2790000000,-0.89%
2022/9/15,18930.38 ,18833.90 ,19013.03 ,18833.90 ,1800000000,0.44%
2022/9/14,18847.10 ,18933.30 ,18989.22 ,18797.79 ,1730000000,-2.48%
2022/9/13,19326.86 ,19404.64 ,19492.06 ,19296.25 ,1790000000,-0.18%
2022/9/9,19362.25 ,18893.65 ,19417.56 ,18893.65 ,1990000000,2.69%
2022/9/8,18854.62 ,19043.84 ,19075.74 ,18803.76 ,1720000000,-1.00%
2022/9/7,19044.30 ,18915.87 ,19068.90 ,18818.78 ,1840000000,-0.83%
2022/9/6,19202.73 ,19261.70 ,19358.02 ,19107.60 ,1720000000,-0.12%
2022/9/5,19225.70 ,19299.09 ,19299.09 ,19064.79 ,2180000000,-1.16%
2022/9/2,19452.09 ,19572.47 ,19630.80 ,19342.49 ,2100000000,-0.74%
2022/9/1,19597.31 ,19761.72 ,19839.51 ,19532.86 ,2000000000,-1.79%
2022/8/31,19954.39 ,19589.85 ,20173.02 ,19564.84 ,2780000000,0.03%
2022/8/30,19949.03 ,20062.73 ,20062.73 ,19645.57 ,1660000000,-0.37%
2022/8/29,20023.22 ,19960.29 ,20073.94 ,19889.67 ,1600000000,-0.73%
2022/8/26,20170.04 ,20138.69 ,20185.15 ,20050.97 ,1870000000,1.01%
2022/8/25,19968.38 ,19418.46 ,19990.31 ,19418.46 ,1680000000,3.63%
2022/8/24,19268.74 ,19542.24 ,19542.24 ,19189.54 ,2000000000,-1.20%
